Orthogroup	Arabidopsis_thaliana_rna_prot	Hordeum_vulgare_rna_prot
OG0000095	NM_105425.5.p1, NM_001345589.1.p1, NM_001345587.1.p1, NM_001345586.1.p1, NM_001203676.2.p1, NM_125732.3.p1, NM_001345588.1.p1	XM_045111013.1.p1, XM_045097334.1.p1
OG0000096	NM_111761.3.p1, NM_128496.2.p1	XM_045117474.1.p1, XM_045117353.1.p1, XM_045122485.1.p1, XM_045117468.1.p1, XM_045117473.1.p1, XM_045105531.1.p1, XM_045104475.1.p1, XM_045103697.1.p2, XM_045117472.1.p1, XM_045122603.1.p1
OG0000097	NM_001333563.1.p1, NM_104160.3.p1, NM_104159.1.p1, NM_102568.2.p1, NM_001340417.1.p1, NM_116541.4.p1, NM_001332174.1.p1, NM_001332176.1.p1, NM_106681.1.p1, NM_104158.2.p1, NM_104157.1.p1	XM_045096113.1.p1, XM_045113348.1.p1, XM_045113347.1.p1
OG0000098	NM_001340740.1.p1, NM_001340741.1.p1, NM_001340739.1.p1, NM_001341569.1.p1, NM_001341568.1.p1, NM_001337146.1.p1, NM_130128.4.p1, NM_001345537.1.p1, NM_001345536.1.p1, NM_001345539.1.p1, NM_001345529.1.p1, NM_180916.1.p1, NM_125610.4.p1, NM_001345528.1.p1	XM_045127236.1.p1, XM_045127235.1.p1, XM_045115699.1.p1
OG0000099	NM_128136.3.p1	XM_045121080.1.p1, XM_045111364.1.p1, XM_045119385.1.p1
OG0000099	NM_112214.5.p1	XM_045129401.1.p1
OG0000099	NM_121824.4.p1, NM_001343538.1.p1, NM_111265.4.p1	XM_045121270.1.p1, XM_045121269.1.p1
OG0000101	NM_112093.3.p1	XM_045122420.1.p1, XM_045117109.1.p1
OG0000101	NM_001125684.1.p1, NM_104519.1.p1	XM_045126064.1.p1, XM_045112972.1.p1, XM_045097198.1.p1
OG0000102	NM_114829.4.p1	XM_045129070.1.p1
OG0000102	NM_001336612.1.p1	XM_045113312.1.p1, XM_045101956.1.p1
OG0000102	NM_119940.5.p1	XM_045124111.1.p1, XM_045116759.1.p1, XM_045116195.1.p1, XM_045116686.1.p1, XM_045107032.1.p1, XM_045118148.1.p1
OG0000102	NM_125143.4.p1	XM_045096734.1.p1, XM_045105508.1.p1
OG0000103	NM_113483.5.p1, NM_001338768.1.p1, NM_113482.5.p1, NM_127982.4.p1, NM_117775.4.p1, NM_001341133.1.p1, NM_001341134.1.p1, NM_117774.4.p1	XM_045113165.1.p1, XM_045107955.1.p1, XM_045113163.1.p1
OG0000107	NM_001203535.1.p1, NM_001344505.1.p1	XM_045099021.1.p1, XM_045106246.1.p1
OG0000107	NM_179779.3.p1	XM_045108992.1.p1, XM_045093369.1.p1, XM_045128026.1.p1, XM_045128025.1.p1
OG0000107	NM_179453.3.p1	XM_045111547.1.p1, XM_045106533.1.p1, XM_045095466.1.p1, XM_045102465.1.p1, XM_045094858.1.p1
OG0000108	NM_128996.3.p1, NM_001336515.1.p1, NM_111544.1.p1, NM_102613.2.p1, NM_001084156.1.p1, NM_100035.3.p1, NM_105210.2.p1, NM_119822.1.p1, NM_125437.5.p1, NM_179727.5.p1	XM_045104138.1.p1, XM_045104754.1.p1, XM_045091891.1.p1, XM_045093500.1.p1, XM_045118325.1.p1, XM_045099329.1.p1, XM_045117104.1.p1, XM_045117338.1.p1
OG0000109	NM_114533.2.p1, NR_141647.1.p1, NM_114534.3.p1, NR_141648.1.p1, NR_141646.1.p1, NM_123154.3.p1, NM_123160.3.p1, NM_123164.2.p1, NM_114539.3.p1, NM_114536.4.p1, NM_114532.5.p1, NM_114535.1.p1, NR_143870.1.p1, NM_114537.4.p1, NM_125351.3.p1, NM_125350.3.p1, NM_111968.4.p1, NM_120668.4.p1, NM_120672.2.p1, NM_120670.2.p1, NM_120671.4.p1, NM_120669.4.p1, NM_115429.3.p1, NM_115428.3.p1	XM_045129874.1.p1, XM_045095795.1.p1, XM_045117380.1.p1, XM_045128117.1.p1, XM_045117578.1.p1
OG0000110	NM_001339360.1.p1, NM_148858.2.p1, NR_141368.1.p1, NM_148857.3.p1, NM_148853.1.p1, NM_001203102.2.p1, NM_148855.3.p1, NM_148854.3.p1, NM_122405.2.p1, NM_001343905.1.p1, NM_122404.1.p1, NM_128630.3.p1, NM_128628.4.p1, NM_001198035.1.p1, NM_101034.3.p1	XM_045103092.1.p1, XM_045116366.1.p1, XM_045119555.1.p1, XM_045116365.1.p1, XM_045103062.1.p1, XM_045117603.1.p1
OG0000111	NM_126284.3.p1, NM_201670.2.p1, NM_126289.2.p1, NM_126293.4.p1, NM_126292.3.p1, NM_001335105.1.p1, NM_126291.2.p1, NM_126290.2.p1, NM_126283.5.p1, NM_106660.7.p1	XM_045095193.1.p1, XM_045099882.1.p1, XM_045099880.1.p1, XM_045102234.1.p1, XM_045114649.1.p1
OG0000112	NM_100232.5.p1, NM_100275.3.p1, NM_113885.2.p1, NM_113891.2.p1, NM_113890.3.p1, NM_113894.1.p1, NM_125509.3.p1, NM_113889.3.p1, NM_113880.2.p1, NM_123271.3.p1, NM_123267.6.p1, NM_123270.3.p1	XM_045127805.1.p1, XM_045095778.1.p1
OG0000113	NM_100508.2.p1	XM_045093984.1.p1
OG0000113	NM_114794.2.p1, NM_128302.3.p1, NM_123957.3.p1	XM_045128902.1.p1, XM_045098569.1.p1, XM_045128052.1.p1, XM_045123931.1.p1, XM_045128174.1.p1, XM_045105370.1.p1, XM_045105358.1.p1, XM_045096633.1.p1, XM_045094696.1.p1, XM_045106388.1.p1, XM_045113275.1.p1, XM_045113279.1.p1
OG0000115	NM_104843.2.p1, NM_001333993.1.p1, NM_118259.4.p1, NM_001341479.1.p1	XM_045109466.1.p1, XM_045109470.1.p1
OG0000115	NM_101008.3.p1, NM_001331978.1.p1, NM_001198033.2.p1, NM_001331976.1.p1, NM_001331975.1.p1, NM_101003.3.p1	XM_045121361.1.p1, XM_045121357.1.p1
OG0000116	NM_106650.3.p1, NM_104130.4.p1	XM_045095859.1.p1, XM_045095858.1.p1, XM_045089966.1.p1
OG0000117	NM_101299.4.p1, NM_126342.4.p1, NM_001035882.1.p1, NM_001035883.2.p1, NM_001332735.1.p1, NM_102457.6.p1, NM_106111.4.p1, NM_179553.1.p1	XM_045126837.1.p1, XM_045126836.1.p1, XM_045095221.1.p1
OG0000118	NM_001336162.1.p1, NM_128389.3.p1, NM_115205.2.p1, NM_129277.3.p1, NM_001202767.1.p1	XM_045114405.1.p1
OG0000118	NM_119685.3.p1	XM_045092322.1.p1
OG0000118	NM_120713.5.p1	XM_045120318.1.p1, XM_045107567.1.p1
OG0000119	NM_112258.4.p1, NM_111664.3.p1, NM_124188.4.p1, NM_111662.3.p1, NM_111663.2.p1, NM_111661.3.p1, NM_101576.1.p1, NM_127105.1.p1, NM_128219.2.p1, NM_117450.2.p1, NM_129589.1.p1, NM_103464.1.p1, NM_106487.3.p1, NM_128875.1.p1	XM_045106417.1.p1, XM_045116489.1.p1, XM_045104335.1.p1, XM_045096003.1.p1
OG0000120	NM_116969.3.p1, NM_001198209.1.p1, NM_103213.3.p1, NM_106479.3.p1	XM_045106559.1.p1
OG0000120	NM_001344252.1.p1, NM_123209.4.p1, NM_121610.4.p1, NM_001343435.1.p1, NM_001337415.1.p1	XM_045124041.1.p1, XM_045110845.1.p1, XM_045118706.1.p1
OG0000120	NM_180943.2.p1, NM_001203692.1.p1, NM_001203346.1.p1, NM_001203347.1.p1, NM_121083.4.p1	XM_045125543.1.p1
OG0000121	NM_148036.1.p1	XM_045098123.1.p1, XM_045105773.1.p1, XM_045127616.1.p1, XM_045127732.1.p1, XM_045119343.1.p1, XM_045119342.1.p1, XM_045116482.1.p1, XM_045092389.1.p1, XM_045116320.1.p1
OG0000122	NM_101579.4.p1, NM_101578.3.p1, NM_106481.4.p1, NM_001334824.1.p1, NM_101580.4.p1, NM_001334825.1.p1, NM_106484.4.p1, NM_106482.2.p1, NM_106485.4.p1, NM_104246.2.p1	XM_045117046.1.p1, XM_045129254.1.p1, XM_045093150.1.p1, XM_045115109.1.p1
OG0000125	NM_120507.5.p1, NM_001125696.1.p1	XM_045090195.1.p1, XM_045099000.1.p1
OG0000125	NM_001342699.1.p1, NM_001342700.1.p1, NM_120411.5.p1, NM_202996.2.p1	XR_006611033.1.p1, XM_045094805.1.p1
OG0000126	NM_117722.7.p1, NM_001341090.1.p1, NM_115584.5.p1, NM_001339849.1.p1, NM_115587.2.p1	XM_045116719.1.p1, XM_045104375.1.p1, XM_045122444.1.p1, XM_045117453.1.p1, XM_045122431.1.p1, XM_045122430.1.p1, XM_045122443.1.p1, XM_045122432.1.p1, XM_045122451.1.p1, XM_045122450.1.p1, XM_045122461.1.p1, XM_045117457.1.p1, XM_045122445.1.p1, XM_045122602.1.p1
OG0000129	NM_112524.4.p1, NM_180266.3.p1, NM_112523.1.p1	XM_045116791.1.p1, XM_045121035.1.p1, XM_045125976.1.p1, XM_045116790.1.p1, XM_045125989.1.p1, XM_045116786.1.p1, XM_045116787.1.p1, XM_045125964.1.p1, XM_045114633.1.p1, XM_045093499.1.p1, XM_045112914.1.p1, XM_045116795.1.p1, XM_045113669.1.p1, XM_045118699.1.p1, XM_045116708.1.p1
OG0000131	NM_178968.5.p1	XM_045106073.1.p1
OG0000131	NM_104380.1.p1	XR_006611068.1.p1
OG0000133	NM_001339897.1.p1, NM_001339898.1.p1, NM_115650.5.p1, NM_104035.4.p1	XM_045093803.1.p1, XM_045092858.1.p1
OG0000133	NM_102109.4.p1	XM_045123249.1.p1, XM_045112774.1.p1
OG0000133	NM_100296.2.p1	XM_045096511.1.p1
OG0000133	NM_120768.3.p1	XM_045105723.1.p1
OG0000133	NM_124180.3.p1	XM_045110910.1.p1
OG0000134	NM_179787.4.p1, NM_100678.3.p1, NM_001331754.1.p1	XM_045103992.1.p1, XM_045103565.1.p1
OG0000134	NM_001334328.1.p1, NM_001334330.1.p1, NM_105453.3.p1, NM_202373.4.p1, NM_001334329.1.p1, NM_001338880.1.p1, NM_001338879.1.p1, NM_001084748.2.p1, NM_001338878.1.p1, NM_101171.4.p1, NM_001035957.3.p1, NM_001332057.1.p1, NM_001332056.1.p1	XM_045122109.1.p1, XM_045122698.1.p1, XM_045115871.1.p1
OG0000135	NM_115222.3.p1	XM_045117702.1.p1, XM_045122766.1.p1, XM_045124797.1.p1
OG0000135	NM_116378.4.p1, NM_099987.4.p1, NM_001331245.1.p1, NM_130253.3.p1	XM_045106767.1.p1, XM_045112727.1.p1, XM_045123228.1.p1
OG0000136	NM_148145.5.p1, NM_119178.2.p1	XM_045098469.1.p1
OG0000136	NM_119296.2.p1	XM_045093215.1.p1
OG0000136	NM_122514.2.p1, NM_119529.2.p1, NM_119530.3.p1, NM_127025.3.p1, NM_127021.3.p1, NM_103893.1.p1, NM_001333418.1.p1, NM_112859.2.p1	XM_045093304.1.p2, XM_045093305.1.p1, XM_045103485.1.p1, XM_045102405.1.p1, XM_045090739.1.p1, XM_045090671.1.p1, XM_045092197.1.p1, XM_045105907.1.p1, XM_045105777.1.p2
OG0000138	NM_100911.6.p1, NM_100910.5.p1, NM_104662.4.p1, NM_104660.2.p1	XM_045090874.1.p1, XM_045103636.1.p1
OG0000139	NM_001084672.1.p1, NM_202564.2.p1, NM_202563.3.p1, NM_001337984.1.p1, NM_001337985.1.p1, NM_112061.6.p1, NM_120777.3.p1, NM_001342913.1.p1, NM_203016.2.p1, NM_001342914.1.p1	XM_045121441.1.p1
OG0000139	NM_105536.4.p1	XM_045108320.1.p1, XM_045125788.1.p1, XM_045125787.1.p1, XM_045120062.1.p1, XM_045120061.1.p1, XM_045104597.1.p1, XM_045104598.1.p1
OG0000140	NM_105293.1.p1, NM_105292.3.p1, NM_121232.1.p1, NM_001341507.1.p1, NM_118284.2.p1, NM_118285.3.p1, NM_117120.2.p1, NM_117121.1.p1, NM_103030.2.p1, NM_117122.1.p1, NM_001340673.1.p1, NM_001340672.1.p1, NM_001084901.3.p1, NM_001340675.1.p1, NM_001333025.1.p1, NM_103029.3.p1, NM_001333022.1.p1, NM_001333023.1.p1	XM_045118340.1.p1, XM_045127849.1.p1, XM_045121388.1.p1, XM_045097404.1.p1, XM_045105645.1.p1, XM_045100256.1.p1, XM_045105644.1.p1, XM_045116287.1.p1, XM_045119351.1.p1, XM_045119350.1.p1, XM_045099502.1.p1, XM_045096911.1.p1
OG0000141	NM_202709.2.p1, NM_112097.5.p1, NM_001035605.2.p1	XM_045122789.1.p1, XM_045113276.1.p1
OG0000141	NM_202979.1.p1, NM_120013.6.p1, NM_126006.4.p1, NM_114996.4.p1, NM_202682.2.p1	XM_045100468.1.p1
OG0000142	NM_001334310.1.p1	XM_045113877.1.p1, XM_045117823.1.p1, XM_045117529.1.p1, XM_045122554.1.p1, XM_045117530.1.p1, XM_045122553.1.p1, XM_045117531.1.p1, XM_045118260.1.p1, XM_045122544.1.p1, XM_045122546.1.p1
OG0000143	NM_202078.2.p1, NM_100958.2.p1, NM_001084276.2.p1, NM_104750.3.p1, NM_105486.4.p1	XM_045094903.1.p1, XM_045094901.1.p1, XM_045094900.1.p1, XM_045094902.1.p1, XM_045111276.1.p1, XM_045111277.1.p1, XM_045111278.1.p1, XM_045111279.1.p1
OG0000144	NM_104000.2.p1, NM_112980.3.p1, NM_115627.4.p1	XM_045101779.1.p1, XM_045093768.1.p1
OG0000144	NM_101200.2.p1	XM_045090639.1.p1
OG0000144	NM_100702.4.p1	XM_045106731.1.p1, XM_045117074.1.p1
OG0000145	NM_124457.4.p1, NM_129463.4.p1, NM_118633.2.p1, NM_124458.2.p1, NM_114733.4.p1, NM_122271.3.p1, NM_121320.3.p1	XM_045095159.1.p1, XM_045095160.1.p1, XM_045095797.1.p1, XM_045099118.1.p1
OG0000146	NM_101553.3.p1, NM_100520.4.p1	XM_045121111.1.p1
OG0000146	NM_117996.6.p1, NM_123942.2.p1	XM_045100819.1.p1
OG0000147	NM_128672.2.p1	XM_045097201.1.p1
OG0000148	NM_179180.3.p1, NM_119870.2.p1, NM_001085037.2.p1, NM_001204013.1.p1, NM_119869.2.p1, NM_119868.3.p1	XM_045093239.1.p1, XM_045093238.1.p1
OG0000148	NM_128213.4.p1	XM_045101873.1.p1, XM_045106546.1.p1, XM_045118500.1.p1, XM_045123633.1.p1
OG0000149	NM_100448.4.p1, NM_001197986.1.p1, NM_102256.3.p1, NM_129944.3.p1, NM_201953.2.p1	XM_045094354.1.p1, XM_045094348.1.p1, XM_045094353.1.p1
OG0000150	NM_101311.6.p1, NM_126310.3.p1	XM_045124528.1.p1
OG0000150	NM_118599.2.p1, NM_125939.3.p1	XM_045116601.1.p2, XM_045107403.1.p1
OG0000151	NM_202441.3.p1, NM_001084370.2.p1	XM_045112179.1.p1, XM_045108930.1.p1
OG0000151	NM_001342244.1.p1, NM_119556.3.p1	XM_045091613.1.p1, XM_045124464.1.p1
OG0000151	NM_001345807.1.p1, NM_001203118.1.p1, NM_114910.3.p1	XM_045129027.1.p1
OG0000151	NM_120165.2.p1	XM_045115876.1.p1
OG0000152	NM_001126001.2.p1, NM_125545.4.p1	XM_045107469.1.p1, XM_045119041.1.p1, XM_045103303.1.p1, XM_045116157.1.p1, XM_045127402.1.p1
OG0000152	NM_118268.4.p1, NM_100998.4.p1, NM_122233.4.p1, NM_112884.1.p1, NM_103915.2.p1	XM_045093030.1.p1, XM_045092877.1.p1, XM_045104278.1.p1, XM_045109421.1.p1, XM_045117431.1.p1, XM_045117432.1.p1
OG0000153	NM_180791.3.p1, NM_203146.4.p1, NM_123693.6.p1	XM_045098064.1.p1, XM_045098371.1.p1, XM_045098374.1.p1, XM_045098375.1.p1
OG0000156	NM_203086.3.p1, NM_122013.4.p1, NM_001036832.1.p1	XM_045119261.1.p1
OG0000156	NM_104148.5.p1, NM_001338180.1.p1, NM_001202974.1.p1, NM_112435.3.p1, NM_103674.1.p1, NM_179468.2.p1	XM_045101797.1.p1, XM_045128948.1.p1, XM_045128956.1.p1
OG0000158	NM_123700.1.p1, NM_001339687.1.p1, NM_129452.4.p1, NM_128843.4.p1, NM_123701.4.p1, NM_123703.3.p1, NM_123702.1.p1	XM_045123852.1.p1, XM_045123963.1.p1, XM_045129627.1.p1, XM_045127044.1.p1, XM_045089797.1.p1, XM_045123863.1.p1
OG0000160	NM_001203786.1.p1, NM_113378.2.p1, NM_124267.3.p1, NM_001337685.1.p1, NM_111581.3.p1, NM_001203791.1.p1, NM_117445.3.p1, NM_113328.3.p1, NM_100348.4.p1	XM_045115338.1.p1
OG0000162	NM_001341952.1.p1, NM_119032.5.p1, NM_119030.4.p1, NM_001084996.2.p1	XM_045099084.1.p1, XM_045099085.1.p1, XM_045099091.1.p1, XM_045099089.1.p1, XM_045099088.1.p1, XM_045099092.1.p1, XM_045099090.1.p1, XM_045119583.1.p1
OG0000163	NM_124138.2.p1, NM_117534.3.p1	XM_045113715.1.p2, XM_045103375.1.p1
OG0000163	NM_179946.4.p1, NM_201888.3.p1, NM_001339611.1.p1, NM_115194.3.p1, NM_001339608.1.p1, NM_001339609.1.p1	XM_045122202.1.p1, XM_045122195.1.p1, XM_045121869.1.p1
OG0000164	NM_121748.4.p1	XM_045092512.1.p1
OG0000164	NM_001336002.1.p1, NM_119393.3.p1	XM_045095054.1.p1, XM_045110835.1.p1
OG0000164	NM_120599.4.p1	XM_045129611.1.p1, XM_045108358.1.p1
OG0000165	NM_104490.5.p1, NM_001333763.1.p1, NM_001333764.1.p1, NM_104491.2.p1, NM_104492.4.p1, NM_104493.4.p1, NM_001198318.1.p1	XM_045111665.1.p1, XM_045103741.1.p1, XM_045111668.1.p1, XM_045111664.1.p1, XM_045107413.1.p1, XM_045122169.1.p1
OG0000166	NM_001336689.1.p1, NM_129368.3.p1, NM_120202.5.p1	XM_045122821.1.p1, XM_045121727.1.p1
OG0000166	NM_127675.3.p1	XM_045126278.1.p1, XM_045107426.1.p1
OG0000166	NM_106418.4.p1	XM_045122864.1.p1
OG0000167	NM_113182.2.p1	XM_045108252.1.p1, XM_045129405.1.p1
OG0000167	NM_115050.2.p1	XM_045126753.1.p1, XM_045126472.1.p1, XM_045126465.1.p1, XM_045126480.1.p1
OG0000168	NM_127238.3.p1, NM_119676.4.p1, NM_001203991.1.p1	XM_045108156.1.p1
OG0000168	NM_001336641.1.p1, NM_129274.4.p1, NM_115202.3.p1, NM_125459.4.p1, NM_001336755.1.p1, NM_129458.3.p1, NM_115339.3.p1	XM_045097910.1.p1, XM_045111264.1.p1, XM_045111265.1.p1, XM_045093810.1.p1
OG0000169	NM_001332071.1.p1, NM_101227.3.p1	XM_045117610.1.p1, XM_045117605.1.p1, XM_045122646.1.p1, XM_045117609.1.p1, XM_045117608.1.p1
OG0000170	NM_001343292.1.p1, NM_180705.3.p1, NM_121377.5.p1	XM_045092208.1.p1, XM_045127084.1.p1, XM_045127083.1.p1, XM_045125013.1.p1, XM_045125016.1.p1, XM_045125014.1.p1, XM_045125017.1.p1
OG0000172	NM_102088.3.p1, NM_102089.5.p1, NM_001036001.1.p1, NM_102086.3.p1, NM_202156.2.p1, NM_102085.3.p1	XM_045096047.1.p1, XM_045096482.1.p1, XM_045123814.1.p1, XM_045096227.1.p1, XM_045110283.1.p1, XM_045103185.1.p1, XM_045103641.1.p1, XM_045102717.1.p1, XM_045096704.1.p1, XM_045127911.1.p1, XM_045127748.1.p1, XM_045114217.1.p1
OG0000173	NM_100497.3.p1, NM_179831.2.p1, NM_113225.3.p1	XM_045091597.1.p1, XM_045108618.1.p1, XM_045113221.1.p1, XM_045112912.1.p1, XM_045106812.1.p1, XM_045109779.1.p1, XM_045114462.1.p1
OG0000176	NM_116327.5.p1, NM_001340292.1.p1	XM_045091803.1.p1
OG0000176	NM_001084652.2.p1, NM_001202909.1.p1, NM_111640.2.p1, NM_104911.3.p1, NM_001332012.1.p1, NM_101067.6.p1	XM_045091578.1.p1, XM_045090926.1.p1, XR_006609853.1.p1
OG0000177	NM_147836.5.p1, NM_001342796.1.p1, NM_122103.4.p1, NM_001343691.1.p1	XM_045128858.1.p1, XM_045107526.1.p1, XM_045128856.1.p1, XM_045128854.1.p1, XM_045121266.1.p1
OG0000178	NM_116189.4.p1, NM_001340194.1.p1, NM_001202725.1.p1, NM_128761.4.p1, NM_001336366.1.p1, NM_001331550.1.p1, NM_100426.5.p1	XM_045129347.1.p1, XM_045123514.1.p1, XM_045126747.1.p1
OG0000179	NM_128995.3.p1, NM_102731.3.p1, NM_102732.3.p1, NM_102733.3.p1, NR_140385.1.p1	XM_045128434.1.p1, XR_006632663.1.p1, XM_045105698.1.p1, XR_006632664.1.p1, XM_045105699.1.p1, XM_045124434.1.p1, XM_045097676.1.p1, XR_006611784.1.p1, XM_045127826.1.p1
OG0000179	NM_001338904.1.p1, NM_126537.4.p1, NM_126540.4.p1, NM_001335269.1.p1	XM_045094515.1.p1
OG0000180	NM_179920.2.p1, NM_102884.2.p1, NM_128363.3.p1, NM_128360.2.p1, NM_128382.2.p1, NM_001336150.1.p1, NM_128362.1.p1, NM_105157.2.p1, NM_122858.3.p1	XM_045116239.1.p1, XM_045116244.1.p1, XM_045103614.1.p1, XM_045116160.1.p1, XM_045117909.1.p1, XM_045117910.1.p1, XM_045116238.1.p1
OG0000183	NM_104701.3.p1, NM_001333876.1.p1, NM_001340176.1.p1, NM_001340175.1.p1, NM_001340173.1.p1, NM_001340178.1.p1, NM_001340177.1.p1, NM_001340174.1.p1, NM_001340172.1.p1, NM_116139.3.p1, NM_001340171.1.p1, NM_118921.4.p1, NM_001341884.1.p1, NM_118920.5.p1	XM_045119755.1.p1
OG0000184	NM_179766.4.p1	XM_045121454.1.p1
OG0000184	NM_001339107.1.p1	XM_045119958.1.p1
OG0000184	NM_117546.4.p1, NM_113193.2.p1	XR_006621719.1.p1
OG0000185	NM_001339062.1.p1	XM_045099500.1.p1
OG0000185	NM_101421.3.p1, NM_001332173.1.p1	XM_045128977.1.p1, XM_045117452.1.p1, XM_045095700.1.p1, XM_045121101.1.p1, XM_045120393.1.p1, XM_045120392.1.p1, XM_045100132.1.p1, XM_045100131.1.p1, XM_045100133.1.p1, XM_045100134.1.p1
OG0000186	NM_125336.2.p1, NM_001339268.1.p1, NM_114527.2.p1, NM_001084782.1.p1, NM_001336196.1.p1, NM_128463.5.p1, NM_100627.5.p1, NM_129321.2.p1	XM_045094468.1.p1, XM_045129821.1.p1
OG0000187	NM_179526.4.p1, NM_001334326.1.p1, NM_001334325.1.p1, NM_180487.4.p1, NM_203051.3.p1, NM_001337352.1.p1, NM_111031.4.p1	XM_045122096.1.p1
OG0000188	NM_123959.1.p1	XM_045099945.1.p1, XM_045119414.1.p1, XM_045119415.1.p1, XM_045115066.1.p1, XM_045116311.1.p1
OG0000188	NM_202202.2.p1, NM_102626.4.p1, NM_202201.1.p1, NM_102625.4.p1, NM_102627.3.p1, NM_102894.4.p1, NM_102628.4.p1, NM_202203.2.p1, NM_102629.2.p1, NM_128295.5.p1, NM_102634.3.p1, NM_102633.3.p1, NM_102631.3.p1, NM_102632.3.p1	XM_045120567.1.p1, XM_045120450.1.p1, XM_045118671.1.p1, XM_045120407.1.p1, XM_045120406.1.p1
OG0000189	NM_127224.6.p1, NM_119665.3.p1, NM_120023.3.p1	XM_045105805.1.p1, XM_045094578.1.p1
OG0000189	NM_179418.2.p1, NM_117014.3.p1	XM_045123003.1.p1, XM_045117014.1.p1, XM_045124680.1.p1, XM_045091124.1.p1
OG0000191	NM_001125413.2.p1, NM_001340130.1.p1, NM_116050.4.p1, NM_180403.2.p1, NM_001036472.2.p1, NM_130224.8.p1, NM_118538.4.p1	XM_045097038.1.p1, XM_045097039.1.p1, XM_045097040.1.p1, XM_045111538.1.p1
OG0000192	NM_001340647.1.p1, NM_001340646.1.p1, NM_001340645.1.p1, NM_179020.5.p1, NM_001084895.1.p1	XM_045118888.1.p1
OG0000192	NM_129844.5.p1, NM_001203201.2.p1, NM_001084842.1.p1, NM_001339937.1.p1, NM_115740.3.p1, NM_001339938.1.p1	XM_045111686.1.p1, XM_045111694.1.p1, XM_045119363.1.p1
OG0000193	NM_129948.2.p1, NM_001340004.1.p1, NM_129949.2.p1, NM_129950.2.p1, NM_001337063.1.p1, NM_100446.2.p1, NM_100445.2.p1, NM_129951.2.p1	XM_045128177.1.p1, XM_045128176.1.p1, XM_045118274.1.p1, XM_045128175.1.p1, XM_045118153.1.p1
OG0000194	NM_104676.5.p1, NM_100918.3.p1, NM_105665.3.p1	XM_045095651.1.p1, XM_045105629.1.p1
OG0000194	NM_201943.2.p1	XM_045126794.1.p1, XM_045129572.1.p1, XM_045093906.1.p1
OG0000195	NM_111584.3.p1	XM_045107494.1.p1, XM_045105489.1.p1, XM_045097814.1.p1, XM_045111660.1.p1, XM_045111659.1.p1
OG0000196	NM_119887.3.p1, NM_127932.3.p1, NM_126056.4.p1, NM_114940.3.p1	XM_045114010.1.p1, XM_045114009.1.p1, XM_045107580.1.p2, XM_045093193.1.p1, XM_045092946.1.p1, XM_045092947.1.p1
OG0000196	NM_106310.4.p1, NM_101954.5.p1	XM_045092130.1.p1, XM_045092129.1.p1, XM_045092131.1.p1, XM_045104019.1.p1, XM_045105209.1.p2, XM_045096753.1.p1, XM_045097184.1.p2, XM_045096732.1.p1
OG0000197	NM_001343607.1.p1, NM_121953.3.p1, NM_001343608.1.p1, NM_001036830.3.p1, NM_121261.3.p1	XM_045128700.1.p1, XM_045090636.1.p1, XM_045090635.1.p1
OG0000198	NM_116051.4.p1, NM_001337205.1.p1, NM_201973.6.p1, NM_130226.6.p1	XM_045127407.1.p1, XM_045127408.1.p1, XM_045115287.1.p1
OG0000198	NM_001161301.1.p1, NM_001344976.1.p1, NM_001344974.1.p1, NM_001344975.1.p1, NM_001161302.1.p1, NM_180843.3.p1, NM_001341746.1.p1, NM_001341748.1.p1, NM_001341745.1.p1, NM_001084978.3.p1, NM_001341747.1.p1, NM_118682.4.p1, NM_001203908.1.p1	XM_045094871.1.p1, XM_045094870.1.p1
OG0000200	NM_111076.1.p1	XM_045099010.1.p1
OG0000201	NM_115175.2.p1, NM_129230.3.p1, NM_129232.4.p1, NM_129233.2.p1, NM_129231.3.p1, NR_140733.1.p1, NR_140732.1.p1, NR_140734.1.p1, NM_129235.4.p1, NM_115176.3.p1	XM_045119232.1.p1, XM_045119233.1.p1
OG0000204	NM_125302.5.p1, NM_125299.3.p1, NM_001203639.1.p1, NM_001345336.1.p1, NM_125272.2.p1, NM_001345324.1.p1, NM_001345326.1.p1, NM_001345325.1.p1, NM_125274.3.p1, NM_125300.3.p1, NM_114552.3.p1, NM_114551.2.p1, NM_001340989.1.p1, NM_125309.1.p1	XM_045101413.1.p1
OG0000205	NM_124024.2.p1, NM_001341257.1.p1	XM_045120843.1.p1, XM_045120841.1.p1, XM_045115289.1.p1, XM_045113092.1.p1, XM_045124508.1.p1, XM_045120835.1.p1, XM_045095486.1.p1, XM_045095487.1.p1, XM_045121721.1.p1, XM_045121719.1.p1
OG0000205	NM_001340142.1.p1, NM_130268.4.p1, NM_116413.2.p1, NM_001340338.1.p1, NM_116412.2.p1, NM_100134.4.p1, NM_001331344.1.p1, NM_100133.3.p1	XM_045107779.1.p1
OG0000206	NM_126990.3.p1, NM_001335416.1.p1, NM_119955.3.p1, NM_001342462.1.p1, NM_001342464.1.p1, NM_001342463.1.p1, NM_115583.6.p1, NM_001339846.1.p1	XM_045095206.1.p1, XM_045110832.1.p1, XM_045110833.1.p1, XM_045092300.1.p1, XM_045104450.1.p1, XM_045104661.1.p1
OG0000207	NM_001340363.1.p1, NM_001340364.1.p1, NM_116444.4.p1, NM_001340362.1.p1, NM_001340365.1.p1	XM_045093739.1.p1, XM_045093740.1.p1
