Orthogroup	Arabidopsis_thaliana_rna_prot	Vitis_vinifera_rna_prot
OG0000090	NM_179287.2.p1, NM_100764.4.p1	XM_019225012.2.p1, XM_010661751.3.p1, XM_010661747.3.p1
OG0000091	NM_125551.4.p1	XM_019226182.2.p1, XR_009467952.1.p1, XM_002282273.5.p1
OG0000091	NM_124155.3.p1	XM_003635431.4.p1
OG0000091	NM_179694.4.p1	XM_059738553.1.p1
OG0000092	NM_101492.3.p1, NM_001332218.1.p1	XM_010649787.1.p1, XM_019218321.2.p1
OG0000092	NM_106617.4.p1, NM_105641.2.p1, NM_101654.1.p1, NM_001332211.1.p1, NM_101480.3.p1, NM_106616.5.p1, NM_179577.1.p1, NM_101478.3.p1, NM_101483.2.p1, NM_101479.2.p1	XM_010665380.3.p1, XM_003634228.4.p1, XM_010665218.3.p1, XM_010665219.3.p1, XM_019226395.1.p1, XM_059734152.1.p1, XM_002274926.5.p1, XM_010665221.3.p1, XM_002274773.4.p1, XM_002264433.4.p1, XM_002264478.4.p1
OG0000093	NM_001339982.1.p1, NM_115809.2.p1, NM_001339981.1.p1	XM_059737114.1.p1, XM_002267924.4.p1
OG0000093	NM_111628.4.p1	XM_010647769.3.p1
OG0000093	NM_117354.3.p1	XM_010647770.3.p1, XM_019218007.2.p1
OG0000095	NM_105425.5.p1	XR_009467449.1.p1, XR_009467452.1.p1
OG0000095	NM_001345589.1.p1, NM_001345587.1.p1, NM_001345586.1.p1, NM_001203676.2.p1, NM_125732.3.p1, NM_001345588.1.p1	XR_788088.3.p1, XR_009464651.1.p1, XR_002032293.2.p1, XR_009464653.1.p1, XR_009464652.1.p1, XR_002032294.2.p1, XM_059734243.1.p1, XR_009464649.1.p1, XR_009464650.1.p1
OG0000096	NM_111761.3.p1	XM_002275621.5.p1, XM_002275399.5.p1
OG0000096	NM_128496.2.p1	XM_002281807.5.p1, XM_019220791.2.p1, XM_019220792.2.p1, XM_010652664.3.p1, XM_019220431.2.p1, XM_059742847.1.p1
OG0000097	NM_001333563.1.p1, NM_104160.3.p1, NM_104159.1.p1, NM_102568.2.p1, NM_001340417.1.p1, NM_116541.4.p1	XM_002284932.5.p1
OG0000097	NM_001332174.1.p1, NM_001332176.1.p1, NM_106681.1.p1, NM_104158.2.p1, NM_104157.1.p1	XM_002280634.4.p1
OG0000098	NM_001340740.1.p1, NM_001340741.1.p1, NM_001340739.1.p1, NM_001341569.1.p1, NM_001341568.1.p1	XM_002275659.5.p1
OG0000098	NM_001337146.1.p1, NM_130128.4.p1	XM_010663176.3.p1
OG0000098	NM_001345537.1.p1, NM_001345536.1.p1, NM_001345539.1.p1, NM_001345529.1.p1, NM_180916.1.p1, NM_125610.4.p1, NM_001345528.1.p1	XM_059733680.1.p1, XM_010664035.3.p1, XM_059733682.1.p1, XM_059733681.1.p1, XM_059733683.1.p1, XM_010664036.3.p1, XM_059733679.1.p1
OG0000099	NM_128136.3.p1	XR_785541.3.p1, XR_785533.3.p1, XM_002272643.5.p1, XR_785534.3.p1, XR_009465467.1.p1, XR_785537.3.p1, XR_009465466.1.p1
OG0000099	NM_112214.5.p1	XM_059737332.1.p1, XM_002283310.4.p1
OG0000099	NM_121824.4.p1, NM_001343538.1.p1, NM_111265.4.p1	XM_002281916.5.p1
OG0000100	NM_128806.2.p1, NM_001161259.1.p1, NM_001036846.2.p1, NM_120047.2.p1, NM_127762.3.p1, NM_123789.1.p1, NM_101774.3.p1, NM_124639.1.p1	XM_010651897.2.p1, XM_059736371.1.p1
OG0000101	NM_001125684.1.p1, NM_104519.1.p1	XM_002279061.4.p1
OG0000101	NM_101471.3.p1	XM_002277014.4.p1
OG0000102	NM_114829.4.p1	XM_019216285.2.p1, XM_010649185.3.p1
OG0000102	NM_001336612.1.p1	XM_002276173.4.p1, XM_002270323.5.p1
OG0000102	NM_119940.5.p1	XM_002280018.5.p1, XM_002278510.4.p1
OG0000102	NM_125143.4.p1	XM_002270730.4.p1
OG0000103	NM_113483.5.p1, NM_001338768.1.p1, NM_113482.5.p1, NM_127982.4.p1, NM_117775.4.p1, NM_001341133.1.p1, NM_001341134.1.p1, NM_117774.4.p1	XM_059742064.1.p1, XM_059742212.1.p1, XM_059742220.1.p1, XM_059741400.1.p1, XM_002266772.4.p1, XM_010647359.1.p1, XM_002267417.4.p1
OG0000106	NM_112617.4.p1, NM_116369.3.p1, NM_116304.4.p1, NM_001343971.1.p1, NM_122527.4.p1, NM_122533.2.p1, NM_122531.2.p1, NM_001343970.1.p1, NM_001085154.1.p1, NM_001335218.1.p1, NM_001036241.3.p1, NM_001161021.2.p1, NM_001335219.1.p1, NM_001124792.1.p1, NM_126455.3.p1, NM_117046.2.p1, NM_001340636.1.p1, NM_001340633.1.p1, NM_001340634.1.p1, NM_001338477.1.p1, NM_112928.3.p1, NM_112929.3.p1, NM_112927.4.p1, NM_113741.4.p1, NM_113104.3.p1, NM_105634.1.p1, NM_105633.1.p1, NM_001338560.1.p1, NM_127133.1.p1, NM_202363.3.p1, NM_105211.4.p1, NM_001334188.1.p1	XM_059735954.1.p1, XR_009465395.1.p1, XM_059735377.1.p1, XM_019218901.2.p1, XM_059735376.1.p1
OG0000107	NM_001203535.1.p1, NM_001344505.1.p1	XM_002279372.5.p1, XM_010658086.3.p1
OG0000107	NM_179779.3.p1	XM_010653532.3.p1
OG0000107	NM_179453.3.p1	XM_002271189.4.p1
OG0000108	NM_128996.3.p1, NM_001336515.1.p1, NM_111544.1.p1	XM_059737773.1.p1
OG0000108	NM_102613.2.p1, NM_001084156.1.p1	XM_002269720.1.p1
OG0000108	NM_100035.3.p1, NM_105210.2.p1, NM_119822.1.p1, NM_125437.5.p1	XM_002271073.1.p1, XM_002270886.1.p1, XM_002271254.1.p1, XM_002272339.3.p1, XM_002272478.1.p1, XM_002270928.1.p1, XM_002270780.1.p1
OG0000109	NM_114533.2.p1, NR_141647.1.p1, NM_114534.3.p1, NR_141648.1.p1, NR_141646.1.p1, NM_123154.3.p1, NM_123160.3.p1, NM_123164.2.p1, NM_114539.3.p1, NM_114536.4.p1, NM_114532.5.p1, NM_114535.1.p1, NR_143870.1.p1, NM_114537.4.p1, NM_125351.3.p1, NM_125350.3.p1	XM_010652661.3.p1
OG0000109	NM_115429.3.p1, NM_115428.3.p1	XM_019224580.2.p1, XM_002276835.4.p1
OG0000110	NM_001339360.1.p1, NM_148858.2.p1, NR_141368.1.p1, NM_148857.3.p1, NM_148853.1.p1, NM_001203102.2.p1, NM_148855.3.p1, NM_148854.3.p1, NM_122405.2.p1, NM_001343905.1.p1, NM_122404.1.p1, NM_128630.3.p1, NM_128628.4.p1, NM_001198035.1.p1, NM_101034.3.p1	XM_010664777.3.p1, XM_019226414.1.p1, XR_787985.3.p1, XM_010664778.3.p1
OG0000111	NM_104504.3.p1, NM_104503.5.p1, NM_100785.3.p1	XM_002279209.4.p1, XM_002283488.5.p1
OG0000111	NM_126284.3.p1, NM_201670.2.p1, NM_126289.2.p1, NM_126293.4.p1, NM_126292.3.p1, NM_001335105.1.p1, NM_126291.2.p1, NM_126290.2.p1, NM_126283.5.p1	XM_002270376.4.p1
OG0000113	NM_100508.2.p1	XM_002275855.4.p1
OG0000115	NM_104843.2.p1, NM_001333993.1.p1, NM_118259.4.p1, NM_001341479.1.p1	XM_059740104.1.p1, XM_010648577.3.p1
OG0000115	NM_101008.3.p1, NM_001331978.1.p1, NM_001198033.2.p1, NM_001331976.1.p1, NM_001331975.1.p1, NM_101003.3.p1	XM_010648574.3.p1, XM_059740197.1.p1, XM_059740201.1.p1, XM_059740198.1.p1, XM_059740475.1.p1, XM_059740202.1.p1, XM_059740199.1.p1, XM_019218630.2.p1
OG0000116	NM_106650.3.p1	XM_059739619.1.p1
OG0000116	NM_104130.4.p1	XR_009466552.1.p1, XR_009466556.1.p1, XR_009466555.1.p1, XM_002263943.4.p1, XR_009466551.1.p1, XR_009466554.1.p1, XR_009466553.1.p1, XM_059739618.1.p1
OG0000117	NM_001332735.1.p1, NM_102457.6.p1	XR_786206.3.p1, XM_003631246.4.p1, XR_009466876.1.p1
OG0000117	NM_106111.4.p1, NM_179553.1.p1	XM_019226558.2.p1, XM_002274863.4.p1
OG0000118	NM_001336162.1.p1, NM_128389.3.p1	XM_002285210.5.p1, XM_019220304.2.p1
OG0000118	NM_115205.2.p1, NM_129277.3.p1, NM_001202767.1.p1	XM_002276243.5.p1
OG0000118	NM_119685.3.p1	XM_010665788.3.p1, XM_002281803.5.p1, XM_010647847.3.p1
OG0000118	NM_120713.5.p1	XM_002275378.4.p1
OG0000119	NM_124188.4.p1, NM_111662.3.p1, NM_111663.2.p1, NM_111661.3.p1	XM_002282537.4.p1, XM_059740921.1.p1, XM_002274089.4.p1, XM_002274060.5.p1, XM_003633297.4.p1, XM_059735147.1.p1, XM_059735266.1.p1
OG0000120	NM_116969.3.p1, NM_001198209.1.p1, NM_103213.3.p1, NM_106479.3.p1	NM_001280923.1.p1
OG0000120	NM_001344252.1.p1, NM_123209.4.p1, NM_121610.4.p1, NM_001343435.1.p1, NM_001337415.1.p1	XM_002283456.4.p1
OG0000120	NM_180943.2.p1, NM_001203692.1.p1, NM_001203346.1.p1, NM_001203347.1.p1, NM_121083.4.p1	XM_002274510.5.p1
OG0000121	NM_148036.1.p1	XM_059737091.1.p1, XM_059737100.1.p1, XM_059737695.1.p1, XM_019218606.2.p1, XM_019216963.2.p1, XM_059735742.1.p1
OG0000122	NM_101579.4.p1, NM_101578.3.p1, NM_106481.4.p1, NM_001334824.1.p1, NM_101580.4.p1, NM_001334825.1.p1, NM_106484.4.p1, NM_106482.2.p1, NM_106485.4.p1	XM_002263359.4.p1, XM_003634701.3.p1, XM_002262608.5.p1, XM_003634728.4.p1, XM_003634698.4.p1, XM_003634699.4.p1, XM_019216922.2.p1, XM_019216921.2.p1, XM_002263602.5.p1, XM_002262731.5.p1, XM_002265074.5.p1, XM_002264401.5.p1, XM_002269669.5.p1, XM_002265971.2.p1
OG0000125	NM_120507.5.p1, NM_001125696.1.p1	XM_019224564.2.p1, XM_059741803.1.p1, XM_059741802.1.p1, XM_010660081.3.p1
OG0000125	NM_001342699.1.p1, NM_001342700.1.p1, NM_120411.5.p1, NM_202996.2.p1	XM_059739018.1.p1, XM_002276620.5.p1, XM_010655297.3.p1, XM_010655295.3.p1
OG0000126	NM_117722.7.p1, NM_001341090.1.p1	NM_001280967.2.p1
OG0000126	NM_115584.5.p1, NM_001339849.1.p1, NM_115587.2.p1	XM_010655612.3.p1, XM_002277137.5.p1, XM_002277410.4.p1, XM_059739264.1.p1, XM_059739262.1.p1
OG0000128	NM_001336635.1.p1, NM_001336637.1.p1, NM_001336628.1.p1, NM_201889.2.p1, NM_001336638.1.p1, NM_001336629.1.p1, NM_001336634.1.p1, NM_001336633.1.p1, NM_001336627.1.p1, NM_001336636.1.p1, NM_001336631.1.p1	XM_059741558.1.p1, XM_059739032.1.p1, XM_059739054.1.p1, XM_059739043.1.p1, XM_059739041.1.p1, XM_019221608.2.p1, XM_059739033.1.p1, XM_059739048.1.p1, XM_010655248.3.p1, XM_059739063.1.p1, XM_059739037.1.p1, XM_059739057.1.p1, XM_019221606.2.p1, XM_059739044.1.p1, XM_059739040.1.p1, XM_059739059.1.p1, XM_019221607.2.p1, XM_059739050.1.p1, XM_059739061.1.p1, XM_059739066.1.p1, XM_059739060.1.p1, XM_059739046.1.p1, XM_059739029.1.p1, XM_059739052.1.p1, XM_059739065.1.p1, XM_059739042.1.p1, XM_059739036.1.p1, XM_059739056.1.p1, XM_059739035.1.p1, XM_059739062.1.p1
OG0000129	NM_112524.4.p1, NM_180266.3.p1, NM_112523.1.p1	XM_002276945.5.p1, XM_019225838.2.p1, XM_002276510.4.p1, XM_003634045.4.p1, XM_002276679.5.p1
OG0000130	NM_117486.4.p1, NM_001340901.1.p1, NM_001203795.1.p1, NM_115789.2.p1, NM_115780.1.p1, NM_001339952.1.p1, NM_115781.3.p1, NM_115785.2.p1, NM_001203203.2.p1, NM_115783.3.p1, NM_115778.3.p1, NM_115779.1.p1, NM_104611.1.p1, NM_001339399.1.p1, NM_115786.1.p1, NM_115787.2.p1, NM_001339953.1.p1, NM_115782.3.p1, NM_118354.4.p1, NM_202861.1.p1	XM_059735082.1.p1, XM_059735080.1.p1
OG0000130	NM_001344247.1.p1, NM_001344246.1.p1, NM_111174.3.p1, NM_001337457.1.p1, NM_111173.3.p1, NM_115755.4.p1, NM_001339944.1.p1, NM_001339946.1.p1, NM_001339945.1.p1, NM_001339943.1.p1, NM_115756.3.p1, NM_115751.1.p1, NM_115757.2.p1, NM_115762.3.p1, NM_001035810.1.p1, NM_001340895.1.p1, NM_001340894.1.p1, NM_104143.3.p1, NM_148059.1.p1, NM_123200.2.p1, NM_001344245.1.p1, NM_115744.3.p1, NM_115750.1.p1, NM_115752.2.p1, NM_001203202.2.p1, NM_115748.2.p1	XM_010646529.1.p1
OG0000131	NM_178968.5.p1	XM_010646102.3.p1
OG0000131	NM_122069.4.p1	XM_002266334.5.p1
OG0000132	NM_001333384.1.p1, NM_103836.4.p1, NM_112785.5.p1, NM_001338374.1.p1	XM_059735933.1.p1
OG0000132	NM_148574.4.p1, NM_001338373.1.p1, NM_112782.4.p1, NM_116389.3.p1	XM_019222965.2.p1, XM_059740869.1.p1, XM_059740563.1.p1, XM_010658365.1.p1, XM_059740794.1.p1, XM_059737725.1.p1
OG0000133	NM_001339897.1.p1, NM_001339898.1.p1, NM_115650.5.p1, NM_104035.4.p1	XM_010655607.3.p1, XM_059739265.1.p1
OG0000133	NM_121300.3.p1	XM_010652980.3.p1
OG0000133	NM_118127.1.p1	XM_010661021.3.p1
OG0000133	NM_102109.4.p1	XM_002272967.4.p1
OG0000133	NM_100296.2.p1	XM_002268155.4.p1
OG0000133	NM_120768.3.p1	XM_002277934.5.p1
OG0000133	NM_124180.3.p1	XM_002265121.5.p1
OG0000134	NM_179787.4.p1, NM_100678.3.p1, NM_001331754.1.p1	XM_010652878.2.p1, XM_010652880.3.p1
OG0000134	NM_001338880.1.p1, NM_001338879.1.p1, NM_001084748.2.p1, NM_001338878.1.p1	XM_002272305.4.p1
OG0000134	NM_101171.4.p1, NM_001035957.3.p1, NM_001332057.1.p1, NM_001332056.1.p1	XM_010652196.3.p1, XM_010652201.3.p1, XM_059739545.1.p1
OG0000135	NM_115222.3.p1	XM_002278831.5.p1
OG0000135	NM_116378.4.p1, NM_099987.4.p1, NM_001331245.1.p1, NM_130253.3.p1	XM_002268253.4.p1
OG0000136	NM_148145.5.p1, NM_119178.2.p1	XM_002276732.5.p1
OG0000136	NM_100013.2.p1	XM_002274032.4.p1
OG0000136	NM_103893.1.p1, NM_001333418.1.p1	XM_002265014.5.p1, XM_002274271.5.p1, XM_059735963.1.p1, XM_003631647.4.p1
OG0000138	NM_100911.6.p1, NM_100910.5.p1	XM_002273701.4.p1, XM_019220697.2.p1, XM_002274083.4.p1
OG0000139	NM_001084672.1.p1, NM_202564.2.p1, NM_202563.3.p1, NM_001337984.1.p1, NM_001337985.1.p1, NM_112061.6.p1, NM_120777.3.p1, NM_001342913.1.p1, NM_203016.2.p1, NM_001342914.1.p1	XM_010660788.2.p1, XM_059741555.1.p1, XM_059741556.1.p1, XM_002263123.5.p1, XM_059741552.1.p1, XM_003632693.4.p1
OG0000139	NM_105536.4.p1	XM_059737986.1.p1
OG0000140	NM_105293.1.p1, NM_105292.3.p1, NM_121232.1.p1, NM_001341507.1.p1, NM_118284.2.p1, NM_118285.3.p1, NM_117120.2.p1, NM_117121.1.p1, NM_103030.2.p1, NM_117122.1.p1, NM_001340673.1.p1, NM_001340672.1.p1, NM_001084901.3.p1, NM_001340675.1.p1, NM_001333025.1.p1, NM_103029.3.p1, NM_001333022.1.p1, NM_001333023.1.p1	XM_003634104.4.p1, XM_019216831.2.p1, XM_019216833.2.p1
OG0000141	NM_202709.2.p1, NM_112097.5.p1, NM_001035605.2.p1	XM_010659849.3.p1
OG0000141	NM_202979.1.p1, NM_120013.6.p1, NM_126006.4.p1, NM_114996.4.p1, NM_202682.2.p1	XM_059736472.1.p1, XM_002279957.5.p1, XM_003631519.4.p1, XM_059735779.1.p1, XM_059735778.1.p1
OG0000142	NM_001334310.1.p1	XM_059735457.1.p1
OG0000143	NM_202078.2.p1, NM_100958.2.p1, NM_001084276.2.p1, NM_104750.3.p1	XM_010656301.3.p1, XM_019221525.2.p1, XM_010656304.3.p1, XR_786558.3.p1, XM_019221534.2.p1, XM_059739249.1.p1, XM_059739189.1.p1, XM_059739384.1.p1, XR_009466518.1.p1
OG0000144	NM_115627.4.p1	XM_002277501.4.p1
OG0000144	NM_103201.3.p1	XM_002284095.4.p1
OG0000144	NM_101200.2.p1	XM_010649605.3.p1
OG0000144	NM_100702.4.p1	XM_002277009.4.p1
OG0000145	NM_124457.4.p1	XM_002284208.4.p1
OG0000145	NM_129463.4.p1	XM_002267756.4.p1
OG0000145	NM_118633.2.p1, NM_124458.2.p1, NM_114733.4.p1, NM_122271.3.p1	XM_002280563.4.p1
OG0000146	NM_100520.4.p1	XM_002285459.4.p1
OG0000146	NM_117996.6.p1, NM_123942.2.p1	XM_002268779.5.p1
OG0000146	NM_125479.4.p1, NM_112368.4.p1	XM_010645852.3.p1, XM_002277543.4.p1
OG0000147	NM_128672.2.p1	XM_010654074.3.p1
OG0000147	NM_001084733.2.p1	XM_010651795.3.p1
OG0000147	NM_100583.2.p1	XM_002278247.5.p1
OG0000147	NM_111322.3.p1, NM_122732.3.p1	XM_002267276.4.p1
OG0000148	NM_179180.3.p1, NM_119870.2.p1, NM_001085037.2.p1, NM_001204013.1.p1, NM_119869.2.p1, NM_119868.3.p1	XM_059738691.1.p1, XM_002281762.5.p1, XM_002277282.4.p1
OG0000149	NM_100448.4.p1, NM_001197986.1.p1	XM_019219735.2.p1, XM_019219936.2.p1, XM_002275351.5.p1, XM_019219734.2.p1, XM_003632039.4.p1, XM_059737211.1.p1
OG0000149	NM_102256.3.p1	XM_002280269.4.p1, XM_002267629.4.p1
OG0000149	NM_129944.3.p1, NM_201953.2.p1	XM_002278419.4.p1, XM_019219701.2.p1
OG0000150	NM_101311.6.p1, NM_126310.3.p1	XM_002267711.4.p1, XM_003633364.4.p1
OG0000150	NM_118599.2.p1, NM_125939.3.p1	XM_002263430.4.p1, XM_002281662.4.p1, XM_010666938.3.p1, XM_003635009.4.p1, XM_002285673.4.p1
OG0000151	NM_202441.3.p1, NM_001084370.2.p1	XM_003634430.4.p1
OG0000151	NM_001342244.1.p1, NM_119556.3.p1	XM_002284923.5.p1, XM_003631568.4.p1
OG0000151	NM_001345807.1.p1, NM_001203118.1.p1, NM_114910.3.p1	XM_002264136.4.p1
OG0000151	NM_120165.2.p1	XM_002262690.4.p1
OG0000152	NM_001126001.2.p1, NM_125545.4.p1	NM_001281277.1.p1
OG0000152	NM_118268.4.p1, NM_100998.4.p1	NM_001281111.1.p1
OG0000153	NM_180791.3.p1, NM_203146.4.p1, NM_123693.6.p1	XM_010657665.3.p1, XM_010657658.3.p1, XM_010657660.3.p1
OG0000156	NM_203086.3.p1, NM_122013.4.p1, NM_001036832.1.p1	XM_010658098.3.p1
OG0000156	NM_104148.5.p1, NM_001338180.1.p1, NM_001202974.1.p1, NM_112435.3.p1, NM_103674.1.p1, NM_179468.2.p1	XM_002285299.4.p1, XM_010656443.3.p1
OG0000157	NM_102057.4.p1, NM_106441.4.p1	XM_010665969.3.p1, XM_010665970.3.p1, XM_059734260.1.p1, XM_010665971.3.p1, XM_002285784.5.p1
OG0000157	NM_180942.3.p1, NM_001037070.1.p1, NM_125919.3.p1, NM_121041.5.p1, NM_001343085.1.p1, NM_001343086.1.p1, NM_001343084.1.p1	XM_019221072.2.p1, XM_019221071.2.p1, XM_059738699.1.p1
OG0000158	NM_001339687.1.p1, NM_129452.4.p1	XM_019220901.2.p1
OG0000158	NM_128843.4.p1	XM_002285117.5.p1, XM_019220164.2.p1
OG0000158	NM_123701.4.p1, NM_123703.3.p1, NM_123702.1.p1	XM_010651784.2.p1, XM_002281228.5.p1
OG0000160	NM_105443.5.p1	XM_002285304.5.p1
OG0000160	NM_001338872.1.p1	NM_001281122.1.p1
OG0000160	NM_001203786.1.p1, NM_113378.2.p1, NM_124267.3.p1, NM_001337685.1.p1, NM_111581.3.p1	XM_002265064.5.p1
OG0000160	NM_001203791.1.p1, NM_117445.3.p1, NM_113328.3.p1, NM_100348.4.p1	XM_002285603.5.p1
OG0000160	NM_124954.3.p1	XM_002265693.4.p1
OG0000162	NM_001341952.1.p1, NM_119032.5.p1, NM_119030.4.p1, NM_001084996.2.p1	XR_786842.3.p1, XR_009466943.1.p1, XR_786840.3.p1
OG0000163	NM_117534.3.p1	XM_010659175.3.p1
OG0000163	NM_179946.4.p1, NM_201888.3.p1, NM_001339611.1.p1, NM_115194.3.p1, NM_001339608.1.p1, NM_001339609.1.p1	XM_059739102.1.p1, XM_059739103.1.p1, XR_009466416.1.p1, XM_059739105.1.p1, XM_002273195.4.p1, XM_059741800.1.p1
OG0000164	NM_121024.3.p1, NM_125870.3.p1, NM_127746.2.p1, NM_120095.4.p1	XM_002277599.4.p1, XM_002265919.5.p1
OG0000164	NM_121748.4.p1	XM_002276854.5.p1
OG0000164	NM_001336002.1.p1, NM_119393.3.p1	XM_010650350.3.p1
OG0000164	NM_120599.4.p1	XR_009466475.1.p1, XR_009466474.1.p1, XR_009466476.1.p1, XM_002278961.4.p1
OG0000165	NM_104490.5.p1, NM_001333763.1.p1, NM_001333764.1.p1, NM_104491.2.p1, NM_104492.4.p1, NM_104493.4.p1, NM_001198318.1.p1	XM_059741256.1.p1, XM_002267093.5.p1, XM_019223727.2.p1
OG0000166	NM_001336689.1.p1, NM_129368.3.p1, NM_120202.5.p1	XM_002279183.5.p1, XM_019221799.2.p1, XM_002268889.4.p1
OG0000166	NM_127675.3.p1	XM_002277381.4.p1
OG0000166	NM_106418.4.p1	XM_002285800.4.p1
OG0000167	NM_113182.2.p1	XM_002279303.4.p1
OG0000167	NM_115050.2.p1	XM_059737802.1.p1, XM_059737803.1.p1, XM_059737804.1.p1, XM_059737800.1.p1, XM_059737797.1.p1, XM_059737798.1.p1, XM_059737801.1.p1
OG0000168	NM_127238.3.p1, NM_119676.4.p1, NM_001203991.1.p1	NM_001281028.1.p1
OG0000168	NM_001336641.1.p1, NM_129274.4.p1, NM_115202.3.p1, NM_125459.4.p1	NM_001281129.1.p1
OG0000168	NM_115339.3.p1	NM_001280993.1.p1
OG0000169	NM_001332071.1.p1, NM_101227.3.p1	XM_019221390.2.p1, XM_019221384.2.p1, XM_010666337.3.p1, XM_059742483.1.p1, XM_019225215.2.p1, XM_002278906.5.p1, XM_002270114.5.p1, XM_010655994.3.p1
OG0000170	NM_001343292.1.p1, NM_180705.3.p1, NM_121377.5.p1	XM_059742102.1.p1, XM_059741915.1.p1, XM_002277562.5.p1
OG0000172	NM_102088.3.p1, NM_102089.5.p1, NM_001036001.1.p1, NM_102086.3.p1, NM_202156.2.p1, NM_102085.3.p1	XM_002285743.5.p1, XM_002285734.5.p1, XM_002285735.5.p1, NM_001290241.1.p1
OG0000173	NM_113225.3.p1	XM_010651768.3.p1
OG0000174	NM_125364.3.p1, NM_114492.4.p1, NM_104232.4.p1	XM_002280545.5.p1, XM_010660191.3.p1, XM_002280785.5.p1, XM_002280899.5.p1
OG0000174	NM_104679.4.p1, NM_100614.3.p1, NM_128504.4.p1	XM_002281249.5.p1, XM_002281358.4.p1, XM_002281420.4.p1, XM_002281184.5.p1
OG0000176	NM_116327.5.p1, NM_001340292.1.p1	XR_009464490.1.p1, XM_019225713.1.p1, XM_019225716.1.p1, XM_059743004.1.p1, XM_019225714.2.p1, XM_002263889.5.p1, XM_019225715.1.p1
OG0000176	NM_001084652.2.p1, NM_001202909.1.p1, NM_111640.2.p1	XM_019222435.2.p1, XM_010657615.3.p1
OG0000176	NM_104911.3.p1, NM_001332012.1.p1, NM_101067.6.p1	XM_010657070.3.p1
OG0000177	NM_147836.5.p1, NM_001342796.1.p1	XM_002262956.3.p1
OG0000177	NM_122103.4.p1, NM_001343691.1.p1	XM_010653341.2.p1
OG0000178	NM_116189.4.p1, NM_001340194.1.p1	XM_010653694.3.p1
OG0000178	NM_001202725.1.p1, NM_128761.4.p1, NM_001336366.1.p1, NM_001331550.1.p1, NM_100426.5.p1	XM_059736864.1.p1, XM_002282903.4.p1
OG0000179	NM_128995.3.p1, NM_102731.3.p1, NM_102732.3.p1, NM_102733.3.p1, NR_140385.1.p1	XM_002283530.5.p1, XM_002285610.4.p1
OG0000179	NM_001338904.1.p1, NM_126537.4.p1, NM_126540.4.p1, NM_001335269.1.p1	XM_002271651.5.p1
OG0000180	NM_179920.2.p1, NM_102884.2.p1	XM_002266425.3.p1, XM_002266462.3.p1, XM_002266539.1.p1, XM_002266578.4.p1, XM_002266497.4.p1
OG0000183	NM_179247.6.p1, NM_100166.4.p1, NM_001123745.2.p1, NM_001331360.1.p1, NM_104701.3.p1, NM_001333876.1.p1, NM_001340176.1.p1, NM_001340175.1.p1, NM_001340173.1.p1, NM_001340178.1.p1, NM_001340177.1.p1, NM_001340174.1.p1, NM_001340172.1.p1, NM_116139.3.p1, NM_001340171.1.p1, NM_118921.4.p1, NM_001341884.1.p1, NM_118920.5.p1	XM_010653884.3.p1, XM_002268111.4.p1, XM_010653882.3.p1, XM_002267559.5.p1, XM_019220978.2.p1
OG0000184	NM_179766.4.p1	XM_059737588.1.p1
OG0000184	NM_180013.3.p1, NM_115539.5.p1, NM_128261.5.p1, NM_001202795.1.p1	NM_001281240.2.p1
OG0000184	NM_180529.4.p1	XM_003632181.4.p1
OG0000184	NM_117546.4.p1, NM_113193.2.p1	XM_002283719.5.p1
OG0000185	NM_001339062.1.p1	XM_019223079.2.p1, XM_010658083.3.p1
OG0000185	NM_101421.3.p1, NM_001332173.1.p1	NM_001301124.1.p1, XM_059739523.1.p1, XM_010656419.3.p1, XM_059739524.1.p1, XM_010656415.3.p1, XM_010656413.3.p1
OG0000186	NM_129321.2.p1	XM_059739121.1.p1, XR_002030689.2.p1
OG0000187	NM_179526.4.p1, NM_001334326.1.p1, NM_001334325.1.p1	XM_019226590.2.p1, XM_010664773.3.p1, XM_002278982.5.p1, XM_002282166.5.p1, XM_010652446.3.p1, XM_010652433.3.p1, XM_010652441.3.p1
OG0000187	NM_180487.4.p1, NM_203051.3.p1, NM_001337352.1.p1, NM_111031.4.p1	XM_010662540.3.p1, XM_002271849.5.p1
OG0000188	NM_123959.1.p1	XM_002267186.5.p1, XM_003633205.4.p1
OG0000188	NM_202202.2.p1, NM_102626.4.p1, NM_202201.1.p1, NM_102625.4.p1, NM_102627.3.p1, NM_102894.4.p1, NM_102628.4.p1, NM_202203.2.p1, NM_102629.2.p1, NM_128295.5.p1, NM_102634.3.p1, NM_102633.3.p1, NM_102631.3.p1, NM_102632.3.p1	XM_002267225.5.p1
OG0000189	NM_127224.6.p1, NM_119665.3.p1, NM_120023.3.p1	NM_001281009.1.p1, NM_001281200.1.p1
OG0000189	NM_179418.2.p1, NM_117014.3.p1	XM_010665362.3.p1, XM_002281466.5.p1, XM_002273292.5.p1, NM_001281204.1.p1, NM_001281251.1.p1
OG0000191	NM_001125413.2.p1, NM_001340130.1.p1, NM_116050.4.p1, NM_180403.2.p1, NM_001036472.2.p1, NM_130224.8.p1	XR_009467846.1.p1, XM_010663669.3.p1
OG0000192	NM_001340647.1.p1, NM_001340646.1.p1, NM_001340645.1.p1, NM_179020.5.p1, NM_001084895.1.p1	XM_059734247.1.p1, XM_010666994.3.p1, XM_059734249.1.p1, NM_001281189.1.p1
