Orthogroup	Arabidopsis_thaliana_rna_prot	Solanum_lycopersicum_rna_prot
OG0000096	NM_111761.3.p1	XM_004246331.4.p1, NM_001247157.1.p1, XM_004246339.3.p1, XM_004246340.4.p1, XM_010327520.3.p1, XM_004246338.4.p1, XM_004246335.4.p1, XM_004246333.4.p1, XM_004246334.4.p1, NM_001247849.1.p1, XM_010327519.3.p1, XM_004246336.4.p1, XM_004246332.4.p1, XM_004246337.4.p1, XM_004249500.4.p1, NM_001247153.2.p1
OG0000097	NM_001333563.1.p1, NM_104160.3.p1, NM_104159.1.p1, NM_102568.2.p1, NM_001340417.1.p1, NM_116541.4.p1	XM_004241671.4.p1, XM_004241670.3.p1, XM_004241672.4.p1
OG0000097	NM_104158.2.p1	XM_004241668.4.p1, XM_004241669.4.p1
OG0000098	NM_001340740.1.p1, NM_001340741.1.p1, NM_001340739.1.p1, NM_001341569.1.p1, NM_001341568.1.p1	XM_010316180.3.p1, XM_004252549.4.p1, XM_004245617.4.p1
OG0000098	NM_001337146.1.p1, NM_130128.4.p1	XM_004248526.4.p1, XM_026027887.1.p1
OG0000098	NM_001345537.1.p1, NM_001345536.1.p1, NM_001345539.1.p1, NM_001345529.1.p1, NM_180916.1.p1, NM_125610.4.p1, NM_001345528.1.p1	XM_004240699.4.p1, XM_010323697.3.p1, NM_001289900.2.p1
OG0000099	NM_128136.3.p1	XM_004251123.4.p1, NM_001317973.1.p1
OG0000099	NM_112214.5.p1	XM_004252794.4.p1, XM_004228550.4.p1
OG0000099	NM_121824.4.p1, NM_001343538.1.p1, NM_111265.4.p1	XM_004249256.3.p1, XM_026027832.1.p1
OG0000100	NM_128806.2.p1, NM_001161259.1.p1, NM_001036846.2.p1, NM_120047.2.p1, NM_127762.3.p1, NM_123789.1.p1, NM_101774.3.p1, NM_124639.1.p1	XM_026028987.1.p1, XM_026032769.1.p1, XM_026030969.1.p1
OG0000101	NM_101471.3.p1	XM_010320399.3.p1, XM_004242564.4.p1
OG0000102	NM_114829.4.p1	XM_004238506.4.p1, XM_004233564.3.p1
OG0000102	NM_001336612.1.p1	NM_001247714.2.p1, XM_004242053.4.p1, NM_001329053.1.p1
OG0000102	NM_119940.5.p1	XM_004251603.4.p1, XM_004245332.3.p1
OG0000102	NM_125143.4.p1	XM_004242965.4.p1
OG0000103	NM_113483.5.p1, NM_001338768.1.p1, NM_113482.5.p1, NM_127982.4.p1, NM_117775.4.p1, NM_001341133.1.p1, NM_001341134.1.p1, NM_117774.4.p1	NM_001246876.3.p1, XM_026028903.1.p1, NM_001321165.1.p1, NM_001308378.1.p1, XM_010316830.3.p1, XM_004230515.4.p1, XM_004231317.4.p1
OG0000107	NM_001203535.1.p1, NM_001344505.1.p1	XM_004247565.4.p1, XM_019211270.2.p1, NM_001279339.1.p1
OG0000107	NM_179779.3.p1	NM_001278949.1.p1
OG0000107	NM_179453.3.p1	NM_001279332.2.p1, NM_001279128.1.p1
OG0000108	NM_100035.3.p1, NM_105210.2.p1, NM_119822.1.p1, NM_125437.5.p1	XM_004231331.3.p1, XM_004231330.3.p1
OG0000108	NM_179727.5.p1	XM_004229524.1.p1, XM_010321469.1.p1, XM_004229525.1.p1, XM_004237638.1.p1, XM_004231332.2.p1
OG0000109	NM_114533.2.p1, NR_141647.1.p1, NM_114534.3.p1, NR_141648.1.p1, NR_141646.1.p1, NM_123154.3.p1, NM_123160.3.p1, NM_123164.2.p1, NM_114539.3.p1, NM_114536.4.p1, NM_114532.5.p1, NM_114535.1.p1, NR_143870.1.p1, NM_114537.4.p1, NM_125351.3.p1, NM_125350.3.p1	XM_004249494.4.p1, NM_001361347.1.p1, XM_004249775.4.p1, XM_026027726.1.p1, XM_004249595.4.p1, XM_004242021.4.p1
OG0000109	NM_115429.3.p1, NM_115428.3.p1	XM_004235006.4.p1, XM_004235080.4.p1
OG0000110	NM_001339360.1.p1, NM_148858.2.p1, NR_141368.1.p1, NM_148857.3.p1, NM_148853.1.p1, NM_001203102.2.p1, NM_148855.3.p1, NM_148854.3.p1, NM_122405.2.p1, NM_001343905.1.p1, NM_122404.1.p1, NM_128630.3.p1, NM_128628.4.p1, NM_001198035.1.p1, NM_101034.3.p1	XM_004236499.4.p1, XM_010320728.3.p1, XM_004236236.4.p1, XM_004236498.4.p1, XM_004236234.4.p1, XM_004236233.4.p1, XM_026030046.1.p1, XM_019213025.2.p1, XM_004236231.4.p1, XM_019213026.2.p1, XM_026030044.1.p1
OG0000111	NM_104504.3.p1, NM_104503.5.p1, NM_100785.3.p1	XM_004230219.4.p1, XM_004230218.4.p1
OG0000111	NM_126284.3.p1, NM_201670.2.p1, NM_126289.2.p1, NM_126293.4.p1, NM_126292.3.p1, NM_001335105.1.p1, NM_126291.2.p1, NM_126290.2.p1, NM_126283.5.p1	XM_004237446.4.p1, XM_004239639.4.p1
OG0000113	NM_100508.2.p1	XM_004243350.4.p1
OG0000113	NM_123957.3.p1	XM_004233006.4.p1
OG0000115	NM_104843.2.p1, NM_001333993.1.p1, NM_118259.4.p1, NM_001341479.1.p1	XM_010328967.3.p1
OG0000115	NM_101008.3.p1, NM_001331978.1.p1, NM_001198033.2.p1, NM_001331976.1.p1, NM_001331975.1.p1, NM_101003.3.p1	XM_019212339.2.p1
OG0000116	NM_106650.3.p1	XM_010324360.3.p1
OG0000116	NM_104130.4.p1	XM_026030158.1.p1
OG0000117	NM_001332735.1.p1, NM_102457.6.p1	XM_010322374.3.p1, XM_004236986.4.p1
OG0000117	NM_106111.4.p1, NM_179553.1.p1	XM_004236154.3.p1
OG0000118	NM_001336162.1.p1, NM_128389.3.p1	NM_001257983.1.p1, XM_004251100.4.p1
OG0000118	NM_115205.2.p1, NM_129277.3.p1, NM_001202767.1.p1	XM_004246608.4.p1, NM_001257982.1.p1
OG0000118	NM_120713.5.p1	NM_001257981.2.p1
OG0000119	NM_124188.4.p1, NM_111662.3.p1, NM_111663.2.p1, NM_111661.3.p1	XM_004253299.4.p1, XM_004243836.4.p1
OG0000119	NM_101576.1.p1, NM_127105.1.p1, NM_128219.2.p1, NM_117450.2.p1, NM_129589.1.p1, NM_103464.1.p1, NM_106487.3.p1, NM_128875.1.p1	XM_026032122.1.p1, XM_010325834.2.p1, XM_010328043.3.p1, XM_004248890.4.p1, XM_026033181.1.p1
OG0000120	NM_116969.3.p1, NM_001198209.1.p1, NM_103213.3.p1, NM_106479.3.p1	NM_001309370.1.p1, NM_001247748.2.p1
OG0000120	NM_001344252.1.p1, NM_123209.4.p1, NM_121610.4.p1, NM_001343435.1.p1, NM_001337415.1.p1	XM_004234517.4.p1, NM_001247078.1.p1
OG0000122	NM_101579.4.p1, NM_101578.3.p1, NM_106481.4.p1, NM_001334824.1.p1, NM_101580.4.p1, NM_001334825.1.p1, NM_106484.4.p1, NM_106482.2.p1, NM_106485.4.p1	XM_004243147.4.p1, XM_004243149.4.p1, NM_001247228.3.p1, XM_004243146.4.p1, XM_004243148.3.p1, NM_001247450.2.p1, XM_004251779.4.p1
OG0000122	NM_104246.2.p1	XM_004248175.2.p1, XM_004248174.4.p1
OG0000125	NM_120507.5.p1, NM_001125696.1.p1	XM_004237190.4.p1
OG0000125	NM_001342699.1.p1, NM_001342700.1.p1, NM_120411.5.p1, NM_202996.2.p1	XM_004246596.3.p1
OG0000126	NM_117722.7.p1, NM_001341090.1.p1	NM_001247876.2.p1
OG0000126	NM_115584.5.p1, NM_001339849.1.p1, NM_115587.2.p1	NM_001247229.2.p1, NM_001247226.2.p1
OG0000128	NM_001336635.1.p1, NM_001336637.1.p1, NM_001336628.1.p1, NM_201889.2.p1, NM_001336638.1.p1, NM_001336629.1.p1, NM_001336634.1.p1, NM_001336633.1.p1, NM_001336627.1.p1, NM_001336636.1.p1, NM_001336631.1.p1	XM_004246624.4.p1, XM_026032722.1.p1, XM_026032719.1.p1, XM_010327693.3.p1, XM_026032718.1.p1, XM_010327701.3.p1, XM_026032723.1.p1, XM_026032721.1.p1, XM_010327700.3.p1, XM_026032720.1.p1, XM_010327694.3.p1
OG0000131	NM_178968.5.p1	XM_004248264.4.p1
OG0000132	NM_148574.4.p1, NM_001338373.1.p1, NM_112782.4.p1, NM_116389.3.p1	XM_026028838.1.p1, XM_026028042.1.p1, XM_026029258.1.p1, XM_026027823.1.p1, XM_010329175.3.p1, XM_026027825.1.p1, XM_004236577.4.p1, XM_026030625.1.p1
OG0000133	NM_001339897.1.p1, NM_001339898.1.p1, NM_115650.5.p1, NM_104035.4.p1	XM_004249115.4.p1, XM_004249230.4.p1, XM_004249229.4.p1
OG0000133	NM_118127.1.p1	XM_004231062.4.p1
OG0000133	NM_102109.4.p1	XM_004250382.4.p1, XM_026028231.1.p1
OG0000133	NM_100296.2.p1	XM_004247259.4.p1
OG0000133	NM_120768.3.p1	XM_004235041.4.p1
OG0000133	NM_124180.3.p1	XM_010325961.3.p1
OG0000134	NM_179787.4.p1, NM_100678.3.p1, NM_001331754.1.p1	XM_010323581.3.p1, XR_002027851.2.p1, XM_019214153.2.p1, XM_004251097.4.p1, XM_004241230.4.p1
OG0000134	NM_001338880.1.p1, NM_001338879.1.p1, NM_001084748.2.p1, NM_001338878.1.p1	XM_004231789.4.p1, XM_004231788.4.p1
OG0000135	NM_115222.3.p1	XM_004246420.4.p1, XM_010327580.3.p1
OG0000135	NM_116378.4.p1, NM_099987.4.p1, NM_001331245.1.p1, NM_130253.3.p1	XM_004252568.4.p1, XM_004244683.4.p1, XM_010327007.3.p1, XM_026032484.1.p1, XM_004245391.4.p1
OG0000136	NM_148145.5.p1, NM_119178.2.p1	XM_004242628.4.p1
OG0000136	NM_119296.2.p1	XM_004245380.4.p1
OG0000136	NM_103893.1.p1, NM_001333418.1.p1	XM_004230621.4.p1
OG0000136	NM_112859.2.p1	NM_001247199.2.p1, NM_001247429.1.p1
OG0000138	NM_100911.6.p1, NM_100910.5.p1	XM_004239549.1.p1, XM_004238697.4.p1, XM_026031023.1.p1, XM_010322349.3.p1
OG0000139	NM_001084672.1.p1, NM_202564.2.p1, NM_202563.3.p1, NM_001337984.1.p1, NM_001337985.1.p1, NM_112061.6.p1, NM_120777.3.p1, NM_001342913.1.p1, NM_203016.2.p1, NM_001342914.1.p1	NM_001309871.1.p1
OG0000139	NM_105536.4.p1	XM_004239373.4.p1
OG0000140	NM_105293.1.p1, NM_105292.3.p1, NM_121232.1.p1, NM_001341507.1.p1, NM_118284.2.p1, NM_118285.3.p1, NM_117120.2.p1, NM_117121.1.p1, NM_103030.2.p1, NM_117122.1.p1, NM_001340673.1.p1, NM_001340672.1.p1, NM_001084901.3.p1, NM_001340675.1.p1, NM_001333025.1.p1, NM_103029.3.p1, NM_001333022.1.p1, NM_001333023.1.p1	XM_010319758.2.p1, XM_010319759.2.p1, XM_010319760.3.p1
OG0000141	NM_202709.2.p1, NM_112097.5.p1, NM_001035605.2.p1	XM_004239633.4.p1
OG0000141	NM_202979.1.p1, NM_120013.6.p1, NM_126006.4.p1, NM_114996.4.p1, NM_202682.2.p1	XM_004232473.4.p1, XM_004234474.4.p1, XM_004231008.4.p1, XM_004248596.4.p1, XM_004248597.4.p1
OG0000143	NM_202078.2.p1, NM_100958.2.p1, NM_001084276.2.p1, NM_104750.3.p1	XM_010321054.3.p1, XM_010321055.3.p1, XM_010322603.3.p1
OG0000144	NM_115627.4.p1	XM_004234744.4.p1
OG0000144	NM_103201.3.p1	XM_004238482.4.p1
OG0000144	NM_101200.2.p1	XM_004239375.3.p1
OG0000144	NM_100702.4.p1	XM_004241269.4.p1
OG0000145	NM_124457.4.p1	XM_004235278.4.p1, XM_004235286.4.p1, XM_019212987.2.p1, XM_004235285.4.p1, XM_019212989.2.p1, XM_004235291.4.p1, XM_004241404.4.p1, XM_004242091.4.p1, XM_004235292.4.p1
OG0000145	NM_121320.3.p1	XM_004239256.3.p1
OG0000146	NM_101553.3.p1, NM_100520.4.p1	NM_001246869.2.p1
OG0000146	NM_117996.6.p1, NM_123942.2.p1	XM_004233017.4.p1
OG0000146	NM_125479.4.p1, NM_112368.4.p1	XM_004243349.3.p1
OG0000146	NM_102623.2.p1, NM_128947.5.p1, NM_117956.3.p1	XM_004234050.4.p1, XM_004248080.4.p1
OG0000147	NM_128672.2.p1	XM_004242316.4.p1
OG0000147	NM_001084733.2.p1	NM_001319144.1.p1
OG0000147	NM_100583.2.p1	XM_004242456.4.p1
OG0000147	NM_111322.3.p1, NM_122732.3.p1	XM_004239695.4.p1, XM_004236737.4.p1
OG0000149	NM_100448.4.p1, NM_001197986.1.p1	XM_004252979.4.p1, XM_004252980.4.p1
OG0000149	NM_102256.3.p1	XM_010322852.3.p1
OG0000149	NM_129944.3.p1, NM_201953.2.p1	XM_004245012.4.p1
OG0000150	NM_101311.6.p1, NM_126310.3.p1	XM_004230362.4.p1
OG0000150	NM_118599.2.p1, NM_125939.3.p1	XM_004238241.3.p1, XM_004235324.4.p1, XM_010323182.3.p1, XM_004236652.4.p1, XM_004237923.4.p1
OG0000151	NM_202441.3.p1, NM_001084370.2.p1	XM_004237888.4.p1
OG0000151	NM_001342244.1.p1, NM_119556.3.p1	XM_004230746.2.p1
OG0000151	NM_001345807.1.p1, NM_001203118.1.p1, NM_114910.3.p1	XM_026029617.1.p1, XM_004232007.4.p1
OG0000151	NM_120165.2.p1	XM_004245785.4.p1
OG0000152	NM_001126001.2.p1, NM_125545.4.p1	XM_019212947.2.p1
OG0000152	NM_118268.4.p1, NM_100998.4.p1	NM_001247920.2.p1, XM_004234213.4.p1
OG0000152	NM_122233.4.p1, NM_112884.1.p1, NM_103915.2.p1	XM_004228485.4.p1
OG0000153	NM_180791.3.p1, NM_203146.4.p1, NM_123693.6.p1	XM_010322706.3.p1, XM_010322704.3.p1, XM_010322703.2.p1, XM_004239169.4.p1, XM_004237646.4.p1
OG0000156	NM_203086.3.p1, NM_122013.4.p1, NM_001036832.1.p1	XM_004251539.4.p1
OG0000156	NM_104148.5.p1, NM_001338180.1.p1, NM_001202974.1.p1, NM_112435.3.p1, NM_103674.1.p1, NM_179468.2.p1	XM_010324376.3.p1, XM_004252272.4.p1
OG0000157	NM_102057.4.p1, NM_106441.4.p1	XM_004252503.3.p1, XM_010321837.3.p1, XM_004237817.4.p1
OG0000157	NM_180942.3.p1, NM_001037070.1.p1, NM_125919.3.p1, NM_121041.5.p1, NM_001343085.1.p1, NM_001343086.1.p1, NM_001343084.1.p1	XM_010321385.3.p1, XM_010321387.3.p1, XM_026030427.1.p1, XM_026030610.1.p1, XM_004236682.4.p1
OG0000158	NM_001339687.1.p1, NM_129452.4.p1	XM_004247187.4.p1, XM_004240712.4.p1
OG0000158	NM_128843.4.p1	NM_001331160.1.p1, NM_001247432.2.p1
OG0000158	NM_123701.4.p1, NM_123703.3.p1, NM_123702.1.p1	XM_004233991.4.p1, NM_001247114.1.p1
OG0000160	NM_118611.3.p1	NM_001365026.1.p1
OG0000160	NM_105443.5.p1	XM_010322654.3.p1
OG0000160	NM_001338872.1.p1	NM_001247100.2.p1
OG0000160	NM_001203786.1.p1, NM_113378.2.p1, NM_124267.3.p1, NM_001337685.1.p1, NM_111581.3.p1	NM_001318149.1.p1, XM_004247057.3.p1
OG0000160	NM_001203791.1.p1, NM_117445.3.p1, NM_113328.3.p1, NM_100348.4.p1	XM_004247775.3.p1
OG0000162	NM_001341952.1.p1, NM_119032.5.p1, NM_119030.4.p1, NM_001084996.2.p1	XR_738685.3.p1, NM_001347670.1.p1, XR_738686.3.p1
OG0000163	NM_124138.2.p1	XM_004244019.4.p1
OG0000163	NM_117534.3.p1	XM_004251491.4.p1
OG0000163	NM_179946.4.p1, NM_201888.3.p1, NM_001339611.1.p1, NM_115194.3.p1, NM_001339608.1.p1, NM_001339609.1.p1	XM_004246650.4.p1, XR_002027623.2.p1, XM_004237476.4.p1, XM_026030705.1.p1, XR_741172.3.p1, XR_740890.3.p1, XM_010320992.3.p1
OG0000164	NM_121024.3.p1, NM_125870.3.p1, NM_127746.2.p1, NM_120095.4.p1	XM_026028144.1.p1, XM_004252522.4.p1, XM_004237761.4.p1
OG0000164	NM_121748.4.p1	XM_004242566.4.p1
OG0000164	NM_001336002.1.p1, NM_119393.3.p1	XM_004244983.4.p1
OG0000164	NM_120599.4.p1	XM_004229582.4.p1
OG0000165	NM_104490.5.p1, NM_001333763.1.p1, NM_001333764.1.p1, NM_104491.2.p1, NM_104492.4.p1, NM_104493.4.p1, NM_001198318.1.p1	XM_004243926.4.p1
OG0000166	NM_001336689.1.p1, NM_129368.3.p1, NM_120202.5.p1	XM_010329375.3.p1, NM_001246990.2.p1
OG0000166	NM_127675.3.p1	NM_001247746.1.p1, NM_001246995.1.p1
OG0000166	NM_106418.4.p1	NM_001247753.1.p1
OG0000167	NM_113182.2.p1	XM_004240991.4.p1, XM_004247628.4.p1
OG0000167	NM_115050.2.p1	XR_743281.3.p1, XM_010328119.2.p1, XM_010328108.3.p1, XM_010328109.3.p1
OG0000168	NM_127238.3.p1, NM_119676.4.p1, NM_001203991.1.p1	NM_001279328.2.p1, NM_001246917.2.p1
OG0000168	NM_001336641.1.p1, NM_129274.4.p1, NM_115202.3.p1, NM_125459.4.p1	NM_001287379.1.p1, XR_002028612.2.p1, NM_001302894.1.p1
OG0000169	NM_001332071.1.p1, NM_101227.3.p1	XM_004246174.1.p1, XM_010327340.3.p1, XM_026032355.1.p1, XM_010326552.3.p1, XM_004238949.4.p1, XM_004250159.4.p1, XM_019211200.2.p1, XM_026028249.1.p1, XM_019211195.2.p1, XM_019211199.2.p1, XM_004239384.1.p1, XM_004239386.1.p1, XM_004239385.1.p1, XM_004239383.2.p1, XM_010314528.3.p1, XM_004237159.1.p1, XM_026030544.1.p1, XM_026030545.1.p1, XM_004236939.4.p1
OG0000170	NM_001343292.1.p1, NM_180705.3.p1, NM_121377.5.p1	XM_004230004.4.p1, XM_004230000.4.p1, XM_004230003.4.p1
OG0000172	NM_102088.3.p1, NM_102089.5.p1, NM_001036001.1.p1, NM_102086.3.p1, NM_202156.2.p1, NM_102085.3.p1	XM_004237880.4.p1, XM_004237881.4.p1, XM_004237879.4.p1, XM_004237878.4.p1, XM_004252485.3.p1, XM_004252483.4.p1, XM_004252484.4.p1
OG0000173	NM_113225.3.p1	NM_001247889.2.p1, XM_004234188.4.p1
OG0000174	NM_125364.3.p1, NM_114492.4.p1, NM_104232.4.p1	XM_004246258.4.p1
OG0000174	NM_104679.4.p1, NM_100614.3.p1, NM_128504.4.p1	XM_004241153.4.p1, NM_001279116.2.p1, NM_001247296.2.p1, NM_001320262.1.p1
OG0000176	NM_116327.5.p1, NM_001340292.1.p1	XM_010319715.3.p1
OG0000176	NM_001084652.2.p1, NM_001202909.1.p1, NM_111640.2.p1	XM_026033080.1.p1, XM_019213537.2.p1, XM_026030700.1.p1, XM_004237501.4.p1
OG0000176	NM_104911.3.p1, NM_001332012.1.p1, NM_101067.6.p1	XM_004233734.4.p1
OG0000177	NM_147836.5.p1, NM_001342796.1.p1	XM_004230025.4.p1
OG0000177	NM_122103.4.p1, NM_001343691.1.p1	XM_004251158.4.p1, XM_004241323.4.p1, XM_019214221.2.p1, XM_004228419.4.p1, XM_004241324.3.p1
OG0000178	NM_116189.4.p1, NM_001340194.1.p1	XM_004247139.4.p1, XM_026032919.1.p1
OG0000178	NM_001202725.1.p1, NM_128761.4.p1, NM_001336366.1.p1, NM_001331550.1.p1, NM_100426.5.p1	XM_010328374.3.p1, XR_743319.3.p1, NM_001246843.2.p1
OG0000179	NM_001338904.1.p1, NM_126537.4.p1, NM_126540.4.p1, NM_001335269.1.p1	NM_001247810.2.p1, NM_001308945.1.p1
OG0000180	NM_179920.2.p1, NM_102884.2.p1	XM_004244637.3.p1, XM_004244639.4.p1, XM_004244638.3.p1, XM_004244635.2.p1, XM_010327396.3.p1, XM_010327337.3.p1, XM_004246001.4.p1
OG0000183	NM_179247.6.p1, NM_100166.4.p1, NM_001123745.2.p1, NM_001331360.1.p1, NM_104701.3.p1, NM_001333876.1.p1, NM_001340176.1.p1, NM_001340175.1.p1, NM_001340173.1.p1, NM_001340178.1.p1, NM_001340177.1.p1, NM_001340174.1.p1, NM_001340172.1.p1, NM_116139.3.p1, NM_001340171.1.p1, NM_118921.4.p1, NM_001341884.1.p1, NM_118920.5.p1	XM_026032928.1.p1, XM_019215808.2.p1, XM_004247376.4.p1
OG0000184	NM_179766.4.p1	XM_004251200.4.p1
OG0000184	NM_001339107.1.p1	NM_001324485.1.p1, NM_001321494.1.p1, NM_001324492.1.p1
OG0000184	NM_117546.4.p1, NM_113193.2.p1	NM_001247857.2.p1, XM_004240990.4.p1
OG0000185	NM_101421.3.p1, NM_001332173.1.p1	XM_004252955.4.p1, XM_004252798.4.p1, XM_004252799.4.p1, XM_004239816.4.p1, XM_019213853.2.p1, XM_004239817.4.p1, XM_004247794.4.p1, XM_004247793.4.p1
OG0000186	NM_125336.2.p1, NM_001339268.1.p1, NM_114527.2.p1, NM_001084782.1.p1	XM_004242499.4.p1, NM_001247381.2.p1
OG0000186	NM_129321.2.p1	XM_010314051.3.p1, XM_019215788.2.p1
OG0000187	NM_179526.4.p1, NM_001334326.1.p1, NM_001334325.1.p1	XM_010320730.3.p1
OG0000187	NM_180487.4.p1, NM_203051.3.p1, NM_001337352.1.p1, NM_111031.4.p1	XM_010317562.3.p1
OG0000188	NM_123959.1.p1	XM_004234047.4.p1
OG0000188	NM_202202.2.p1, NM_102626.4.p1, NM_202201.1.p1, NM_102625.4.p1, NM_102627.3.p1, NM_102894.4.p1, NM_102628.4.p1, NM_202203.2.p1, NM_102629.2.p1, NM_128295.5.p1, NM_102634.3.p1, NM_102633.3.p1, NM_102631.3.p1, NM_102632.3.p1	XM_004234048.4.p1, XM_004248094.4.p1, XM_004233802.4.p1, XM_004248416.4.p1
OG0000189	NM_127224.6.p1, NM_119665.3.p1, NM_120023.3.p1	XM_004230986.4.p1, NM_001247046.1.p1
OG0000189	NM_179418.2.p1, NM_117014.3.p1	XM_004241793.4.p1, XM_004240605.4.p1, XM_004239350.4.p1
OG0000191	NM_001125413.2.p1, NM_001340130.1.p1, NM_116050.4.p1, NM_180403.2.p1, NM_001036472.2.p1, NM_130224.8.p1	XM_004229950.4.p1, XM_004248039.4.p1
OG0000191	NM_118538.4.p1	XM_026029917.1.p1, XM_004234944.4.p1
OG0000192	NM_001340647.1.p1, NM_001340646.1.p1, NM_001340645.1.p1, NM_179020.5.p1, NM_001084895.1.p1	XM_010314673.3.p1, XM_004241858.4.p1, XM_010324479.3.p1, NM_001247265.2.p1
OG0000192	NM_129844.5.p1, NM_001203201.2.p1, NM_001084842.1.p1, NM_001339937.1.p1, NM_115740.3.p1, NM_001339938.1.p1	NM_001313930.1.p1
OG0000193	NM_129948.2.p1, NM_001340004.1.p1, NM_129949.2.p1	NM_001320889.1.p1
OG0000193	NM_129950.2.p1, NM_001337063.1.p1	XM_004251942.3.p1, XM_019211376.2.p1, XM_004244778.4.p1
OG0000193	NM_100446.2.p1, NM_100445.2.p1, NM_129951.2.p1	XM_019215216.2.p1, XM_004251941.4.p1
OG0000194	NM_104676.5.p1, NM_100918.3.p1, NM_105665.3.p1	NM_001246875.2.p1, XM_019211522.2.p1, NM_001247587.2.p1
OG0000194	NM_201943.2.p1	XM_004229284.4.p1, NM_001347853.1.p1, XM_004228906.4.p1
OG0000195	NM_111584.3.p1	XM_004244372.4.p1
OG0000196	NM_119887.3.p1, NM_127932.3.p1	XM_004232035.4.p1, XM_004233364.4.p1
OG0000196	NM_106310.4.p1, NM_101954.5.p1	XM_004238427.4.p1
OG0000197	NM_001343607.1.p1, NM_121953.3.p1, NM_001343608.1.p1, NM_001036830.3.p1, NM_121261.3.p1	XM_010323482.3.p1, XM_019214538.2.p1, XM_010323484.3.p1, XM_010323485.3.p1, XR_002028599.2.p1, XR_003248059.1.p1, XR_003248058.1.p1, XR_002028596.2.p1, XR_002028595.2.p1, XM_019215736.2.p1, XR_002028597.2.p1, XR_002028598.2.p1, XM_004246200.3.p1, XM_004242414.3.p1
OG0000198	NM_116051.4.p1, NM_001337205.1.p1, NM_201973.6.p1, NM_130226.6.p1	XM_004248042.4.p1, XM_010328918.3.p1, XM_004229956.4.p1
OG0000198	NM_001161301.1.p1, NM_001344976.1.p1, NM_001344974.1.p1, NM_001344975.1.p1, NM_001161302.1.p1, NM_180843.3.p1, NM_001341746.1.p1, NM_001341748.1.p1, NM_001341745.1.p1, NM_001084978.3.p1, NM_001341747.1.p1, NM_118682.4.p1, NM_001203908.1.p1	XM_010327653.3.p1, XM_010327660.1.p1, XM_010315214.3.p1, XM_004251210.4.p1
OG0000199	NM_001338120.1.p1	XM_026028048.1.p1, XM_019211254.2.p1, XR_003244313.1.p1, XM_026028244.1.p1, XM_026028243.1.p1, XM_004251182.4.p1, XM_026028068.1.p1, XM_026032522.1.p1, XM_026028234.1.p1, XM_026029904.1.p1, XM_010319783.3.p1, XM_026029906.1.p1, XM_026029909.1.p1, XM_010319782.3.p1, XM_004235091.4.p1, XM_026029905.1.p1, XM_026029907.1.p1, XM_010319785.3.p1
OG0000200	NM_111076.1.p1	XM_004233334.4.p1
OG0000201	NM_115175.2.p1	XM_004249783.4.p1
OG0000201	NM_129230.3.p1, NM_129232.4.p1, NM_129233.2.p1, NM_129231.3.p1, NR_140733.1.p1, NR_140732.1.p1, NR_140734.1.p1, NM_129235.4.p1, NM_115176.3.p1	XM_004252255.4.p1, NM_001361348.1.p1, XM_004249572.4.p1
OG0000204	NM_125309.1.p1	XM_026030332.1.p1, XM_019215464.2.p1
OG0000205	NM_124024.2.p1, NM_001341257.1.p1	XM_004234195.4.p1, XM_026029109.1.p1, XM_004233814.4.p1
OG0000205	NM_001340142.1.p1, NM_130268.4.p1, NM_116413.2.p1, NM_001340338.1.p1, NM_116412.2.p1, NM_100134.4.p1, NM_001331344.1.p1, NM_100133.3.p1	XM_019211312.2.p1, XM_004253109.4.p1, XM_004240510.4.p1, XM_010323557.3.p1
OG0000206	NM_126990.3.p1, NM_001335416.1.p1	XM_019211854.2.p1
OG0000206	NM_119955.3.p1, NM_001342462.1.p1, NM_001342464.1.p1, NM_001342463.1.p1, NM_115583.6.p1, NM_001339846.1.p1	XM_019212101.2.p1, XM_026029769.1.p1, XR_003246614.1.p1, XM_004237975.4.p1, XM_026030830.1.p1, XR_003246613.1.p1, XM_010316293.3.p1, XM_004252677.4.p1
OG0000207	NM_001340363.1.p1, NM_001340364.1.p1, NM_116444.4.p1, NM_001340362.1.p1, NM_001340365.1.p1	XM_004229360.4.p1
OG0000207	NM_102819.4.p1, NM_129042.1.p1, NM_001341420.1.p1, NM_001341423.1.p1, NM_001341421.1.p1	XM_004232552.4.p1, XM_026030281.1.p1, XM_004229003.4.p1
OG0000208	NM_179641.2.p1, NM_127376.3.p1	XM_004232384.4.p1
OG0000208	NM_180510.2.p1, NM_121782.3.p1, NM_121779.1.p1	XM_004233678.4.p1
OG0000208	NM_114954.4.p1, NM_114953.3.p1	XM_004249699.4.p1, XM_004234500.3.p1, XM_026029815.1.p1, XM_004234501.4.p1, XM_004233485.4.p1
OG0000209	NM_118713.5.p1, NM_125137.4.p1, NM_119173.4.p1, NM_125136.4.p1	XM_004235109.4.p1, XM_004235108.4.p1
OG0000211	NM_119565.4.p1, NM_001124852.5.p1, NM_001335453.1.p1, NM_001202601.1.p1, NM_001335454.1.p1	XM_004248708.4.p1, XM_010329169.2.p1, XM_010316925.3.p1, XR_739238.3.p1
OG0000211	NM_001333246.1.p1, NM_001333245.1.p1, NM_103592.4.p1, NM_123659.4.p1	XM_004252713.4.p1, XM_010322018.3.p1
