Orthogroup	Arabidopsis_thaliana_rna_prot	Gossypium_hirsutum_rna_prot
OG0000064	NM_126167.1.p1	XM_016851474.1.p1, XM_016896895.2.p1, XM_016846770.1.p1, XM_041097897.1.p1, XM_041096947.1.p1, XM_016819948.2.p1, XM_016810248.2.p1, XM_016810249.2.p1, XM_016810247.2.p1, XM_016896939.1.p1, XM_016887572.1.p1, XM_016887736.1.p1, XM_016835016.2.p1, XM_016822270.2.p1, XM_016838763.1.p1, XM_041078490.1.p1, XR_005909071.1.p1, XM_041095563.1.p1, XM_016875866.1.p1, XM_041094749.1.p1, XM_041094750.1.p1, XM_041094752.1.p1, XM_041094756.1.p1, XM_041094755.1.p1, XM_041094754.1.p1, XM_041094751.1.p1, XM_041111869.1.p1, XM_016897267.1.p1, XR_005902633.1.p1, XM_016833666.2.p1, XM_016820376.2.p1, XM_041111159.1.p1, XM_016835152.1.p1, XM_041115133.1.p1, XM_041115131.1.p1, XM_041115130.1.p1, XM_016860026.2.p1, XM_016860025.2.p1, XM_041111626.1.p1, XM_041111627.1.p1, XM_041111624.1.p1, XM_041111623.1.p1, XM_016879016.2.p1, XM_016819786.1.p1, XM_016820836.1.p1, XM_016877086.1.p1, XR_005914887.1.p1, XR_005917538.1.p1, XR_005925779.1.p1, XR_005907541.1.p1, XR_001683337.2.p1, XM_016835319.1.p1, XM_016863668.1.p1, XM_016835027.1.p1, XM_016836781.2.p1, XM_016817749.1.p1, XM_016851449.2.p1, XM_041092414.1.p1, XM_016891609.1.p1
OG0000065	NM_116364.1.p1	XM_041088092.1.p1
OG0000065	NM_116423.4.p1, NM_116424.2.p1, NM_116404.1.p1, NM_116422.3.p1, NM_001340707.1.p1, NM_117210.2.p1, NM_117223.2.p1, NM_117224.2.p1, NM_116451.1.p1, NM_116406.2.p1, NM_116450.2.p1, NM_148192.3.p1, NM_117037.1.p1, NM_114257.2.p1, NM_105582.2.p1, NM_105191.4.p1, NM_127523.4.p1, NM_001335641.1.p1, NM_123121.1.p1, NM_126498.3.p1, NM_114547.2.p1, NM_114548.4.p1, NM_147903.3.p1, NM_001339368.1.p1, NM_114453.3.p1, NM_125386.2.p1, NM_001345376.1.p1, NM_125387.2.p1, NM_125385.2.p1, NM_116365.4.p1, NM_202828.2.p1, NM_001341081.1.p1, NM_001125505.2.p1, NM_113487.1.p1, NM_001124040.1.p1, NM_001036126.3.p1, NM_111580.4.p1, NM_111579.1.p1, NM_123940.3.p1, NM_124784.3.p1, NM_180566.2.p1, NM_001345075.1.p1, NM_124783.1.p1, NM_001345074.1.p1, NM_117585.6.p1, NM_126482.3.p1, NM_123844.2.p1, NM_129884.4.p1, NM_123396.2.p1, NM_104866.2.p1	XM_041089417.1.p1, XM_041088099.1.p1, XM_016858790.2.p1, XM_016884936.2.p1, XM_041107892.1.p1, XM_016809778.2.p1, XM_016809782.2.p1, XM_041107721.1.p1, XM_041089414.1.p1, XM_016858781.2.p1, XM_016858774.2.p1, XM_041089413.1.p1, XM_041088096.1.p1, XM_041088095.1.p1, XM_041088093.1.p1, XM_016858845.2.p1, XM_041091877.1.p1, XM_016817496.1.p1, XM_041088100.1.p1, XM_016858843.2.p1, XM_016872674.2.p1, XM_041088098.1.p1, XM_016892496.2.p1, XM_041091887.1.p1, XM_016892492.2.p1, XM_016892495.2.p1, XM_016892494.2.p1, XM_016892493.2.p1, XM_041088091.1.p1, XM_041107895.1.p1, XM_016884937.2.p1, XM_041090293.1.p1, XM_016809777.2.p1, XM_016809781.2.p1, XM_016885793.2.p1
OG0000066	NM_001203961.1.p1, NM_119396.2.p1, NM_202931.2.p1, NM_128117.4.p1	XR_005914640.1.p1, XR_005914639.1.p1, XM_041095536.1.p1, XM_016869896.2.p1, XR_001694568.2.p1, XM_016869895.2.p1, XR_001694567.2.p1, XR_005928194.1.p1, XR_005903155.1.p1, XM_016822577.2.p1, XM_016822579.2.p1, XR_005903153.1.p1, XM_016822573.2.p1, XR_001684072.2.p1, XM_016822574.2.p1, XR_005914642.1.p1, XR_005914641.1.p1, XM_041095537.1.p1, XR_005928400.1.p1, XR_005928399.1.p1, XR_005928398.1.p1, XR_005928397.1.p1, XR_001685205.2.p1, XM_016827208.2.p1, XM_016827207.2.p1, XM_016899091.2.p1, XM_041115116.1.p1
OG0000067	NM_122972.1.p1, NM_001339649.1.p1, NM_122974.1.p1	XM_016823175.2.p1
OG0000067	NM_001338351.1.p1, NM_112753.2.p1	XM_041082261.1.p1, XM_016842210.2.p1, XM_041088749.1.p1, XM_016812108.2.p1
OG0000070	NM_113070.3.p1, NM_113074.2.p1, NM_113075.3.p1, NM_113073.3.p1, NM_001341023.1.p1, NM_001341024.1.p1, NM_117614.3.p1, NM_001341025.1.p1, NR_141603.1.p1, NR_141604.1.p1, NR_141602.1.p1, NR_141601.1.p1, NR_141605.1.p1	XM_041083212.1.p1, XM_016900356.2.p1, XM_016838366.2.p1, XM_016890555.2.p1, XM_016890554.2.p1
OG0000070	NM_128525.2.p1, NM_128527.4.p1, NM_128528.4.p1, NM_128529.3.p1, NM_100600.4.p1, NM_100599.4.p1, NM_100598.4.p1	XM_041109652.1.p1, XM_041084848.1.p1, XM_041108677.1.p1, XM_016833794.2.p1, XM_016885201.2.p1, XM_041089900.1.p1, XM_016859980.2.p1, XM_041108463.1.p1, XM_016884728.1.p1
OG0000072	NM_001203804.1.p1, NM_001340975.1.p1, NM_117574.4.p1, NM_113145.5.p1	XM_041101356.1.p1, XM_041101355.1.p1, XM_016859833.2.p1
OG0000072	NM_111234.5.p1	XR_001690733.2.p1, XR_001690735.2.p1, XR_001690736.2.p1, XR_001690734.2.p1, XM_016850534.2.p1, XM_041085050.1.p1, XR_005907570.1.p1
OG0000072	NM_129937.4.p1, NM_115838.6.p1, NM_180691.1.p1	XM_016859776.2.p1
OG0000072	NM_203114.2.p1, NM_001344055.1.p1, NM_001344053.1.p1, NM_122685.3.p1, NM_180756.3.p1, NM_001337549.1.p1, NM_111366.4.p1	XR_005923082.1.p1, XR_005923078.1.p1, XM_041085539.1.p1, XM_041109267.1.p1, XM_041109264.1.p1, XM_041109263.1.p1, XM_016818157.2.p1, XM_016818151.2.p1, XM_041085536.1.p1, XM_016818155.2.p1, XR_005907830.1.p1, XM_041085537.1.p1
OG0000074	NM_111431.4.p1, NM_001337590.1.p1, NM_180754.4.p1, NM_001344043.1.p1, NM_122666.4.p1, NM_001344042.1.p1	XM_016824692.2.p1, XM_016858199.2.p1, XM_016862677.2.p1
OG0000074	NM_105077.4.p1, NM_117195.5.p1	XM_016884161.2.p1
OG0000074	NM_180792.3.p1, NM_123704.3.p1	XM_016873988.2.p1, XM_016860317.2.p1
OG0000074	NM_180887.5.p1, NM_125306.2.p1, NM_114549.4.p1, NM_128494.5.p1	XM_016833617.2.p1, XM_016895141.2.p1, XM_016896219.2.p1, XM_041108057.1.p1
OG0000074	NM_129543.3.p1	XM_041103740.1.p1, XR_005919963.1.p1
OG0000075	NM_180400.1.p1, NM_115968.2.p1, NM_130120.4.p1, NM_001337144.1.p1, NM_130117.2.p1, NM_180108.2.p1, NM_180109.3.p1, NM_001337143.1.p1, NM_130119.4.p1, NM_001333058.1.p1, NM_001333059.1.p1, NM_001333061.1.p1, NM_001333060.1.p1, NM_001333062.1.p1, NM_103092.3.p1	XM_016881250.2.p1, XM_016881249.2.p1, XM_016857901.2.p1, XM_016861611.2.p1, XM_041100059.1.p1, XM_016857924.2.p1, XM_041098618.1.p1, XM_041074879.1.p1, XM_016815192.2.p1, XM_016821679.2.p1, XM_016815193.2.p1, XM_016815194.2.p1, XM_041101193.1.p1
OG0000076	NM_103640.3.p1	XM_016893778.2.p1, XM_016832225.2.p1, XM_016838705.2.p1, XM_041094549.1.p1
OG0000076	NM_101777.2.p1, NM_126405.2.p1, NM_114728.5.p1, NM_114729.3.p1, NM_103852.3.p1, NM_103854.3.p1, NM_103853.5.p1	XM_016836210.2.p1, XM_016858974.2.p1, XM_016836211.2.p1, XM_041088372.1.p1, XM_016876366.2.p1, XM_041109791.1.p1
OG0000080	NM_112240.4.p1	XM_016894152.2.p1
OG0000080	NM_179872.3.p1, NM_113304.5.p1	XM_016855308.2.p1, XM_016855282.2.p1, XM_016815101.2.p1, XM_041077093.1.p1, XM_041077094.1.p1, XM_041077095.1.p1, XM_016815094.2.p1, XM_041101228.1.p1
OG0000080	NM_102387.3.p1	XM_016848259.2.p1, XR_001690196.2.p1
OG0000080	NM_001333710.1.p1, NM_001333712.1.p1, NM_112193.4.p1, NM_001037006.4.p1	XM_016833022.2.p1, XM_016821339.2.p1, XM_041103424.1.p1
OG0000080	NM_128359.5.p1	XR_001686694.2.p1, XR_005913850.1.p1, XR_001686692.2.p1, XR_005913848.1.p1, XR_001686695.2.p1, XR_005913851.1.p1, XR_001700647.2.p1, XR_005927044.1.p1, XM_016816515.2.p1
OG0000080	NM_001343571.1.p1	XM_041108348.1.p1, XM_016879112.2.p1, XM_016859919.2.p1, XM_016879115.2.p1
OG0000081	NM_101856.3.p1, NM_106228.3.p1	XM_041087231.1.p1, XM_016874178.2.p1, XM_016832168.2.p1, XM_016893143.2.p1
OG0000081	NM_121263.4.p1	XM_041080187.1.p1, XM_016856597.2.p1
OG0000081	NM_122291.4.p1	XM_041101772.1.p1
OG0000081	NM_128508.3.p1, NM_125665.4.p1, NM_125664.4.p1	XM_016895152.2.p1, NM_001327391.2.p1, NM_001326722.2.p1
OG0000082	NM_001343355.1.p1	XM_041116830.1.p1, XM_041116831.1.p1
OG0000082	NM_001331919.1.p1, NM_100939.4.p1, NM_001334452.1.p1, NM_001334454.1.p1, NM_180644.3.p1, NM_202391.2.p1, NM_102198.5.p1, NM_001334455.1.p1	XM_016818241.2.p1, XM_016812431.2.p1, XM_016818243.2.p1, XM_016812430.2.p1, XM_016849969.2.p1, XM_016874864.2.p1, XM_016810604.2.p1, XM_016874863.2.p1
OG0000083	NM_115986.4.p1, NM_001203222.1.p1, NM_001340081.1.p1, NM_127980.4.p1, NM_100063.4.p1	XM_041103448.1.p1, XM_041103447.1.p1, XM_016844835.2.p1, XM_016844833.2.p1, XM_016844834.2.p1, XM_041078029.1.p1, XM_016821405.2.p1, XM_016821404.2.p1, XM_016860596.2.p1
OG0000084	NM_120872.1.p1	XM_041074496.1.p1, XM_016873919.2.p1
OG0000086	NM_105156.1.p1, NM_105349.3.p1	XM_016889380.2.p1
OG0000086	NM_126450.3.p1, NM_126451.5.p1, NM_001335216.1.p1, NM_126448.3.p1, NM_126449.5.p1, NM_001335215.1.p1, NM_126444.2.p1, NM_126443.5.p1, NM_126447.1.p1	XM_041092397.1.p1, XM_016828975.2.p1, XM_041110813.1.p1
OG0000086	NM_105783.3.p1	XM_016829978.2.p1, XM_041092884.1.p1, XM_041092885.1.p1, XM_016896182.2.p1
OG0000086	NM_101385.3.p1, NM_101386.4.p1, NM_101384.2.p1, NM_101383.3.p1, NM_001332152.1.p1, NM_001123821.1.p1, NM_001332153.1.p1	XM_016810761.2.p1, XM_016837117.2.p1, XM_016837118.2.p1, XM_016810760.2.p1, XM_041100236.1.p1, XM_016837119.2.p1, XM_041088988.1.p1, XM_041100234.1.p1
OG0000087	NM_116064.5.p1, NM_001203228.2.p1	XM_016853232.2.p1, XM_016880088.2.p1
OG0000087	NM_118755.4.p1	XM_016827015.2.p1, XM_016899159.2.p1
OG0000087	NM_105468.3.p1, NM_105469.2.p1, NM_001198158.1.p1, NM_001332662.1.p1, NM_102310.5.p1	XM_016823842.2.p1, XM_016865503.2.p1, XM_016865502.2.p1
OG0000088	NM_001336200.1.p1, NM_001336201.1.p1, NM_128469.4.p1	XM_016872745.2.p1
OG0000089	NM_101820.4.p1	XM_041084000.1.p1, XM_016890130.2.p1, XM_016839180.2.p1, XM_016893595.2.p1, XM_041094071.1.p1, XM_016877185.2.p1
OG0000089	NM_111981.5.p1, NM_001342768.1.p1, NM_001036754.2.p1, NM_120519.3.p1, NM_001342769.1.p1, NM_001342771.1.p1, NM_001342770.1.p1, NM_126041.1.p1, NM_001335411.1.p1, NM_001335410.1.p1, NM_001338558.1.p1, NM_113091.6.p1, NM_001344225.1.p1, NM_123161.3.p1	XM_041084843.1.p1, XM_016888318.2.p1, XM_041108674.1.p1, XM_041084842.1.p1, XM_041085829.1.p1, XM_016844774.1.p1, XM_041078578.1.p1, XM_041078581.1.p1, XM_016821312.2.p1, XM_016845171.2.p1, XM_016817288.2.p1
OG0000090	NM_121889.3.p1	XM_016845104.2.p1, XM_016845105.2.p1, XM_016823160.2.p1, XM_016864069.2.p1, XM_016864068.2.p1
OG0000090	NM_001337564.1.p1, NM_111387.5.p1	XM_016812367.2.p1
OG0000090	NM_180152.3.p1, NM_001337287.1.p1, NM_130369.4.p1	XM_016899823.2.p1, XM_016869678.2.p1, XM_016869677.2.p1, XM_016869676.2.p1, XM_016861939.2.p1, XM_016861947.2.p1, XR_005922181.1.p1
OG0000090	NM_180633.2.p1, NM_001333669.1.p1, NM_001333668.1.p1, NM_001333667.1.p1, NM_001333670.1.p1, NM_001333666.1.p1, NM_001333671.1.p1, NM_001333673.1.p1, NM_001333672.1.p1	XM_016872978.2.p1, XM_016872979.2.p1, XM_041104645.1.p1, XM_016872980.2.p1
OG0000090	NM_179287.2.p1, NM_100764.4.p1	XM_016872976.2.p1
OG0000091	NM_118760.3.p1, NM_125046.3.p1	XM_016894574.2.p1, XM_016894573.2.p1, XM_016894572.2.p1, XM_016834420.2.p1, XM_016811505.2.p1, XM_041109409.1.p1, XM_016863984.2.p1
OG0000091	NM_125551.4.p1	XM_016841692.2.p1, XM_016888980.2.p1, XM_016888981.2.p1
OG0000091	NM_124155.3.p1	XM_016832404.2.p1
OG0000091	NM_179694.4.p1	XM_016884745.2.p1, XM_041089669.1.p1
OG0000092	NM_101477.2.p1	XM_016896114.2.p1
OG0000092	NM_101492.3.p1, NM_001332218.1.p1	XM_016838875.2.p1, XM_016896113.2.p1, XM_016820730.2.p1
OG0000092	NM_106617.4.p1, NM_105641.2.p1, NM_101654.1.p1, NM_001332211.1.p1, NM_101480.3.p1, NM_106616.5.p1, NM_179577.1.p1, NM_101478.3.p1, NM_101483.2.p1, NM_101479.2.p1	XM_041101999.1.p1, XM_041103385.1.p1, XM_016844691.2.p1, XM_041088285.1.p1
OG0000093	NM_001339982.1.p1, NM_115809.2.p1, NM_001339981.1.p1	XM_016871929.2.p1, XM_016858397.2.p1, XM_016819366.2.p1, XM_016819364.2.p1, XR_005906176.1.p1, XR_001683169.2.p1, XM_016819360.2.p1, XM_016819367.2.p1, XM_016837940.2.p1
OG0000093	NM_111628.4.p1	XM_016887918.2.p1, XM_016890283.2.p1, XM_016887917.2.p1, XM_016890284.2.p1
OG0000093	NM_001337023.1.p1, NM_129890.4.p1	XM_016856887.2.p1, XM_016856952.2.p1, XM_016856815.2.p1
OG0000093	NM_117354.3.p1	XM_041097845.1.p1, XM_041097844.1.p1, XM_041116638.1.p1, XM_016890671.2.p1
OG0000095	NM_105425.5.p1	XR_005911968.1.p1, XR_005925851.1.p1, XR_005911970.1.p1, XR_005910458.1.p1, XM_016837489.2.p1, XM_016810514.2.p1
OG0000095	NM_001345589.1.p1, NM_001345587.1.p1, NM_001345586.1.p1, NM_001203676.2.p1, NM_125732.3.p1, NM_001345588.1.p1	XR_005906443.1.p1, XR_005906441.1.p1, XR_005906440.1.p1, XR_005906439.1.p1, XR_005906442.1.p1, XM_041083273.1.p1, XR_005906444.1.p1, XR_005906447.1.p1, XM_041117423.1.p1, XR_005930272.1.p1, XR_005930273.1.p1, XM_041097268.1.p1, XM_041097269.1.p1, XR_005915986.1.p1
OG0000096	NM_111761.3.p1	XM_016814285.2.p1, XM_016814287.2.p1, XM_016815620.2.p1, NM_001326765.1.p1
OG0000096	NM_128496.2.p1	XM_016885046.2.p1
OG0000097	NM_001333563.1.p1, NM_104160.3.p1, NM_104159.1.p1, NM_102568.2.p1, NM_001340417.1.p1, NM_116541.4.p1	XM_016898040.2.p1, XM_041081928.1.p1, XM_016893035.2.p1, XM_016892919.1.p1, XM_016817052.2.p1, XM_016887430.2.p1, XM_016887433.2.p1, XM_016829608.2.p1, XM_016887757.2.p1, XM_041111131.1.p1, XM_041110795.1.p1, XM_016829021.2.p1, XM_016829607.2.p1, XM_041110794.1.p1, XM_016887821.2.p1, XM_041084229.1.p1, XM_016822601.2.p1, XM_016822602.2.p1, XM_016817938.2.p1, XM_041076384.1.p1
OG0000097	NM_104158.2.p1	XM_016884266.2.p1
OG0000097	NM_104157.1.p1	XM_016845061.2.p1
OG0000098	NM_001340740.1.p1, NM_001340741.1.p1, NM_001340739.1.p1, NM_001341569.1.p1, NM_001341568.1.p1	XM_016869115.2.p1, XM_016881504.2.p1, XM_016881503.2.p1, XM_016860590.2.p1, XM_041105648.1.p1, XM_016900115.2.p1
OG0000098	NM_001337146.1.p1, NM_130128.4.p1	XM_016839935.2.p1, XM_041105817.1.p1, XM_016839934.2.p1, XM_016839937.2.p1, XM_041079815.1.p1, XM_016892773.2.p1, XM_016892776.2.p1, XM_041079811.1.p1, XM_016839938.2.p1, XM_041105829.1.p1, XM_041105830.1.p1, XM_041105831.1.p1, XM_041105836.1.p1, XM_041105840.1.p1, XM_041105839.1.p1, XM_016879704.2.p1, XM_041106671.1.p1, XM_041106670.1.p1
OG0000098	NM_001345537.1.p1, NM_001345536.1.p1, NM_001345539.1.p1, NM_001345529.1.p1, NM_180916.1.p1, NM_125610.4.p1, NM_001345528.1.p1	XM_016831064.2.p1, NM_001398438.1.p1, XM_041080449.1.p1, XM_041105395.1.p1
OG0000099	NM_128136.3.p1	XM_016889283.2.p1, XR_005915888.1.p1, XR_001692917.2.p1, XR_001699358.2.p1, XR_001699357.2.p1, XM_016870993.2.p1, XR_001682807.2.p1, XR_005907868.1.p1, XR_005907870.1.p1, XR_005907867.1.p1, XM_041085604.1.p1, XR_001682806.2.p1, XM_041093178.1.p1
OG0000099	NM_112214.5.p1	XM_041099420.1.p1, XM_041099419.1.p1, XM_016871496.2.p1, XM_041075530.1.p1
OG0000099	NM_121824.4.p1, NM_001343538.1.p1, NM_111265.4.p1	XM_041109740.1.p1, XM_041109741.1.p1, XM_016866148.2.p1, XM_016866145.2.p1, XM_016812425.2.p1, XM_041080130.1.p1, XM_016818193.2.p1
OG0000101	NM_120328.5.p1, NM_120327.5.p1, NM_001337819.1.p1, NM_001337820.1.p1	XM_016871268.2.p1
OG0000101	NM_101471.3.p1	XM_016849717.2.p1, XM_016853679.2.p1, XM_016893214.2.p1
OG0000102	NM_114829.4.p1	XM_016831756.2.p1, XM_016824565.2.p1, XM_016879296.2.p1
OG0000102	NM_001336612.1.p1	XM_016831947.2.p1, NM_001326729.2.p1, XM_041075075.1.p1, XM_016894363.2.p1, XM_016868675.2.p1, XM_041076726.1.p1
OG0000102	NM_119940.5.p1	XM_041115256.1.p1, XM_016864184.2.p1, XM_041117159.1.p1, XM_041097041.1.p1, XM_016861405.2.p1
OG0000102	NM_125143.4.p1	XM_016877911.2.p1, XM_016834873.2.p1
OG0000103	NM_113483.5.p1, NM_001338768.1.p1, NM_113482.5.p1, NM_127982.4.p1, NM_117775.4.p1, NM_001341133.1.p1, NM_001341134.1.p1, NM_117774.4.p1	XM_041103198.1.p1, XM_016817800.1.p1, XM_016817263.2.p1, XM_016817264.2.p1, XM_016817139.2.p1, NM_001327424.2.p1, XM_041077605.1.p1, XM_041078335.1.p1, XM_041110920.1.p1, XM_016830304.2.p1, XM_016830303.2.p1, XM_016812903.2.p1, XM_016812904.2.p1, XM_041078353.1.p1, XM_041078633.1.p1, XM_016817262.2.p1
OG0000106	NM_112617.4.p1	XM_016886598.2.p1, XM_016845128.2.p1
OG0000106	NM_116369.3.p1, NM_116304.4.p1, NM_001343971.1.p1, NM_122527.4.p1, NM_122533.2.p1, NM_122531.2.p1, NM_001343970.1.p1, NM_001085154.1.p1, NM_001335218.1.p1, NM_001036241.3.p1, NM_001161021.2.p1, NM_001335219.1.p1, NM_001124792.1.p1, NM_126455.3.p1, NM_117046.2.p1, NM_001340636.1.p1, NM_001340633.1.p1, NM_001340634.1.p1, NM_001338477.1.p1, NM_112928.3.p1, NM_112929.3.p1, NM_112927.4.p1, NM_113741.4.p1, NM_113104.3.p1, NM_105634.1.p1, NM_105633.1.p1, NM_001338560.1.p1, NM_127133.1.p1, NM_202363.3.p1, NM_105211.4.p1, NM_001334188.1.p1	XM_016897058.2.p1, XM_016891377.2.p1, XM_016881198.2.p1
OG0000107	NM_001203535.1.p1, NM_001344505.1.p1	XM_016887441.2.p1, XM_016844066.2.p1, XM_016844065.2.p1, XM_016859819.2.p1, XM_016834802.2.p1, XM_016834806.2.p1
OG0000107	NM_179779.3.p1	XM_016813389.2.p1, XM_016877702.2.p1, XM_041100498.1.p1, XM_016877701.2.p1
OG0000107	NM_179453.3.p1	XM_016831241.2.p1, XM_016815475.2.p1, XM_016865912.2.p1
OG0000108	NM_128996.3.p1, NM_001336515.1.p1, NM_111544.1.p1	XM_016897935.2.p1
OG0000108	NM_102613.2.p1, NM_001084156.1.p1	XM_016817614.1.p1, XM_016814601.1.p1, XM_016825808.2.p1, XM_041095573.1.p1, XM_041090940.1.p1, XM_016828763.2.p1
OG0000108	NM_100035.3.p1, NM_105210.2.p1, NM_119822.1.p1, NM_125437.5.p1	XM_016856053.2.p1, XM_016851362.2.p1, XM_041086405.1.p1, XM_016835002.2.p1, XM_016814597.2.p1
OG0000109	NM_114533.2.p1, NR_141647.1.p1, NM_114534.3.p1, NR_141648.1.p1, NR_141646.1.p1, NM_123154.3.p1, NM_123160.3.p1, NM_123164.2.p1, NM_114539.3.p1, NM_114536.4.p1, NM_114532.5.p1, NM_114535.1.p1, NR_143870.1.p1, NM_114537.4.p1, NM_125351.3.p1, NM_125350.3.p1	XM_016896228.2.p1
OG0000109	NM_111968.4.p1, NM_120668.4.p1, NM_120672.2.p1, NM_120670.2.p1, NM_120671.4.p1, NM_120669.4.p1	XM_016896330.2.p1, XM_016830413.2.p1
OG0000109	NM_115429.3.p1, NM_115428.3.p1	XM_016886796.2.p1, XM_016876371.2.p1
OG0000110	NM_001339360.1.p1, NM_148858.2.p1, NR_141368.1.p1, NM_148857.3.p1, NM_148853.1.p1, NM_001203102.2.p1, NM_148855.3.p1, NM_148854.3.p1, NM_122405.2.p1, NM_001343905.1.p1, NM_122404.1.p1, NM_128630.3.p1, NM_128628.4.p1, NM_001198035.1.p1, NM_101034.3.p1	XM_016880972.2.p1
OG0000111	NM_104504.3.p1, NM_104503.5.p1, NM_100785.3.p1	XM_016858203.2.p1, XM_016811419.2.p1
OG0000111	NM_126284.3.p1, NM_201670.2.p1, NM_126289.2.p1, NM_126293.4.p1, NM_126292.3.p1, NM_001335105.1.p1, NM_126291.2.p1, NM_126290.2.p1, NM_126283.5.p1	XM_041114427.1.p1, XM_041091723.1.p1, XM_041114426.1.p1, XM_016859592.2.p1
OG0000112	NM_100232.5.p1, NM_100275.3.p1	XM_041084715.1.p1, XM_041106876.1.p1, XM_041084198.1.p1, XM_041082975.1.p1
OG0000112	NM_113885.2.p1, NM_113891.2.p1, NM_113890.3.p1, NM_113894.1.p1, NM_125509.3.p1, NM_113889.3.p1, NM_113880.2.p1, NM_123271.3.p1, NM_123267.6.p1, NM_123270.3.p1	XM_016857296.1.p1, XM_016857207.2.p1, XM_016857415.2.p1, XM_016876277.1.p1, XM_041105759.1.p1, XM_041111229.1.p1
OG0000113	NM_100508.2.p1	XM_016866744.2.p1
OG0000113	NM_114794.2.p1, NM_128302.3.p1	XM_041110918.1.p1, XM_016830313.2.p1, XM_016828596.2.p1, XM_016830309.2.p1, XM_016829068.2.p1, XM_016868340.2.p1, XM_041092741.1.p1, XM_041111167.1.p1, XM_041092738.1.p1, XM_016829069.2.p1, XM_016884053.2.p1, XM_016900206.2.p1
OG0000113	NM_123957.3.p1	XM_016832020.2.p1
OG0000115	NM_104843.2.p1, NM_001333993.1.p1, NM_118259.4.p1, NM_001341479.1.p1	XM_041116451.1.p1, XM_041116450.1.p1, XM_016827930.2.p1, XM_016813269.2.p1
OG0000115	NM_101008.3.p1, NM_001331978.1.p1, NM_001198033.2.p1, NM_001331976.1.p1, NM_001331975.1.p1, NM_101003.3.p1	XM_041086759.1.p1, XM_041087836.1.p1, XM_016874871.2.p1, XM_041086775.1.p1, XM_016874870.2.p1, XM_041086770.1.p1, XM_041086769.1.p1, XM_041087832.1.p1, XM_041086772.1.p1, XM_041086763.1.p1, XM_041086765.1.p1, XM_016874866.2.p1, XM_041074215.1.p1, XM_041086766.1.p1, XM_016877079.2.p1, XM_041086762.1.p1, XM_041087834.1.p1, XM_041074219.1.p1, XM_016877081.2.p1, XM_041087828.1.p1, XM_041087830.1.p1, XR_005909163.1.p1, XM_016836425.2.p1, XM_041075177.1.p1
OG0000116	NM_106650.3.p1	XM_016816519.2.p1
OG0000116	NM_104130.4.p1	XM_041103057.1.p1
OG0000117	NM_001332735.1.p1, NM_102457.6.p1	XR_005907553.1.p1, XM_041085026.1.p1, XR_005907554.1.p1, XM_041085025.1.p1, XM_041108756.1.p1, XM_041108755.1.p1, XM_016892857.2.p1, XM_016892856.2.p1, XM_041092908.1.p1
OG0000117	NM_106111.4.p1, NM_179553.1.p1	XM_041117532.1.p1, XR_005930309.1.p1, XR_001693837.2.p1, XR_001693835.2.p1, XR_005930314.1.p1, XM_041117533.1.p1, XR_005930316.1.p1, XR_005930312.1.p1, XR_001693836.2.p1, XR_005930310.1.p1, XR_001693839.2.p1, XM_016888765.2.p1, XR_005916057.1.p1, XM_041097363.1.p1, XR_005916056.1.p1, XR_005916058.1.p1, XM_016873416.2.p1, XM_041083199.1.p1, XM_041107071.1.p1, XR_005916061.1.p1
OG0000118	NM_001336162.1.p1, NM_128389.3.p1	XM_016898374.2.p1
OG0000118	NM_115205.2.p1, NM_129277.3.p1, NM_001202767.1.p1	XM_041087670.1.p1, XM_041115223.1.p1, XM_016825407.2.p1, XM_016882871.2.p1, XM_016871099.2.p1, XM_016831928.2.p1, XM_041115212.1.p1
OG0000118	NM_119685.3.p1	XM_016846512.2.p1, XM_016846510.2.p1, XM_016832360.2.p1, XM_041113734.1.p1, XM_016860106.2.p1, XM_016869768.2.p1, XM_016851667.2.p1
OG0000118	NM_120713.5.p1	XM_016875850.2.p1, XM_016884028.2.p1, XM_016823915.2.p1, XM_016859371.2.p1
OG0000119	NM_124188.4.p1, NM_111662.3.p1, NM_111663.2.p1, NM_111661.3.p1	XM_016891767.2.p1, XM_041096804.1.p1, XM_016821047.1.p1, XM_016887634.1.p1, XM_041096807.1.p1, XM_016884635.1.p1, XM_016884633.2.p1, XM_016885762.2.p1, XM_041089809.1.p1, XM_041086631.1.p1, XM_041086636.1.p1, XM_041086633.1.p1, XM_016866316.2.p1, XM_016866318.2.p1, XM_041117615.1.p1, XM_041086513.1.p1, XM_041118174.1.p1, XM_041089861.1.p1, XM_016869700.2.p1, XM_016869699.2.p1, XM_041086542.1.p1, XM_041097477.1.p1, XM_041097478.1.p1, XM_041100164.1.p1, XM_041086554.1.p1, XM_041097464.1.p1, XM_016821287.2.p1, XM_041101667.1.p1, XM_016873110.2.p1, XM_016839161.2.p1, XM_016853861.2.p1, XM_041116980.1.p1
OG0000119	NM_101576.1.p1, NM_127105.1.p1, NM_128219.2.p1, NM_117450.2.p1, NM_129589.1.p1, NM_103464.1.p1, NM_106487.3.p1, NM_128875.1.p1	XM_041116512.1.p1, XM_041087842.1.p1, XM_016814411.2.p1
OG0000120	NM_116969.3.p1, NM_001198209.1.p1, NM_103213.3.p1, NM_106479.3.p1	XM_016898808.2.p1, XM_016831663.2.p1, XM_016852761.2.p1, XM_016877738.2.p1
