Orthogroup	Arabidopsis_thaliana_rna_prot	Citrus_sinensis_rna_prot
OG0000095	NM_105425.5.p1	XR_008054315.1.p1, XR_008054314.1.p1, XR_008054313.1.p1
OG0000095	NM_001345589.1.p1, NM_001345587.1.p1, NM_001345586.1.p1, NM_001203676.2.p1, NM_125732.3.p1, NM_001345588.1.p1	XM_052436377.1.p1
OG0000096	NM_111761.3.p1	XM_006480849.4.p1, XM_006480850.4.p1
OG0000096	NM_128496.2.p1	XM_006488353.4.p1, XM_006488354.4.p1
OG0000097	NM_001333563.1.p1, NM_104160.3.p1, NM_104159.1.p1, NM_102568.2.p1, NM_001340417.1.p1, NM_116541.4.p1	XM_006465360.3.p1
OG0000097	NM_001332174.1.p1, NM_001332176.1.p1, NM_106681.1.p1	XM_006465359.3.p1
OG0000097	NM_104158.2.p1	XM_006465452.3.p1, XM_015530690.3.p1
OG0000097	NM_104157.1.p1	XM_006465451.4.p1
OG0000098	NM_001340740.1.p1, NM_001340741.1.p1, NM_001340739.1.p1, NM_001341569.1.p1, NM_001341568.1.p1	XM_015529665.3.p1, XM_006477288.4.p1, XM_006477289.4.p1, XM_006477291.4.p1, XM_006477290.4.p1
OG0000098	NM_001337146.1.p1, NM_130128.4.p1	XM_052438947.1.p1
OG0000098	NM_001345537.1.p1, NM_001345536.1.p1, NM_001345539.1.p1, NM_001345529.1.p1, NM_180916.1.p1, NM_125610.4.p1, NM_001345528.1.p1	NM_001288842.1.p1
OG0000099	NM_128136.3.p1	XR_003064934.2.p1, XM_006475955.4.p1, XR_008052737.1.p1, XR_003064938.2.p1
OG0000099	NM_112214.5.p1	XM_006492623.4.p1
OG0000099	NM_121824.4.p1, NM_001343538.1.p1, NM_111265.4.p1	XM_006479041.4.p1
OG0000101	NM_001125684.1.p1	XM_052432268.1.p1
OG0000101	NM_101471.3.p1	XM_052444746.1.p1, XM_006493326.4.p1
OG0000102	NM_114829.4.p1	XM_006466515.4.p1
OG0000102	NM_001336612.1.p1	XM_006487963.4.p1, XM_006491603.4.p1
OG0000102	NM_119940.5.p1	XM_006475305.4.p1, XM_006475916.4.p1
OG0000102	NM_125143.4.p1	XM_006474561.3.p1
OG0000103	NM_113483.5.p1, NM_001338768.1.p1, NM_113482.5.p1, NM_127982.4.p1, NM_117775.4.p1, NM_001341133.1.p1, NM_001341134.1.p1, NM_117774.4.p1	XM_015530476.3.p1, XM_052441071.1.p1, XM_052440418.1.p1, XM_052440574.1.p1, XM_052440760.1.p1, XM_006467426.4.p1, XM_052432897.1.p1, XM_006487757.3.p1, XM_015528175.3.p1, XR_371274.3.p1, XM_052432364.1.p1
OG0000106	NM_112617.4.p1	XM_052444583.1.p1, XM_006488689.4.p1
OG0000106	NM_116369.3.p1, NM_116304.4.p1, NM_001343971.1.p1, NM_122527.4.p1, NM_122533.2.p1, NM_122531.2.p1, NM_001343970.1.p1, NM_001085154.1.p1, NM_001335218.1.p1, NM_001036241.3.p1, NM_001161021.2.p1, NM_001335219.1.p1, NM_001124792.1.p1, NM_126455.3.p1, NM_117046.2.p1, NM_001340636.1.p1, NM_001340633.1.p1, NM_001340634.1.p1, NM_001338477.1.p1, NM_112928.3.p1, NM_112929.3.p1, NM_112927.4.p1, NM_113741.4.p1, NM_113104.3.p1, NM_105634.1.p1, NM_105633.1.p1, NM_001338560.1.p1, NM_127133.1.p1, NM_202363.3.p1, NM_105211.4.p1, NM_001334188.1.p1	XM_052442120.1.p1, XM_052441040.1.p1, XM_052442419.1.p1, XM_052441041.1.p1, XM_006494499.4.p1, XM_052442369.1.p1, XM_015533768.3.p1, XM_052435469.1.p1, XM_052442134.1.p1
OG0000107	NM_001203535.1.p1, NM_001344505.1.p1	XM_006489409.4.p1
OG0000107	NM_179779.3.p1	XM_006484876.4.p1, XM_052432357.1.p1, XM_052432361.1.p1, XM_052432358.1.p1
OG0000107	NM_179453.3.p1	XM_006478057.4.p1
OG0000108	NM_128996.3.p1, NM_001336515.1.p1, NM_111544.1.p1	XM_006468129.4.p1
OG0000108	NM_102613.2.p1, NM_001084156.1.p1	XM_052433947.1.p1, XM_006489936.2.p1, XM_052433949.1.p1, XM_006492900.2.p1, XM_052433971.1.p1
OG0000108	NM_100035.3.p1, NM_105210.2.p1, NM_119822.1.p1, NM_125437.5.p1	XM_006486995.3.p1, XM_006486994.2.p1
OG0000109	NM_114533.2.p1, NR_141647.1.p1, NM_114534.3.p1, NR_141648.1.p1, NR_141646.1.p1, NM_123154.3.p1, NM_123160.3.p1, NM_123164.2.p1, NM_114539.3.p1, NM_114536.4.p1, NM_114532.5.p1, NM_114535.1.p1, NR_143870.1.p1, NM_114537.4.p1, NM_125351.3.p1, NM_125350.3.p1	XM_006488343.4.p1, XM_006488344.4.p1, XM_006488345.4.p1
OG0000109	NM_115429.3.p1, NM_115428.3.p1	XM_006486381.4.p1
OG0000110	NM_001339360.1.p1, NM_148858.2.p1, NR_141368.1.p1, NM_148857.3.p1, NM_148853.1.p1, NM_001203102.2.p1, NM_148855.3.p1, NM_148854.3.p1, NM_122405.2.p1, NM_001343905.1.p1, NM_122404.1.p1, NM_128630.3.p1, NM_128628.4.p1, NM_001198035.1.p1, NM_101034.3.p1	XM_006476848.4.p1, XM_006490665.4.p1, XM_052434072.1.p1, XM_015530415.2.p1, XM_006494119.4.p1
OG0000111	NM_104504.3.p1, NM_104503.5.p1, NM_100785.3.p1	XM_052442951.1.p1, XM_006481644.4.p1
OG0000111	NM_126284.3.p1, NM_201670.2.p1, NM_126289.2.p1, NM_126293.4.p1, NM_126292.3.p1, NM_001335105.1.p1, NM_126291.2.p1, NM_126290.2.p1, NM_126283.5.p1	XM_015534413.3.p1, XM_052443570.1.p1, XM_015534411.3.p1
OG0000112	NM_113885.2.p1, NM_113891.2.p1, NM_113890.3.p1, NM_113894.1.p1, NM_125509.3.p1, NM_113889.3.p1, NM_113880.2.p1, NM_123271.3.p1, NM_123267.6.p1, NM_123270.3.p1	XM_052433367.1.p1, XM_052433371.1.p1, XM_052433374.1.p1, XM_006475047.4.p1, XM_006474791.4.p1, XM_006485639.3.p1, XM_006475319.4.p1, XR_008053660.1.p1, XM_052440012.1.p1, XM_025100023.2.p1, XM_025097703.2.p1, XM_006491485.4.p1, XM_006478490.4.p1
OG0000113	NM_100508.2.p1	XM_025095218.2.p1
OG0000113	NM_114794.2.p1, NM_128302.3.p1	XM_006492654.4.p1, XM_052432743.1.p1, XM_006492688.1.p1, XM_052441627.1.p1
OG0000115	NM_104843.2.p1, NM_001333993.1.p1, NM_118259.4.p1, NM_001341479.1.p1	XM_006467870.4.p1, XM_006467871.3.p1
OG0000115	NM_101008.3.p1, NM_001331978.1.p1, NM_001198033.2.p1, NM_001331976.1.p1, NM_001331975.1.p1, NM_101003.3.p1	XM_006464526.4.p1, XM_006464525.4.p1, XM_006494625.4.p1
OG0000116	NM_106650.3.p1	XM_006492020.3.p1
OG0000116	NM_104130.4.p1	XM_006492021.4.p1
OG0000117	NM_001332735.1.p1, NM_102457.6.p1	XM_006483129.4.p1, XM_015531819.3.p1, XM_006483128.3.p1, XM_006483127.4.p1
OG0000117	NM_106111.4.p1, NM_179553.1.p1	XM_052436261.1.p1
OG0000118	NM_001336162.1.p1, NM_128389.3.p1	XM_006488009.3.p1
OG0000118	NM_115205.2.p1, NM_129277.3.p1, NM_001202767.1.p1	XM_006481436.4.p1
OG0000118	NM_119685.3.p1	XM_006473693.4.p1, XM_006473694.4.p1, XM_006467095.2.p1, XM_006486584.4.p1
OG0000118	NM_120713.5.p1	XM_006481511.4.p1
OG0000119	NM_112258.4.p1, NM_111664.3.p1	XM_052434824.1.p1
OG0000119	NM_124188.4.p1, NM_111662.3.p1, NM_111663.2.p1, NM_111661.3.p1	XM_006469686.3.p1
OG0000119	NM_101576.1.p1, NM_127105.1.p1, NM_128219.2.p1, NM_117450.2.p1, NM_129589.1.p1, NM_103464.1.p1, NM_106487.3.p1, NM_128875.1.p1	XM_052435775.1.p1
OG0000120	NM_116969.3.p1, NM_001198209.1.p1, NM_103213.3.p1, NM_106479.3.p1	XM_052440870.1.p1, XM_052440869.1.p1
OG0000120	NM_001344252.1.p1, NM_123209.4.p1, NM_121610.4.p1, NM_001343435.1.p1, NM_001337415.1.p1	XM_006482208.4.p1, XM_006482209.3.p1
OG0000120	NM_180943.2.p1, NM_001203692.1.p1, NM_001203346.1.p1, NM_001203347.1.p1, NM_121083.4.p1	XM_006466223.3.p1
OG0000122	NM_101579.4.p1, NM_101578.3.p1, NM_106481.4.p1, NM_001334824.1.p1, NM_101580.4.p1, NM_001334825.1.p1, NM_106484.4.p1, NM_106482.2.p1, NM_106485.4.p1	XM_006477916.4.p1, XM_006477952.4.p1
OG0000125	NM_120507.5.p1, NM_001125696.1.p1	XM_006485565.4.p1, XM_025100851.2.p1
OG0000125	NM_001342699.1.p1, NM_001342700.1.p1, NM_120411.5.p1, NM_202996.2.p1	XM_025093340.2.p1, XM_006492976.4.p1, XM_025093342.2.p1, XM_006492974.4.p1, XM_025093341.2.p1
OG0000128	NM_001336635.1.p1, NM_001336637.1.p1, NM_001336628.1.p1, NM_201889.2.p1, NM_001336638.1.p1, NM_001336629.1.p1, NM_001336634.1.p1, NM_001336633.1.p1, NM_001336627.1.p1, NM_001336636.1.p1, NM_001336631.1.p1	XM_052443706.1.p1, XM_052443712.1.p1, XM_052443707.1.p1, XM_052443710.1.p1, XM_052443714.1.p1, XM_052443713.1.p1, XM_052443708.1.p1, XM_052443719.1.p1
OG0000130	NM_117486.4.p1, NM_001340901.1.p1, NM_001203795.1.p1, NM_115789.2.p1, NM_115780.1.p1, NM_001339952.1.p1, NM_115781.3.p1, NM_115785.2.p1, NM_001203203.2.p1, NM_115783.3.p1, NM_115778.3.p1, NM_115779.1.p1, NM_104611.1.p1, NM_001339399.1.p1, NM_115786.1.p1, NM_115787.2.p1, NM_001339953.1.p1, NM_115782.3.p1, NM_118354.4.p1, NM_202861.1.p1	XM_025099859.2.p1, XM_015531266.3.p1
OG0000131	NM_178968.5.p1	XM_006475150.4.p1
OG0000131	NM_104380.1.p1	XM_006480571.4.p1, XM_015531338.2.p1
OG0000131	NM_178960.2.p1, NM_001036508.2.p1, NM_116744.4.p1	XM_052443046.1.p1
OG0000131	NM_120402.3.p1, NM_180698.3.p1, NM_001343676.1.p1, NM_001036747.1.p1, NM_105209.4.p1	XM_006480568.4.p1, XM_025099614.2.p1
OG0000132	NM_001333384.1.p1, NM_103836.4.p1, NM_112785.5.p1, NM_001338374.1.p1	XM_006479332.4.p1
OG0000132	NM_148574.4.p1, NM_001338373.1.p1, NM_112782.4.p1, NM_116389.3.p1	XM_006479328.4.p1, XM_006479329.4.p1, XM_052432160.1.p1, XM_006480001.3.p1, XM_052432375.1.p1, XM_052432379.1.p1, XM_052432378.1.p1, XM_052433034.1.p1, XM_025099089.2.p1, XM_025101949.2.p1, XM_052432993.1.p1, XM_052432939.1.p1, XM_006487404.4.p1, XM_052431785.1.p1, XM_052431786.1.p1
OG0000133	NM_001339897.1.p1, NM_001339898.1.p1, NM_115650.5.p1, NM_104035.4.p1	XM_015532294.3.p1, XM_006484962.4.p1, XM_006484963.4.p1
OG0000133	NM_121300.3.p1	XM_006494660.4.p1
OG0000133	NM_118127.1.p1	XM_006483612.4.p1
OG0000133	NM_102109.4.p1	XM_006473194.4.p1, XM_052441843.1.p1
OG0000133	NM_100296.2.p1	XM_006480010.3.p1
OG0000133	NM_120768.3.p1	XM_052439708.1.p1
OG0000133	NM_124180.3.p1	XM_006483613.4.p1
OG0000134	NM_179787.4.p1, NM_100678.3.p1, NM_001331754.1.p1	XM_006488010.4.p1, XM_006488011.4.p1
OG0000134	NM_001334328.1.p1, NM_001334330.1.p1, NM_105453.3.p1, NM_202373.4.p1, NM_001334329.1.p1	XM_006483892.4.p1
OG0000134	NM_001338880.1.p1, NM_001338879.1.p1, NM_001084748.2.p1, NM_001338878.1.p1	XM_025095398.2.p1
OG0000135	NM_115222.3.p1	XM_006480687.4.p1
OG0000135	NM_116378.4.p1, NM_099987.4.p1, NM_001331245.1.p1	XM_025092603.2.p1, XM_006491332.4.p1
OG0000135	NM_130253.3.p1	XM_006478935.3.p1
OG0000136	NM_122514.2.p1, NM_119529.2.p1, NM_119530.3.p1, NM_127025.3.p1, NM_127021.3.p1	XM_006486759.4.p1
OG0000136	NM_103893.1.p1, NM_001333418.1.p1	XM_006486769.4.p1
OG0000138	NM_100911.6.p1, NM_100910.5.p1	XM_006483205.4.p1
OG0000139	NM_001084672.1.p1, NM_202564.2.p1, NM_202563.3.p1, NM_001337984.1.p1, NM_001337985.1.p1, NM_112061.6.p1, NM_120777.3.p1, NM_001342913.1.p1, NM_203016.2.p1, NM_001342914.1.p1	XM_006465695.4.p1, XM_025098639.2.p1, XM_006465694.4.p1, XM_052433536.1.p1
OG0000139	NM_105536.4.p1	XM_025100424.2.p1
OG0000141	NM_202709.2.p1, NM_112097.5.p1, NM_001035605.2.p1	XM_015532736.3.p1
OG0000141	NM_202979.1.p1, NM_120013.6.p1, NM_126006.4.p1, NM_114996.4.p1, NM_202682.2.p1	XM_006466957.3.p1, XM_006486628.4.p1
OG0000142	NM_001334310.1.p1	XM_052444286.1.p1, XM_052444285.1.p1, XM_006465147.4.p1, XM_006465150.3.p1, XM_052444174.1.p1, XM_006465227.3.p1, XM_052444280.1.p1, XM_052444175.1.p1, XM_006465185.4.p1, XM_052444282.1.p1
OG0000143	NM_202078.2.p1, NM_100958.2.p1, NM_001084276.2.p1, NM_104750.3.p1	XM_052431937.1.p1, XM_052431936.1.p1, XM_006470845.4.p1, XM_052431938.1.p1, XM_052431939.1.p1, XM_052431940.1.p1
OG0000144	NM_115627.4.p1	XM_006493832.4.p1
OG0000144	NM_103201.3.p1	XM_006472944.4.p1
OG0000144	NM_101200.2.p1	XM_006484511.3.p1
OG0000144	NM_100702.4.p1	XM_006487902.4.p1
OG0000145	NM_124457.4.p1	XM_006493188.4.p1
OG0000145	NM_129463.4.p1	XM_006478981.3.p1
OG0000145	NM_118633.2.p1, NM_124458.2.p1, NM_114733.4.p1, NM_122271.3.p1	XM_006493190.4.p1
OG0000145	NM_121320.3.p1	XM_006482978.3.p1
OG0000146	NM_100520.4.p1	XM_006468920.4.p1
OG0000146	NM_117996.6.p1, NM_123942.2.p1	XM_006467550.4.p1, XM_025094835.2.p1
OG0000146	NM_125479.4.p1, NM_112368.4.p1	XM_006468996.4.p1, XM_006467636.4.p1
OG0000147	NM_128672.2.p1	XM_006479465.4.p1
OG0000147	NM_001084733.2.p1	XM_006489654.3.p1
OG0000147	NM_100583.2.p1	XM_052432488.1.p1
OG0000147	NM_111322.3.p1, NM_122732.3.p1	XM_052431724.1.p1
OG0000148	NM_179180.3.p1, NM_119870.2.p1, NM_001085037.2.p1, NM_001204013.1.p1, NM_119869.2.p1, NM_119868.3.p1	XM_025093230.2.p1, XM_052444215.1.p1
OG0000148	NM_128213.4.p1	XM_006488090.3.p1, XM_052440819.1.p1
OG0000149	NM_102256.3.p1	XM_006476666.4.p1, XM_025100347.2.p1
OG0000149	NM_129944.3.p1, NM_201953.2.p1	XM_006478492.4.p1, XM_052435988.1.p1
OG0000150	NM_101311.6.p1, NM_126310.3.p1	XM_006466498.3.p1, XM_006470775.4.p1
OG0000150	NM_118599.2.p1, NM_125939.3.p1	XM_006473104.4.p1, XM_006466221.4.p1, XM_006472453.4.p1
OG0000151	NM_202441.3.p1, NM_001084370.2.p1	XM_006472511.4.p1, XM_006472510.4.p1, XM_006472509.4.p1
OG0000151	NM_001342244.1.p1, NM_119556.3.p1	XM_006480082.4.p1
OG0000151	NM_001345807.1.p1, NM_001203118.1.p1, NM_114910.3.p1	XM_006466588.3.p1
OG0000151	NM_120165.2.p1	XM_006477007.4.p1
OG0000152	NM_001126001.2.p1, NM_125545.4.p1	XM_052433561.1.p1, XM_006490099.3.p1, XM_006490094.4.p1, XM_052433566.1.p1, XM_052433564.1.p1, XM_052433563.1.p1, XM_052433562.1.p1, XM_052433558.1.p1, XM_052433560.1.p1, XM_006490092.3.p1
OG0000152	NM_118268.4.p1, NM_100998.4.p1	XM_006482124.4.p1, XM_052432489.1.p1, XM_052434806.1.p1
OG0000153	NM_180791.3.p1, NM_203146.4.p1, NM_123693.6.p1	XM_006484051.4.p1, XM_006484052.4.p1, XM_006484056.4.p1, XM_052439233.1.p1, XM_006484049.4.p1, XM_025100468.2.p1, XM_025100471.2.p1
OG0000156	NM_203086.3.p1, NM_122013.4.p1, NM_001036832.1.p1	XM_006475726.4.p1
OG0000156	NM_104148.5.p1, NM_001338180.1.p1, NM_001202974.1.p1, NM_112435.3.p1, NM_103674.1.p1, NM_179468.2.p1	XM_052431415.1.p1, XM_015530018.3.p1, XM_006465321.4.p1
OG0000157	NM_102057.4.p1, NM_106441.4.p1	XM_025096854.2.p1, XM_052442412.1.p1, XM_006472619.4.p1, XM_006472616.4.p1, XM_025096853.2.p1, XM_006472615.4.p1
OG0000157	NM_180942.3.p1, NM_001037070.1.p1, NM_125919.3.p1, NM_121041.5.p1, NM_001343085.1.p1, NM_001343086.1.p1, NM_001343084.1.p1	XM_052444428.1.p1, XM_015530906.3.p1, XM_006464242.4.p1, XM_006464241.4.p1, XM_015530859.3.p1, XM_006464243.4.p1
OG0000158	NM_123700.1.p1	XM_052442855.1.p1
OG0000158	NM_001339687.1.p1, NM_129452.4.p1	XM_006479486.3.p1
OG0000158	NM_123701.4.p1, NM_123703.3.p1, NM_123702.1.p1	XM_006489677.4.p1
OG0000160	NM_105443.5.p1	XM_006483937.4.p1
OG0000160	NM_001338872.1.p1	XM_006469872.4.p1
OG0000160	NM_001203786.1.p1, NM_113378.2.p1, NM_124267.3.p1, NM_001337685.1.p1, NM_111581.3.p1	XM_006480127.3.p1
OG0000160	NM_001203791.1.p1, NM_117445.3.p1, NM_113328.3.p1, NM_100348.4.p1	XM_052434473.1.p1, XM_052434474.1.p1
OG0000160	NM_124954.3.p1	XM_006475052.3.p1
OG0000162	NM_001341952.1.p1, NM_119032.5.p1, NM_119030.4.p1, NM_001084996.2.p1	XM_006475613.4.p1, XR_003065048.2.p1, XM_006475612.4.p1, XM_006475614.4.p1, XR_003065047.2.p1
OG0000163	NM_124138.2.p1	XM_006474832.4.p1
OG0000163	NM_117534.3.p1	XM_006469389.4.p1
OG0000163	NM_179946.4.p1, NM_201888.3.p1, NM_001339611.1.p1, NM_115194.3.p1, NM_001339608.1.p1, NM_001339609.1.p1	XM_006485877.4.p2
OG0000164	NM_121024.3.p1, NM_125870.3.p1, NM_127746.2.p1, NM_120095.4.p1	XM_006464470.4.p1, XM_006473011.4.p1
OG0000164	NM_121748.4.p1	XM_006473964.4.p1
OG0000164	NM_001336002.1.p1, NM_119393.3.p1	XM_006483275.4.p1
OG0000164	NM_120599.4.p1	XM_006482811.4.p1
OG0000165	NM_104490.5.p1, NM_001333763.1.p1, NM_001333764.1.p1, NM_104491.2.p1, NM_104492.4.p1, NM_104493.4.p1, NM_001198318.1.p1	XM_052434537.1.p1
OG0000166	NM_001336689.1.p1, NM_129368.3.p1, NM_120202.5.p1	XM_006480924.4.p1, XM_006486283.4.p1
OG0000166	NM_127675.3.p1	XM_006486704.4.p1
OG0000166	NM_106418.4.p1	XM_006472665.3.p1
OG0000167	NM_113182.2.p1	XM_006489398.4.p1
OG0000167	NM_115050.2.p1	XR_008053141.1.p1, XR_008053143.1.p1, XR_008053140.1.p1, XR_008053142.1.p1, XM_052437152.1.p1
OG0000168	NM_127238.3.p1, NM_119676.4.p1, NM_001203991.1.p1	XM_006486660.4.p1
OG0000168	NM_001336641.1.p1, NM_129274.4.p1, NM_115202.3.p1, NM_125459.4.p1	XM_052443302.1.p1, XM_006481396.4.p1, XM_006481392.4.p1
OG0000168	NM_115339.3.p1	XM_006485624.4.p1
OG0000169	NM_001332071.1.p1, NM_101227.3.p1	XM_006473367.4.p1, XM_006473366.4.p1, XM_006473369.4.p1, XM_006482276.3.p1, XM_052443509.1.p1, XM_006484241.4.p1
OG0000170	NM_001343292.1.p1, NM_180705.3.p1, NM_121377.5.p1	XM_015528143.3.p1
OG0000172	NM_102088.3.p1, NM_102089.5.p1, NM_001036001.1.p1, NM_102086.3.p1, NM_202156.2.p1, NM_102085.3.p1	XM_006472520.3.p1, XM_006472521.4.p1, XM_006472943.4.p1, XM_052440867.1.p1
OG0000173	NM_113225.3.p1	XM_006489681.4.p1
OG0000174	NM_125364.3.p1, NM_114492.4.p1, NM_104232.4.p1	XM_006486387.4.p1, XM_006488207.4.p1, XM_006488246.3.p1
OG0000174	NM_104679.4.p1, NM_100614.3.p1, NM_128504.4.p1	XM_006488365.4.p1, XM_006488359.4.p1, XM_006488363.4.p1, XM_006488364.3.p1
OG0000176	NM_116327.5.p1, NM_001340292.1.p1	XM_052436631.1.p1, XM_052436632.1.p1
OG0000176	NM_001084652.2.p1, NM_001202909.1.p1, NM_111640.2.p1	XM_006484458.4.p1
OG0000176	NM_104911.3.p1, NM_001332012.1.p1, NM_101067.6.p1	XM_025094927.2.p1, XM_025094928.2.p1, XM_025094925.2.p1
OG0000177	NM_147836.5.p1, NM_001342796.1.p1	XM_006485459.4.p1
OG0000177	NM_122103.4.p1, NM_001343691.1.p1	XM_006487741.3.p1
OG0000178	NM_116189.4.p1, NM_001340194.1.p1	XM_025099457.2.p1, XM_015530795.3.p1
OG0000178	NM_001202725.1.p1, NM_128761.4.p1, NM_001336366.1.p1, NM_001331550.1.p1, NM_100426.5.p1	XM_015533593.3.p1
OG0000179	NM_128995.3.p1, NM_102731.3.p1, NM_102732.3.p1, NM_102733.3.p1, NR_140385.1.p1	XM_006467446.4.p1, XM_052435164.1.p1
OG0000179	NM_001338904.1.p1, NM_126537.4.p1, NM_126540.4.p1, NM_001335269.1.p1	XM_006469447.3.p1
OG0000180	NM_179920.2.p1, NM_102884.2.p1	XM_006471575.2.p1
OG0000180	NM_128363.3.p1, NM_128360.2.p1, NM_128382.2.p1, NM_001336150.1.p1, NM_128362.1.p1	XM_052439072.1.p1, XM_006484673.2.p1, XM_015526327.1.p1, XM_006476034.4.p1, XM_006494478.4.p1
OG0000180	NM_105157.2.p1, NM_122858.3.p1	XM_006484670.3.p1
OG0000183	NM_179247.6.p1, NM_100166.4.p1, NM_001123745.2.p1, NM_001331360.1.p1, NM_104701.3.p1, NM_001333876.1.p1, NM_001340176.1.p1, NM_001340175.1.p1, NM_001340173.1.p1, NM_001340178.1.p1, NM_001340177.1.p1, NM_001340174.1.p1, NM_001340172.1.p1, NM_116139.3.p1, NM_001340171.1.p1, NM_118921.4.p1, NM_001341884.1.p1, NM_118920.5.p1	XM_006479881.3.p1, XM_052432511.1.p1, XR_008051171.1.p1, XM_052437729.1.p1, XM_006479882.4.p1, XM_006479883.4.p1, XR_003065173.2.p1, XM_006479885.4.p1, XM_006479884.4.p1
OG0000184	NM_179766.4.p1	XM_052435592.1.p1, XM_052435600.1.p1, XM_052435606.1.p1, XM_052435597.1.p1, XM_052435607.1.p1, XM_052435593.1.p1, XM_052435601.1.p1, XM_052435598.1.p1, XM_052435594.1.p1, XM_052435604.1.p1, XM_052435605.1.p1
OG0000184	NM_117546.4.p1, NM_113193.2.p1	XM_006489415.4.p1
OG0000185	NM_101421.3.p1, NM_001332173.1.p1	XM_006465356.4.p1, XM_025098456.2.p1, XM_006465355.4.p1, XM_015530589.3.p1, XM_052444244.1.p1, XM_006465353.4.p1, XM_052444245.1.p1, XM_052438285.1.p1, XM_025095949.2.p1, XM_015530308.3.p1, XM_052435844.1.p1, XM_052431453.1.p1, XM_006465350.3.p1, XM_006465449.4.p1, XM_006465348.4.p1, XM_006465349.4.p1
OG0000186	NM_125336.2.p1, NM_001339268.1.p1, NM_114527.2.p1, NM_001084782.1.p1	XM_006488287.4.p1, XM_006488286.4.p1, XM_006488604.3.p1
OG0000186	NM_129321.2.p1	XM_006480776.4.p1
OG0000187	NM_179526.4.p1, NM_001334326.1.p1, NM_001334325.1.p1	XM_006476852.4.p1, XM_025099318.2.p1, XR_008054311.1.p1, XM_015531959.3.p1
OG0000187	NM_180487.4.p1, NM_203051.3.p1, NM_001337352.1.p1, NM_111031.4.p1	XM_006470144.4.p1
OG0000188	NM_123959.1.p1	XM_006467609.4.p1
OG0000189	NM_127224.6.p1, NM_119665.3.p1, NM_120023.3.p1	XM_006486689.4.p1
OG0000189	NM_179418.2.p1, NM_117014.3.p1	XM_006473107.4.p1, XM_006488812.4.p1, XM_006494989.4.p1
OG0000191	NM_001125413.2.p1, NM_001340130.1.p1, NM_116050.4.p1, NM_180403.2.p1, NM_001036472.2.p1, NM_130224.8.p1	XM_006491248.4.p1
OG0000191	NM_118538.4.p1	XM_006491909.4.p1
OG0000192	NM_001340647.1.p1, NM_001340646.1.p1, NM_001340645.1.p1, NM_179020.5.p1, NM_001084895.1.p1	XM_052436949.1.p1, XM_052437859.1.p1, XM_052436954.1.p1
OG0000192	NM_129844.5.p1, NM_001203201.2.p1, NM_001084842.1.p1, NM_001339937.1.p1, NM_115740.3.p1, NM_001339938.1.p1	XM_052439705.1.p1, XM_052439704.1.p1, XM_052439706.1.p1
OG0000193	NM_129948.2.p1, NM_001340004.1.p1, NM_129949.2.p1	XM_006478498.4.p1, XM_052436280.1.p1, XM_006493091.3.p1, XM_052435970.1.p1, XM_052438204.1.p1, XM_006493077.3.p1
OG0000193	NM_129950.2.p1, NM_001337063.1.p1	XM_052438687.1.p1, XM_025093361.2.p1
OG0000193	NM_100446.2.p1, NM_100445.2.p1, NM_129951.2.p1	XM_006493082.3.p1, XM_006493083.3.p1, XM_006493084.3.p1
OG0000194	NM_104676.5.p1, NM_100918.3.p1, NM_105665.3.p1	XM_006476640.3.p1, XM_006483235.3.p1
OG0000194	NM_201943.2.p1	XM_006492652.4.p1
OG0000194	NM_129811.4.p1, NM_115712.4.p1	XM_006481484.4.p1
OG0000196	NM_119887.3.p1, NM_127932.3.p1	XM_006466631.4.p1
OG0000196	NM_126056.4.p1, NM_114940.3.p1	XM_015530703.3.p1, XM_052432031.1.p1
OG0000196	NM_106310.4.p1, NM_101954.5.p1	XM_006494377.3.p1
OG0000197	NM_001343607.1.p1, NM_121953.3.p1, NM_001343608.1.p1, NM_001036830.3.p1, NM_121261.3.p1	XR_003063965.2.p1, XR_003063970.2.p1, XR_003063966.2.p1, XR_003063968.2.p1
OG0000198	NM_116051.4.p1, NM_001337205.1.p1, NM_201973.6.p1, NM_130226.6.p1	XM_052437379.1.p1, XM_052437371.1.p1, XM_052437381.1.p1, XM_006491261.4.p1
OG0000198	NM_001161301.1.p1, NM_001344976.1.p1, NM_001344974.1.p1, NM_001344975.1.p1, NM_001161302.1.p1, NM_180843.3.p1, NM_001341746.1.p1, NM_001341748.1.p1, NM_001341745.1.p1, NM_001084978.3.p1, NM_001341747.1.p1, NM_118682.4.p1, NM_001203908.1.p1	XM_006490263.4.p1, XM_015534025.3.p1
OG0000201	NM_129230.3.p1, NM_129232.4.p1, NM_129233.2.p1, NM_129231.3.p1, NR_140733.1.p1, NR_140732.1.p1, NR_140734.1.p1, NM_129235.4.p1, NM_115176.3.p1	XM_006492555.4.p1, XM_006492554.4.p1, XM_052432050.1.p1, XM_052431846.1.p1, XM_052432051.1.p1, XM_006491762.4.p1, XM_006465297.4.p1, XM_006492545.4.p1, XM_006492556.4.p1
