Orthogroup	Arabidopsis_thaliana_rna_prot	Solanum_tuberosum_rna_prot
OG0000086	NM_126450.3.p1, NM_126451.5.p1, NM_001335216.1.p1, NM_126448.3.p1, NM_126449.5.p1, NM_001335215.1.p1, NM_126444.2.p1, NM_126443.5.p1, NM_126447.1.p1	XM_006357745.2.p1, XM_015313625.1.p1, XM_006357798.2.p1
OG0000086	NM_105783.3.p1, NM_101385.3.p1, NM_101386.4.p1, NM_101384.2.p1, NM_101383.3.p1, NM_001332152.1.p1, NM_001123821.1.p1, NM_001332153.1.p1	XM_006360366.2.p1, XM_006344138.2.p1, XM_006344137.2.p1
OG0000087	NM_116064.5.p1, NM_001203228.2.p1	XM_015313269.1.p1
OG0000087	NM_001342249.1.p1	XM_006356514.2.p1, XM_015303126.1.p1, XM_006346334.2.p1
OG0000087	NM_118755.4.p1	XM_006343278.2.p1, XM_015306895.1.p1
OG0000087	NM_105468.3.p1, NM_105469.2.p1, NM_001198158.1.p1, NM_001332662.1.p1, NM_102310.5.p1	XM_006363411.2.p1
OG0000088	NM_001336200.1.p1, NM_001336201.1.p1, NM_128469.4.p1, NM_001335961.1.p1, NM_001335962.1.p1, NM_128033.2.p1, NM_122592.4.p1, NM_001342107.1.p1, NM_001342106.1.p1, NM_001343161.1.p1, NM_121156.2.p1, NM_001343167.1.p1, NM_001343165.1.p1, NM_001343163.1.p1, NM_001343171.1.p1, NM_001343169.1.p1, NM_001343170.1.p1, NM_001343164.1.p1, NM_001343172.1.p1, NM_001343168.1.p1	XM_006357042.2.p1
OG0000089	NM_101820.4.p1	XM_006360311.2.p1, XM_006349381.2.p1, XM_006341903.2.p1
OG0000089	NM_111981.5.p1, NM_001342768.1.p1, NM_001036754.2.p1, NM_120519.3.p1, NM_001342769.1.p1, NM_001342771.1.p1, NM_001342770.1.p1, NM_126041.1.p1, NM_001335411.1.p1, NM_001335410.1.p1, NM_001338558.1.p1, NM_113091.6.p1, NM_001344225.1.p1, NM_123161.3.p1	XM_006363791.1.p1, XM_006354610.2.p1, XM_015311910.1.p1, XM_006354613.2.p1
OG0000090	NM_121889.3.p1	XM_006356933.2.p1
OG0000090	NM_180152.3.p1, NM_001337287.1.p1, NM_130369.4.p1	XM_006358379.2.p1
OG0000090	NM_180633.2.p1, NM_001333669.1.p1, NM_001333668.1.p1, NM_001333667.1.p1, NM_001333670.1.p1, NM_001333666.1.p1, NM_001333671.1.p1, NM_001333673.1.p1, NM_001333672.1.p1	XM_006361825.2.p1
OG0000090	NM_179287.2.p1, NM_100764.4.p1	XM_006345246.2.p1
OG0000091	NM_118760.3.p1, NM_125046.3.p1	XM_006342450.2.p1, XM_006355234.2.p1
OG0000091	NM_125551.4.p1	XM_006358160.2.p1
OG0000091	NM_124155.3.p1	XM_006350179.2.p1
OG0000091	NM_179694.4.p1	XM_006353125.2.p1, XM_006346685.2.p1
OG0000092	NM_101492.3.p1, NM_001332218.1.p1, NM_106617.4.p1, NM_105641.2.p1, NM_101654.1.p1, NM_001332211.1.p1, NM_101480.3.p1, NM_106616.5.p1, NM_179577.1.p1, NM_101478.3.p1, NM_101483.2.p1, NM_101479.2.p1	XM_015304276.1.p1, XM_006364999.2.p1
OG0000093	NM_001339982.1.p1, NM_115809.2.p1, NM_001339981.1.p1	XM_015308763.1.p1
OG0000093	NM_111628.4.p1	XM_015305477.1.p1, XM_006367457.2.p1, XM_006367458.2.p1, XM_006367459.2.p1
OG0000095	NM_105425.5.p1	XR_001474050.1.p1, XR_001474049.1.p1, XR_001474052.1.p1, XR_001474051.1.p1, XR_001474048.1.p1, XM_015310933.1.p1, XR_001474053.1.p1, XM_006341678.2.p1
OG0000095	NM_001345589.1.p1, NM_001345587.1.p1, NM_001345586.1.p1, NM_001203676.2.p1, NM_125732.3.p1, NM_001345588.1.p1	XM_006352206.2.p1
OG0000096	NM_111761.3.p1	XM_006367612.2.p1, XM_006367601.2.p1, XM_006367613.2.p1, XM_006367605.2.p1, XM_006367614.1.p1, XM_006367604.2.p1, XM_015305571.1.p1, XM_006367602.2.p1, XM_006360551.2.p1, XM_006346626.1.p1, XM_006367611.2.p1, XM_006367607.2.p1, XM_006367608.2.p1, XM_006367610.2.p1, XM_006367609.2.p1, XM_006367615.2.p1, XM_006367606.2.p1, XM_006338944.2.p1, XM_006366434.2.p1
OG0000097	NM_001333563.1.p1, NM_104160.3.p1, NM_104159.1.p1, NM_102568.2.p1, NM_001340417.1.p1, NM_116541.4.p1	XM_006367687.2.p1, XM_015305635.1.p1, XM_006356123.2.p1, XM_006365920.2.p1, XM_006356116.2.p1
OG0000097	NM_104158.2.p1	XM_006356124.2.p1, XM_006367688.2.p1
OG0000098	NM_001340740.1.p1, NM_001340741.1.p1, NM_001340739.1.p1, NM_001341569.1.p1, NM_001341568.1.p1	XM_015303789.1.p1, XM_015303788.1.p1, XM_006358787.2.p1
OG0000098	NM_001337146.1.p1, NM_130128.4.p1	XM_006339440.2.p1, XM_006341666.2.p1, XM_015306271.1.p1
OG0000098	NM_001345537.1.p1, NM_001345536.1.p1, NM_001345539.1.p1, NM_001345529.1.p1, NM_180916.1.p1, NM_125610.4.p1, NM_001345528.1.p1	XM_015303957.1.p1, XM_015303954.1.p1, XM_006362632.2.p1, XM_006362633.2.p1, XM_006362634.2.p1
OG0000099	NM_128136.3.p1	XM_006340195.2.p1, XR_001472868.1.p1, XM_006342455.2.p1
OG0000099	NM_112214.5.p1	XM_006354107.2.p1
OG0000099	NM_121824.4.p1, NM_001343538.1.p1, NM_111265.4.p1	XM_006351303.2.p1, XM_015310466.1.p1
OG0000100	NM_128806.2.p1, NM_001161259.1.p1, NM_001036846.2.p1, NM_120047.2.p1, NM_127762.3.p1, NM_123789.1.p1, NM_101774.3.p1, NM_124639.1.p1	XM_015305126.1.p1, XM_006354664.1.p1
OG0000101	NM_001125684.1.p1, NM_104519.1.p1	XM_015315166.1.p1
OG0000101	NM_101471.3.p1	XM_006346551.2.p1, XM_006341352.2.p1, XM_006343562.2.p1
OG0000102	NM_114829.4.p1	XM_006356755.2.p1, XM_006363733.2.p1
OG0000102	NM_001336612.1.p1	XM_006340064.2.p1, XM_006347189.2.p1, XM_006343679.2.p1, XM_006354306.2.p1
OG0000102	NM_119940.5.p1	XM_006353518.2.p1, XM_006355245.2.p1
OG0000102	NM_125143.4.p1	XM_006366143.2.p1
OG0000103	NM_113483.5.p1, NM_001338768.1.p1, NM_113482.5.p1, NM_127982.4.p1, NM_117775.4.p1, NM_001341133.1.p1, NM_001341134.1.p1, NM_117774.4.p1	XM_006351666.2.p1, XM_006351667.2.p1, XM_006344413.2.p1, XM_015310630.1.p1, XM_015310631.1.p1, XM_006351668.2.p1, XM_006351782.2.p1, XM_015310632.1.p1, XM_006357044.1.p1, XM_006351663.2.p1
OG0000106	NM_112617.4.p1	XM_015309374.1.p1
OG0000106	NM_001343971.1.p1, NM_122527.4.p1, NM_122533.2.p1, NM_122531.2.p1, NM_001343970.1.p1, NM_001085154.1.p1, NM_001335218.1.p1, NM_001036241.3.p1, NM_001161021.2.p1, NM_001335219.1.p1, NM_001124792.1.p1, NM_126455.3.p1, NM_117046.2.p1, NM_001340636.1.p1, NM_001340633.1.p1, NM_001340634.1.p1, NM_001338477.1.p1, NM_112928.3.p1, NM_112929.3.p1, NM_112927.4.p1, NM_113741.4.p1, NM_113104.3.p1, NM_105634.1.p1, NM_105633.1.p1, NM_001338560.1.p1, NM_127133.1.p1, NM_202363.3.p1, NM_105211.4.p1, NM_001334188.1.p1	XM_015313685.1.p1
OG0000107	NM_001203535.1.p1, NM_001344505.1.p1	XM_006363395.2.p1
OG0000107	NM_179779.3.p1	XM_006347150.2.p1
OG0000107	NM_179453.3.p1	XM_006364332.2.p1, XM_006347309.2.p1
OG0000108	NM_100035.3.p1, NM_105210.2.p1, NM_119822.1.p1, NM_125437.5.p1	XM_006355230.1.p1
OG0000108	NM_179727.5.p1	XM_015313222.1.p1, XM_006340347.1.p1, XM_015312818.1.p1, XM_006354629.1.p1, XM_006357671.1.p1, XM_006357672.1.p1
OG0000109	NM_114533.2.p1, NR_141647.1.p1, NM_114534.3.p1, NR_141648.1.p1, NR_141646.1.p1, NM_123154.3.p1, NM_123160.3.p1, NM_123164.2.p1, NM_114539.3.p1, NM_114536.4.p1, NM_114532.5.p1, NM_114535.1.p1, NR_143870.1.p1, NM_114537.4.p1, NM_125351.3.p1, NM_125350.3.p1	XM_006338950.2.p1, XM_015309299.1.p1, XM_015310384.1.p1, XM_006338913.2.p1, XM_006339215.2.p1, XM_006338914.2.p1, XM_006350740.2.p1
OG0000110	NM_001339360.1.p1, NM_148858.2.p1, NR_141368.1.p1, NM_148857.3.p1, NM_148853.1.p1, NM_001203102.2.p1, NM_148855.3.p1, NM_148854.3.p1, NM_122405.2.p1, NM_001343905.1.p1, NM_122404.1.p1, NM_128630.3.p1, NM_128628.4.p1, NM_001198035.1.p1, NM_101034.3.p1	XM_006351356.2.p1, XM_006351487.2.p1, XM_006367748.2.p1, XM_006367750.2.p1, XM_015307396.1.p1, XM_006367749.2.p1, XM_006344433.2.p1, XM_006344434.2.p1, XM_015307398.1.p1, XM_006344435.2.p1, XM_006351488.2.p1, XM_006344459.2.p1, XM_006351357.2.p1, XM_006344430.2.p1, XM_015307363.1.p1, XM_015307397.1.p1, XM_006344432.2.p1, XM_006344431.2.p1, XM_006344429.2.p1, XM_006351358.2.p1
OG0000111	NM_104504.3.p1, NM_104503.5.p1, NM_100785.3.p1	XM_006344641.2.p1, XM_006344640.2.p1
OG0000111	NM_126284.3.p1, NM_201670.2.p1, NM_126289.2.p1, NM_126293.4.p1, NM_126292.3.p1, NM_001335105.1.p1, NM_126291.2.p1, NM_126290.2.p1, NM_126283.5.p1	XM_006340438.2.p1, XM_006345752.2.p1
OG0000113	NM_100508.2.p1	XM_006348910.1.p1
OG0000113	NM_123957.3.p1	XM_006362358.2.p1
OG0000115	NM_104843.2.p1, NM_001333993.1.p1, NM_118259.4.p1, NM_001341479.1.p1	XM_006352579.2.p1
OG0000115	NM_101008.3.p1, NM_001331978.1.p1, NM_001198033.2.p1, NM_001331976.1.p1, NM_001331975.1.p1, NM_101003.3.p1	XM_015308692.1.p1, XM_015308694.1.p1, XM_015308693.1.p1
OG0000116	NM_106650.3.p1	XM_006356163.2.p1
OG0000116	NM_104130.4.p1	XM_006341341.2.p1
OG0000117	NM_001332735.1.p1, NM_102457.6.p1	XM_006363175.2.p1, XM_006344209.2.p1
OG0000117	NM_106111.4.p1, NM_179553.1.p1	XM_006344331.2.p1, XM_006344329.2.p1
OG0000118	NM_001336162.1.p1, NM_128389.3.p1	XM_006365668.2.p1, XM_006340118.2.p1
OG0000118	NM_115205.2.p1, NM_129277.3.p1, NM_001202767.1.p1	XM_006354267.2.p1, XM_006339008.2.p1
OG0000118	NM_120713.5.p1	XM_006348420.2.p1, XM_006339259.2.p1
OG0000119	NM_124188.4.p1, NM_111662.3.p1, NM_111663.2.p1, NM_111661.3.p1	XM_015310736.1.p1, XM_006366568.1.p1
OG0000119	NM_101576.1.p1, NM_127105.1.p1, NM_128219.2.p1, NM_117450.2.p1, NM_129589.1.p1, NM_103464.1.p1, NM_106487.3.p1, NM_128875.1.p1	XM_015309359.1.p1, XM_015306546.1.p1, XM_015305499.1.p1, XM_015314549.1.p1, XM_015314548.1.p1
OG0000120	NM_116969.3.p1, NM_001198209.1.p1, NM_103213.3.p1, NM_106479.3.p1	NM_001288288.1.p1, NM_001288341.1.p1
OG0000120	NM_001344252.1.p1, NM_123209.4.p1, NM_121610.4.p1, NM_001343435.1.p1, NM_001337415.1.p1	NM_001288333.1.p1, XM_006346860.2.p1
OG0000122	NM_101579.4.p1, NM_101578.3.p1, NM_106481.4.p1, NM_001334824.1.p1, NM_101580.4.p1, NM_001334825.1.p1, NM_106484.4.p1, NM_106482.2.p1, NM_106485.4.p1	XM_006366717.2.p1, XM_006366715.2.p1, XM_006366716.2.p1, XM_006366714.2.p1, XM_006364305.2.p1, XM_006349937.2.p1
OG0000122	NM_104246.2.p1	XM_006359955.1.p1, XM_006359954.2.p1
OG0000125	NM_120507.5.p1, NM_001125696.1.p1	XR_001475001.1.p1, XM_006339989.2.p1, XM_015314291.1.p1, XM_006339986.2.p1
OG0000125	NM_001342699.1.p1, NM_001342700.1.p1, NM_120411.5.p1, NM_202996.2.p1	XM_006354287.2.p1, XM_015311822.1.p1
OG0000126	NM_117722.7.p1, NM_001341090.1.p1	XM_006358149.2.p1, XR_368160.2.p1
OG0000126	NM_115584.5.p1, NM_001339849.1.p1, NM_115587.2.p1	XM_006351227.2.p1, XM_015313730.1.p1, XM_006357955.2.p1
OG0000128	NM_001336635.1.p1, NM_001336637.1.p1, NM_001336628.1.p1, NM_201889.2.p1, NM_001336638.1.p1, NM_001336629.1.p1, NM_001336634.1.p1, NM_001336633.1.p1, NM_001336627.1.p1, NM_001336636.1.p1, NM_001336631.1.p1	XM_015315466.1.p1, XM_015315468.1.p1, XM_006361738.2.p1, XM_006361740.2.p1, XM_006361737.2.p1
OG0000130	NM_117486.4.p1, NM_001340901.1.p1, NM_001203795.1.p1, NM_115789.2.p1, NM_115780.1.p1, NM_001339952.1.p1, NM_115781.3.p1, NM_115785.2.p1, NM_001203203.2.p1, NM_115783.3.p1, NM_115778.3.p1, NM_115779.1.p1, NM_104611.1.p1, NM_001339399.1.p1, NM_115786.1.p1, NM_115787.2.p1, NM_001339953.1.p1, NM_115782.3.p1, NM_118354.4.p1, NM_202861.1.p1	XM_006365978.2.p1
OG0000131	NM_178968.5.p1	XM_006360024.2.p1
OG0000132	NM_148574.4.p1, NM_001338373.1.p1, NM_112782.4.p1, NM_116389.3.p1	XM_015302906.1.p1, XM_015303728.1.p1, XM_006344750.2.p1, XM_015309932.1.p1, XM_006350149.2.p1
OG0000133	NM_001339897.1.p1, NM_001339898.1.p1, NM_115650.5.p1, NM_104035.4.p1	XM_006362177.2.p1, XM_006351276.2.p1, XM_006349838.2.p1, XM_015310460.1.p1
OG0000133	NM_118127.1.p1	XM_006366450.1.p1
OG0000133	NM_102109.4.p1	XM_006350259.2.p1
OG0000133	NM_100296.2.p1	XM_006350221.2.p1
OG0000133	NM_120768.3.p1	XM_006342248.2.p1
OG0000133	NM_124180.3.p1	XM_015304899.1.p1
OG0000134	NM_179787.4.p1, NM_100678.3.p1, NM_001331754.1.p1	XM_015313480.1.p1, XM_015313482.1.p1, XM_006340119.2.p1, XM_006365669.2.p1
OG0000134	NM_001338880.1.p1, NM_001338879.1.p1, NM_001084748.2.p1, NM_001338878.1.p1	XM_006338568.2.p1, XM_006338734.2.p1, XM_015307517.1.p1
OG0000135	NM_115222.3.p1	XM_015305983.1.p1, XM_006341001.2.p1
OG0000135	NM_116378.4.p1, NM_099987.4.p1, NM_001331245.1.p1, NM_130253.3.p1	XM_006360665.2.p1, XM_006352158.2.p1, XM_006343696.2.p1
OG0000136	NM_148145.5.p1, NM_119178.2.p1	XM_006343477.2.p1
OG0000136	NM_119296.2.p1	XM_015312217.1.p1
OG0000136	NM_103893.1.p1, NM_001333418.1.p1	XM_006367032.2.p1
OG0000136	NM_112859.2.p1	XM_006367027.2.p1, XM_006367030.2.p1, XM_006367033.2.p1, XM_006367031.2.p1, XM_006367029.2.p1
OG0000138	NM_100911.6.p1, NM_100910.5.p1	XM_006365078.2.p1, XM_006357222.1.p1, XM_006341248.2.p1, XM_006357176.2.p1, XM_015313349.1.p1
OG0000139	NM_001084672.1.p1, NM_202564.2.p1, NM_202563.3.p1, NM_001337984.1.p1, NM_001337985.1.p1, NM_112061.6.p1, NM_120777.3.p1, NM_001342913.1.p1, NM_203016.2.p1, NM_001342914.1.p1	XM_006351309.2.p1
OG0000139	NM_105536.4.p1	XM_006362489.2.p1
OG0000140	NM_105293.1.p1, NM_105292.3.p1, NM_121232.1.p1, NM_001341507.1.p1, NM_118284.2.p1, NM_118285.3.p1, NM_117120.2.p1, NM_117121.1.p1, NM_103030.2.p1, NM_117122.1.p1, NM_001340673.1.p1, NM_001340672.1.p1, NM_001084901.3.p1, NM_001340675.1.p1, NM_001333025.1.p1, NM_103029.3.p1, NM_001333022.1.p1, NM_001333023.1.p1	XM_006357563.2.p1, XM_015314018.1.p1, XM_006351032.1.p1, XM_015308844.1.p1
OG0000141	NM_202709.2.p1, NM_112097.5.p1, NM_001035605.2.p1	XM_006345745.2.p1
OG0000141	NM_202979.1.p1, NM_120013.6.p1, NM_126006.4.p1, NM_114996.4.p1, NM_202682.2.p1	XM_015304934.1.p1, XM_006343283.2.p1, XM_006367810.2.p1, XM_006360833.2.p1
OG0000142	NM_001334310.1.p1	XM_015307975.1.p1
OG0000143	NM_202078.2.p1, NM_100958.2.p1, NM_001084276.2.p1, NM_104750.3.p1	XM_006360800.2.p1, XM_006345211.2.p1
OG0000144	NM_115627.4.p1	XM_006361323.2.p1, XM_015315260.1.p1
OG0000144	NM_103201.3.p1	XM_006363250.1.p1
OG0000144	NM_101200.2.p1	XM_006362507.2.p1
OG0000144	NM_100702.4.p1	XM_006347179.2.p1
OG0000145	NM_124457.4.p1	XM_006363919.2.p1, XM_006347571.2.p1, XM_015308840.1.p1, XM_006347572.2.p1, XM_015308839.1.p1, XM_006347573.2.p1, XM_006347284.2.p1, XM_006347285.2.p1, XM_006347570.1.p1
OG0000145	NM_121320.3.p1	XM_015314252.1.p1
OG0000146	NM_101553.3.p1, NM_100520.4.p1	XM_006348832.2.p1
OG0000146	NM_117996.6.p1, NM_123942.2.p1	XM_006358048.2.p1
OG0000146	NM_125479.4.p1, NM_112368.4.p1	XM_006348777.2.p1
OG0000146	NM_102623.2.p1, NM_128947.5.p1, NM_117956.3.p1	XM_006343157.2.p1, XM_006360989.2.p1
OG0000147	NM_128672.2.p1	XM_015311051.1.p1, XM_006352676.2.p1
OG0000147	NM_001084733.2.p1	XM_006354419.2.p1
OG0000147	NM_100583.2.p1	XM_006350798.2.p1
OG0000147	NM_111322.3.p1, NM_122732.3.p1	XM_006345827.2.p1, XM_006361356.2.p1
OG0000149	NM_100448.4.p1, NM_001197986.1.p1	XM_006342355.2.p1, XM_015306644.1.p1
OG0000149	NM_102256.3.p1	XM_006355873.2.p1, XM_006355874.2.p1
OG0000149	NM_129944.3.p1, NM_201953.2.p1	XM_006351553.2.p1
OG0000150	NM_101311.6.p1, NM_126310.3.p1	XM_006349211.2.p1
OG0000150	NM_118599.2.p1, NM_125939.3.p1	XM_006341890.2.p1, XM_006363931.2.p1, XM_006346684.2.p1, XM_006338032.2.p1
OG0000151	NM_202441.3.p1, NM_001084370.2.p1	NM_001288510.1.p1, NM_001288087.1.p1
OG0000151	NM_001342244.1.p1, NM_119556.3.p1	XM_006346374.2.p1
OG0000151	NM_001345807.1.p1, NM_001203118.1.p1, NM_114910.3.p1	XM_006338162.2.p1
OG0000151	NM_120165.2.p1	XM_006359145.2.p1
OG0000152	NM_001126001.2.p1, NM_125545.4.p1	XM_006358171.2.p1
OG0000152	NM_118268.4.p1, NM_100998.4.p1	XM_006347081.2.p1, XM_006343205.2.p1
OG0000152	NM_122233.4.p1, NM_112884.1.p1, NM_103915.2.p1	XM_006348486.1.p1
OG0000153	NM_180791.3.p1, NM_203146.4.p1, NM_123693.6.p1	XM_015310816.1.p1, XM_006341801.2.p1, XM_006341800.2.p1
OG0000156	NM_203086.3.p1, NM_122013.4.p1, NM_001036832.1.p1	XM_015305099.1.p1
OG0000156	NM_104148.5.p1, NM_001338180.1.p1, NM_001202974.1.p1, NM_112435.3.p1, NM_103674.1.p1, NM_179468.2.p1	XM_006356132.2.p1, XM_006346530.2.p1
OG0000157	NM_102057.4.p1, NM_106441.4.p1	XM_015314762.1.p1, XM_006353988.2.p1, XM_006353987.2.p1
OG0000157	NM_180942.3.p1, NM_001037070.1.p1, NM_125919.3.p1, NM_121041.5.p1, NM_001343085.1.p1, NM_001343086.1.p1, NM_001343084.1.p1	XM_006354634.2.p1, XR_001473384.1.p1, XM_015308426.1.p1, NM_001288403.1.p1
OG0000158	NM_001339687.1.p1, NM_129452.4.p1	XM_006358390.1.p1, XM_015310581.1.p1, XM_006351592.2.p1
OG0000158	NM_128843.4.p1	XM_006354427.2.p1, XM_006354428.2.p1
OG0000158	NM_123701.4.p1, NM_123703.3.p1, NM_123702.1.p1	XM_006356000.2.p1, XM_006356001.2.p1
OG0000160	NM_118611.3.p1	XM_006347357.2.p1, XM_006351381.2.p1
OG0000160	NM_105443.5.p1	XM_006341721.2.p1
OG0000160	NM_001338872.1.p1	XM_006338575.2.p1
OG0000160	NM_001203786.1.p1, NM_113378.2.p1, NM_124267.3.p1, NM_001337685.1.p1, NM_111581.3.p1	XM_006352644.2.p1, XM_006350239.2.p1
OG0000160	NM_001203791.1.p1, NM_117445.3.p1, NM_113328.3.p1, NM_100348.4.p1	XM_006360266.2.p1
OG0000162	NM_001341952.1.p1, NM_119032.5.p1, NM_119030.4.p1, NM_001084996.2.p1	XR_367713.2.p1, XR_367714.2.p1, XR_001474147.1.p1
OG0000163	NM_124138.2.p1	XM_006346076.2.p1, XM_015308166.1.p1
OG0000163	NM_117534.3.p1	XM_015310711.1.p1
OG0000163	NM_179946.4.p1, NM_201888.3.p1, NM_001339611.1.p1, NM_115194.3.p1, NM_001339608.1.p1, NM_001339609.1.p1	XM_006361709.2.p1, XM_006361707.2.p1, NM_001288023.1.p1, XM_015303516.1.p1, XR_001471814.1.p1, XM_006340391.2.p1, XR_001475017.1.p1, XM_015314376.1.p1
OG0000164	NM_121024.3.p1, NM_125870.3.p1, NM_127746.2.p1, NM_120095.4.p1	XM_006350939.2.p1, XM_006364078.2.p1, XM_006367741.2.p1
OG0000164	NM_121748.4.p1	XM_006343558.2.p1
OG0000164	NM_001336002.1.p1, NM_119393.3.p1	XM_006361662.2.p1
OG0000164	NM_120599.4.p1	NM_001288363.1.p1
OG0000165	NM_104490.5.p1, NM_001333763.1.p1, NM_001333764.1.p1, NM_104491.2.p1, NM_104492.4.p1, NM_104493.4.p1, NM_001198318.1.p1	XM_015308132.1.p1, XM_015308131.1.p1
OG0000166	NM_001336689.1.p1, NM_129368.3.p1, NM_120202.5.p1	XM_006349403.2.p1, XM_006366296.2.p1
OG0000166	NM_127675.3.p1	XM_006359609.2.p1, XM_006366552.2.p1
OG0000166	NM_106418.4.p1	XM_006366873.2.p1
OG0000167	NM_113182.2.p1	XM_006350591.2.p1, XM_006363420.2.p1
OG0000167	NM_115050.2.p1	XM_015309702.1.p1, XM_006349660.2.p1, XR_001473719.1.p1
OG0000168	NM_127238.3.p1, NM_119676.4.p1, NM_001203991.1.p1	XM_006359644.2.p1, XM_006360836.2.p1
OG0000168	NM_001336641.1.p1, NM_129274.4.p1, NM_115202.3.p1, NM_125459.4.p1	XM_006339009.2.p1, XM_015305194.1.p1, XM_006366946.2.p1, XM_006366945.2.p1
OG0000169	NM_001332071.1.p1, NM_101227.3.p1	XM_006355161.2.p1, XM_015303654.1.p1, XM_015311357.1.p1, XM_015304417.1.p1, XM_006365327.2.p1, XM_015311365.1.p1, XM_015306999.1.p1, XM_015307000.1.p1, XM_015303656.1.p1, XM_015303655.1.p1, XM_006348552.2.p1, XM_006352367.2.p1, XM_006352360.2.p1, XM_006348716.1.p1, XM_006348717.1.p1, XM_006341676.2.p1, XM_015309266.1.p1, XM_006344276.1.p1, XM_006344277.1.p1, XM_015304881.1.p1, XM_015304882.1.p1, XM_015304883.1.p1, XM_015304885.1.p1, XM_015304884.1.p1, XM_015304880.1.p1, XM_006366387.1.p1, XM_006366388.1.p1, XM_006344232.2.p1
OG0000170	NM_001343292.1.p1, NM_180705.3.p1, NM_121377.5.p1	XM_006347623.2.p1, XM_006347625.2.p1, XM_006347624.2.p1
OG0000172	NM_102088.3.p1, NM_102089.5.p1, NM_001036001.1.p1, NM_102086.3.p1, NM_202156.2.p1, NM_102085.3.p1	XM_006363208.2.p1, XM_006363207.2.p1, XM_015303374.1.p1, XM_015314763.1.p1, XM_006360206.2.p1
OG0000173	NM_113225.3.p1	XM_006354438.2.p1, XM_006356050.2.p1, XM_006341628.2.p1
OG0000174	NM_125364.3.p1, NM_114492.4.p1, NM_104232.4.p1	XM_006345187.2.p1, XM_006345188.2.p1, XM_006360758.2.p1, XM_006360760.2.p1, XM_006360759.2.p1, XM_015315003.1.p1, XM_006360757.2.p1
OG0000174	NM_104679.4.p1, NM_100614.3.p1, NM_128504.4.p1	XM_006350739.2.p1, XM_006350742.2.p1, XM_006350738.2.p1, XM_006350741.2.p1
OG0000176	NM_116327.5.p1, NM_001340292.1.p1	XM_015310134.1.p1
OG0000176	NM_001084652.2.p1, NM_001202909.1.p1, NM_111640.2.p1	XM_006360310.1.p1, XM_006339967.2.p1
OG0000176	NM_104911.3.p1, NM_001332012.1.p1, NM_101067.6.p1	XM_006348148.2.p1
OG0000177	NM_147836.5.p1, NM_001342796.1.p1	XM_006347657.2.p1
OG0000177	NM_122103.4.p1, NM_001343691.1.p1	XM_015302878.1.p1, XM_015315133.1.p1, XM_015315139.1.p1, XM_006367519.2.p1, XM_006361064.2.p1
OG0000178	NM_116189.4.p1, NM_001340194.1.p1	XM_006349641.2.p1
OG0000178	NM_001202725.1.p1, NM_128761.4.p1, NM_001336366.1.p1, NM_001331550.1.p1, NM_100426.5.p1	XM_006360702.2.p1, XM_015310164.1.p1
OG0000179	NM_001338904.1.p1, NM_126537.4.p1, NM_126540.4.p1, NM_001335269.1.p1	XM_006362953.2.p1, XM_006351951.2.p1
OG0000180	NM_179920.2.p1, NM_102884.2.p1	XM_006361536.2.p1, XM_006361533.2.p1, XM_015303657.1.p1
OG0000183	NM_179247.6.p1, NM_100166.4.p1, NM_001123745.2.p1, NM_001331360.1.p1, NM_104701.3.p1, NM_001333876.1.p1, NM_001340176.1.p1, NM_001340175.1.p1, NM_001340173.1.p1, NM_001340178.1.p1, NM_001340177.1.p1, NM_001340174.1.p1, NM_001340172.1.p1, NM_116139.3.p1, NM_001340171.1.p1, NM_118921.4.p1, NM_001341884.1.p1, NM_118920.5.p1	XM_006359317.2.p1, XM_006359316.2.p1, XM_006359378.2.p1
OG0000184	NM_179766.4.p1	XM_006340303.2.p1
OG0000184	NM_001339107.1.p1	NM_001288430.1.p1, XM_006364690.2.p1
OG0000184	NM_117546.4.p1, NM_113193.2.p1	XM_006350592.2.p1
OG0000185	NM_101421.3.p1, NM_001332173.1.p1	XM_006349872.2.p1, XM_006365744.2.p1, XM_006360286.2.p1, NM_001287891.1.p1, XM_006360285.2.p1
OG0000186	NM_125336.2.p1, NM_001339268.1.p1, NM_114527.2.p1, NM_001084782.1.p1	XM_006350824.2.p1, XM_015310215.1.p1, XM_006344661.2.p1
OG0000186	NM_129321.2.p1	XM_015309595.1.p1, XR_366814.2.p1, XM_006340955.2.p1
OG0000187	NM_179526.4.p1, NM_001334326.1.p1, NM_001334325.1.p1	XM_006351360.2.p1, XM_006351359.2.p1
OG0000187	NM_180487.4.p1, NM_203051.3.p1, NM_001337352.1.p1, NM_111031.4.p1	XM_015307533.1.p1, XM_006338572.2.p1, XM_015307536.1.p1
OG0000188	NM_123959.1.p1	XM_006367715.2.p1
OG0000188	NM_202202.2.p1, NM_102626.4.p1, NM_202201.1.p1, NM_102625.4.p1, NM_102627.3.p1, NM_102894.4.p1, NM_102628.4.p1, NM_202203.2.p1, NM_102629.2.p1, NM_128295.5.p1, NM_102634.3.p1, NM_102633.3.p1, NM_102631.3.p1, NM_102632.3.p1	XM_006367714.2.p1, XM_015315087.1.p1, XM_006362385.2.p1
OG0000189	NM_127224.6.p1, NM_119665.3.p1, NM_120023.3.p1	XM_006359629.2.p1, XM_006366918.2.p1
