Orthogroup	Arabidopsis_thaliana_rna_prot	Musa_acuminata_rna_prot
OG0000076	NM_103640.3.p1, NM_101777.2.p1, NM_126405.2.p1, NM_114728.5.p1, NM_114729.3.p1, NM_103852.3.p1, NM_103854.3.p1, NM_103853.5.p1	XM_009403003.3.p1, XM_065109826.1.p1, XM_065193902.1.p1, XM_009405095.3.p1, XM_009403002.3.p1, XM_009393073.3.p1
OG0000080	NM_112240.4.p1	XM_065118555.1.p1, XM_009412509.3.p1
OG0000080	NM_179872.3.p1, NM_113304.5.p1	XM_065128267.1.p1, XR_010493219.1.p1
OG0000080	NM_102387.3.p1	XM_065083324.1.p1
OG0000080	NM_001333710.1.p1, NM_001333712.1.p1, NM_112193.4.p1, NM_001037006.4.p1	XM_065142064.1.p1, XM_009420315.3.p1, XM_018820638.2.p1
OG0000080	NM_128359.5.p1	XM_009388073.3.p1, XM_009386298.3.p1
OG0000080	NM_001343571.1.p1	XM_065171564.1.p1, XM_065087627.1.p1
OG0000081	NM_118207.3.p1, NM_123801.2.p1	XM_009382592.3.p1, XM_009386766.3.p1, XM_065137692.1.p1, XM_065152304.1.p1, XM_009413770.3.p1
OG0000081	NM_121263.4.p1	XM_065184214.1.p1
OG0000081	NM_128508.3.p1, NM_125665.4.p1, NM_125664.4.p1	XM_009397150.3.p1, XM_009397891.3.p1, XM_009400536.3.p1
OG0000082	NM_001337251.1.p1, NM_001337250.1.p1, NM_130285.3.p1	XM_009385487.3.p1, XM_065086691.1.p1, XM_065131866.1.p1, XM_065140672.1.p1, XM_065112049.1.p1, XM_009411769.2.p1, XM_009385488.3.p1
OG0000082	NM_001343355.1.p1	XM_009383084.3.p1, XM_009383085.3.p1, XM_065148443.1.p1, XM_065148445.1.p1, XM_065163579.1.p1, XR_010497608.1.p1, XM_065102706.1.p1
OG0000082	NM_001331919.1.p1, NM_100939.4.p1, NM_001334452.1.p1, NM_001334454.1.p1, NM_180644.3.p1, NM_202391.2.p1, NM_102198.5.p1, NM_001334455.1.p1	XM_065125849.1.p1, XM_065098731.1.p1, XM_065121287.1.p1, XM_065140883.1.p1, XM_065140882.1.p1, XM_065140880.1.p1, XR_010485098.1.p1, XM_018826332.2.p1, XM_018826333.2.p1
OG0000083	NM_115986.4.p1, NM_001203222.1.p1, NM_001340081.1.p1, NM_127980.4.p1, NM_100063.4.p1	XM_065108532.1.p1, XM_065152631.1.p1, XM_065108533.1.p1
OG0000086	NM_105156.1.p1, NM_105349.3.p1, NM_126450.3.p1, NM_126451.5.p1, NM_001335216.1.p1, NM_126448.3.p1, NM_126449.5.p1, NM_001335215.1.p1, NM_126444.2.p1, NM_126443.5.p1, NM_126447.1.p1, NM_105783.3.p1, NM_101385.3.p1, NM_101386.4.p1, NM_101384.2.p1, NM_101383.3.p1, NM_001332152.1.p1, NM_001123821.1.p1, NM_001332153.1.p1	XM_065102829.1.p1, XM_065141250.1.p1
OG0000087	NM_116064.5.p1, NM_001203228.2.p1	XM_065096758.1.p1, XM_009390168.3.p1, XM_065096756.1.p1
OG0000087	NM_001342249.1.p1	XM_065079662.1.p1, XM_065079661.1.p1, XM_065163517.1.p1, XM_009408933.3.p1
OG0000088	NM_001336200.1.p1, NM_001336201.1.p1, NM_128469.4.p1, NM_001335961.1.p1, NM_001335962.1.p1, NM_128033.2.p1, NM_122592.4.p1, NM_001342107.1.p1, NM_001342106.1.p1, NM_001343161.1.p1, NM_121156.2.p1, NM_001343167.1.p1, NM_001343165.1.p1, NM_001343163.1.p1, NM_001343171.1.p1, NM_001343169.1.p1, NM_001343170.1.p1, NM_001343164.1.p1, NM_001343172.1.p1, NM_001343168.1.p1	XM_065098328.1.p1, XM_065167793.1.p1, XM_065141605.1.p1, XM_065141604.1.p1, XM_009396624.3.p1, XM_009407946.3.p1, XM_009407947.3.p1, XM_018827952.2.p1, XM_018828798.2.p1, XM_065193662.1.p1, XM_009404777.3.p1, XM_065166803.1.p1, XM_009404779.3.p1
OG0000089	NM_101820.4.p1	XM_009385490.3.p1, XM_065141531.1.p1
OG0000090	NM_121889.3.p1, NM_001337564.1.p1, NM_111387.5.p1, NM_180152.3.p1, NM_001337287.1.p1, NM_130369.4.p1	XM_009421579.3.p1, XM_065178706.1.p1, XM_009415930.3.p1
OG0000090	NM_180633.2.p1, NM_001333669.1.p1, NM_001333668.1.p1, NM_001333667.1.p1, NM_001333670.1.p1, NM_001333666.1.p1, NM_001333671.1.p1, NM_001333673.1.p1, NM_001333672.1.p1, NM_179287.2.p1, NM_100764.4.p1	XM_009419636.3.p1, XM_065083172.1.p1
OG0000091	NM_118760.3.p1, NM_125046.3.p1, NM_119437.3.p1, NM_119066.3.p1	XM_009411091.3.p1, XM_009390310.3.p1, XM_065096654.1.p1, XM_065149911.1.p1, XM_065149912.1.p1, XM_065154857.1.p1, XM_009388953.2.p1, XM_009397457.3.p1
OG0000091	NM_124155.3.p1	XM_065083338.1.p1, XM_009403214.3.p1
OG0000092	NM_101477.2.p1	XM_065181156.1.p1
OG0000093	NM_001339982.1.p1, NM_115809.2.p1, NM_001339981.1.p1, NM_111628.4.p1, NM_001337023.1.p1, NM_129890.4.p1, NM_117354.3.p1	XR_010484494.1.p1, XM_065139518.1.p1, XM_009391017.3.p1, XR_010484097.1.p1, XM_065108789.1.p1, XM_065108790.1.p1, XM_065108792.1.p1, XM_065108791.1.p1
OG0000095	NM_105425.5.p1, NM_001345589.1.p1, NM_001345587.1.p1, NM_001345586.1.p1, NM_001203676.2.p1, NM_125732.3.p1, NM_001345588.1.p1	XM_065109882.1.p1, XR_671800.3.p1, XM_009385546.3.p1, XR_670700.3.p1, XM_009385547.3.p1, XR_010481226.1.p1, XR_010481224.1.p1, XM_065090153.1.p1, XM_065119443.1.p1, XM_065119448.1.p1, XM_065119457.1.p1, XM_065194465.1.p1, XM_065119449.1.p1, XM_065119451.1.p1, XM_065119446.1.p1, XM_065119441.1.p1, XM_065119444.1.p1, XM_065119440.1.p1, XM_065119439.1.p1, XM_065120339.1.p1, XM_065120341.1.p1, XM_065120344.1.p1, XM_065078474.1.p1, XM_065078470.1.p1, XM_065078468.1.p1, XM_065078466.1.p1, XM_065120342.1.p1, XM_065120336.1.p1, XM_065120331.1.p1
OG0000096	NM_111761.3.p1, NM_128496.2.p1	XM_009401655.3.p1
OG0000097	NM_001333563.1.p1, NM_104160.3.p1, NM_104159.1.p1, NM_102568.2.p1, NM_001340417.1.p1, NM_116541.4.p1, NM_001332174.1.p1, NM_001332176.1.p1, NM_106681.1.p1, NM_104158.2.p1, NM_104157.1.p1	XM_065108394.1.p1, XM_065180727.1.p1, XM_009383872.3.p1, XM_065150325.1.p1, XM_009402239.3.p1, XM_018826077.2.p1, XM_009402241.3.p3
OG0000098	NM_001340740.1.p1, NM_001340741.1.p1, NM_001340739.1.p1, NM_001341569.1.p1, NM_001341568.1.p1, NM_001337146.1.p1, NM_130128.4.p1, NM_001345537.1.p1, NM_001345536.1.p1, NM_001345539.1.p1, NM_001345529.1.p1, NM_180916.1.p1, NM_125610.4.p1, NM_001345528.1.p1	XM_065137159.1.p1, XM_009417126.3.p1, XM_009386000.3.p1, XM_065095428.1.p1, XM_018822561.2.p1, XM_065095431.1.p1, XM_009413144.2.p1, XM_009383961.3.p1, XM_009383960.3.p1, XM_065151134.1.p1, XM_065109498.1.p1, XM_009402204.3.p1, XM_009391579.3.p1
OG0000099	NM_128136.3.p1	XM_009407893.3.p1, XM_065082114.1.p1, XM_009396780.3.p1, XM_065099020.1.p1
OG0000099	NM_112214.5.p1	XM_009384703.3.p1, XR_010475970.1.p1, XM_065186997.1.p1, XM_009405882.3.p1
OG0000099	NM_121824.4.p1, NM_001343538.1.p1, NM_111265.4.p1	XM_018817987.2.p1, XM_009420676.3.p1, XM_009420675.3.p1, XM_018817986.2.p1, XM_065084087.1.p1, XM_065121711.1.p1, XM_065164421.1.p1
OG0000101	NM_101471.3.p1	XM_009401291.3.p1
OG0000102	NM_114829.4.p1	XM_009399468.3.p1, XM_065181144.1.p1, XM_065181182.1.p1, XM_009400806.3.p1, XM_065084633.1.p1, XM_065123575.1.p1, XM_065154603.1.p1, XM_065085464.1.p1
OG0000102	NM_001336612.1.p1	XM_009414867.3.p1, XM_009400652.3.p1, XM_065145744.1.p1, XM_009402150.3.p1, XM_009388320.3.p1, XM_065108859.1.p1, XM_065088625.1.p1
OG0000102	NM_119940.5.p1	XM_065163038.1.p1, XM_065108362.1.p1, XM_009389173.3.p1, XM_065194041.1.p1, XM_009396774.3.p1
OG0000102	NM_125143.4.p1	XM_009419198.3.p1, XM_009411966.3.p1, XM_009404776.3.p1, XM_009403187.3.p1, XM_009408389.3.p1
OG0000103	NM_113483.5.p1, NM_001338768.1.p1, NM_113482.5.p1, NM_127982.4.p1, NM_117775.4.p1, NM_001341133.1.p1, NM_001341134.1.p1, NM_117774.4.p1	XM_009412713.2.p1, XM_009412714.3.p1, XM_065193434.1.p1, XM_065193769.1.p1, XM_065193433.1.p1
OG0000106	NM_112617.4.p1, NM_116369.3.p1, NM_116304.4.p1, NM_001343971.1.p1, NM_122527.4.p1, NM_122533.2.p1, NM_122531.2.p1, NM_001343970.1.p1, NM_001085154.1.p1, NM_001335218.1.p1, NM_001036241.3.p1, NM_001161021.2.p1, NM_001335219.1.p1, NM_001124792.1.p1, NM_126455.3.p1, NM_117046.2.p1, NM_001340636.1.p1, NM_001340633.1.p1, NM_001340634.1.p1, NM_001338477.1.p1, NM_112928.3.p1, NM_112929.3.p1, NM_112927.4.p1, NM_113741.4.p1, NM_113104.3.p1, NM_105634.1.p1, NM_105633.1.p1, NM_001338560.1.p1, NM_127133.1.p1, NM_202363.3.p1, NM_105211.4.p1, NM_001334188.1.p1	XM_065194237.1.p1, XM_065163845.1.p1, XM_065163846.1.p1
OG0000107	NM_001203535.1.p1, NM_001344505.1.p1	XM_065180106.1.p1, XM_065154177.1.p1, XM_065154178.1.p1, XM_065154179.1.p1, XM_065186390.1.p1, XM_065111738.1.p1, XM_065111736.1.p1, XM_065111737.1.p1, XM_009405196.3.p1, XM_018826801.2.p1, XM_065191851.1.p1, XM_065191850.1.p1
OG0000107	NM_179779.3.p1	XM_065186293.1.p1
OG0000107	NM_179453.3.p1	XM_065173335.1.p1, XM_009393938.3.p1, XM_065086896.1.p1, XM_009395924.3.p1, XM_065087148.1.p1, XM_065159517.1.p1, XM_009388154.2.p1, XM_065144065.1.p1, XM_065144064.1.p1
OG0000108	NM_128996.3.p1, NM_001336515.1.p1, NM_111544.1.p1, NM_102613.2.p1, NM_001084156.1.p1, NM_100035.3.p1, NM_105210.2.p1, NM_119822.1.p1, NM_125437.5.p1, NM_179727.5.p1	XM_065162980.1.p1, XM_009414027.3.p1, XM_009394732.3.p1, XM_065165126.1.p1, XM_009414630.3.p1, XM_009404523.3.p1, XM_009401018.2.p1
OG0000110	NM_001339360.1.p1, NM_148858.2.p1, NR_141368.1.p1, NM_148857.3.p1, NM_148853.1.p1, NM_001203102.2.p1, NM_148855.3.p1, NM_148854.3.p1, NM_122405.2.p1, NM_001343905.1.p1, NM_122404.1.p1, NM_128630.3.p1, NM_128628.4.p1, NM_001198035.1.p1, NM_101034.3.p1	XM_009385357.3.p1, XM_065093072.1.p1
OG0000111	NM_104504.3.p1, NM_104503.5.p1, NM_100785.3.p1	XM_009417780.3.p1, XM_065167336.1.p1, XM_065082662.1.p1, XM_065176682.1.p1, XM_009402210.3.p1
OG0000111	NM_126284.3.p1, NM_201670.2.p1, NM_126289.2.p1, NM_126293.4.p1, NM_126292.3.p1, NM_001335105.1.p1, NM_126291.2.p1, NM_126290.2.p1, NM_126283.5.p1, NM_106660.7.p1	XM_018826850.2.p1, XM_065147027.1.p1, XM_009393001.3.p1, XM_009421612.3.p1, XM_065147910.1.p1, XM_065180634.1.p1, XM_065092990.1.p1, XM_065115150.1.p1, XM_065115151.1.p1
OG0000112	NM_100232.5.p1, NM_100275.3.p1, NM_113885.2.p1, NM_113891.2.p1, NM_113890.3.p1, NM_113894.1.p1, NM_125509.3.p1, NM_113889.3.p1, NM_113880.2.p1, NM_123271.3.p1, NM_123267.6.p1, NM_123270.3.p1	XM_065148104.1.p1, XM_009389657.3.p1, XM_065102228.1.p1, XM_009399757.3.p1, XM_065101787.1.p1, XM_065134242.1.p1
OG0000113	NM_100508.2.p1	XM_065149830.1.p1, XM_065099639.1.p1, XM_065141108.1.p1
OG0000113	NM_114794.2.p1, NM_128302.3.p1, NM_123957.3.p1	XM_065102389.1.p1
OG0000115	NM_104843.2.p1, NM_001333993.1.p1, NM_118259.4.p1, NM_001341479.1.p1	XM_018820605.2.p1, XM_065091275.1.p1, XM_065109986.1.p1, XM_018830965.2.p1, XM_065146544.1.p1
OG0000116	NM_106650.3.p1, NM_104130.4.p1	XM_065089741.1.p1, XM_009391818.3.p1, XM_009391821.3.p1, XM_065127065.1.p1, XM_065126817.1.p1, XM_065170159.1.p1, XM_065139767.1.p1, XM_065088039.1.p1, XM_065139766.1.p1, XM_065139770.1.p1
OG0000117	NM_101299.4.p1, NM_126342.4.p1, NM_001035882.1.p1, NM_001035883.2.p1, NM_001332735.1.p1, NM_102457.6.p1, NM_106111.4.p1, NM_179553.1.p1	XM_065171082.1.p1, XM_009414403.3.p1, XM_065164403.1.p1, XM_065113161.1.p1, XR_010493315.1.p1, XR_010493317.1.p1, XR_010513377.1.p1, XR_010513378.1.p1, XR_010493316.1.p1, XR_010481706.1.p1, XR_010481705.1.p1, XM_018822248.2.p1, XR_010484603.1.p1, XM_065096506.1.p1, XM_065096505.1.p1, XM_065096502.1.p1, XM_065096501.1.p1, XM_065177945.1.p1, XM_065145697.1.p1, XM_065102508.1.p1, XM_018828426.2.p1, XR_010515206.1.p1, XR_010515209.1.p1, XR_010515207.1.p1, XR_010515208.1.p1, XR_010515205.1.p1, XR_010515204.1.p1, XR_010515203.1.p1, XM_065159666.1.p1, XM_065159665.1.p1, XM_065159669.1.p1, XM_065159661.1.p1, XM_065159663.1.p1, XM_009412110.3.p1, XM_009412107.3.p1, XM_009397648.3.p1, XM_018825134.2.p1
OG0000118	NM_001336162.1.p1, NM_128389.3.p1	XM_065189669.1.p1, XM_009393884.3.p1
OG0000118	NM_119685.3.p1	XM_065101742.1.p1, XM_009389150.3.p1, XM_065159345.1.p1, XM_065088292.1.p1, XM_009385253.3.p1, XR_010488772.1.p1
OG0000118	NM_120713.5.p1	XM_009391205.3.p1, XM_065138380.1.p1, XM_065163967.1.p1
OG0000119	NM_112258.4.p1, NM_111664.3.p1, NM_124188.4.p1, NM_111662.3.p1, NM_111663.2.p1, NM_111661.3.p1	XM_065093363.1.p1
OG0000120	NM_116969.3.p1, NM_001198209.1.p1, NM_103213.3.p1, NM_106479.3.p1	XM_009411864.3.p1, XM_009383223.3.p1, XM_009382598.3.p1, XM_065112193.1.p1, XM_065087422.1.p1
OG0000120	NM_001344252.1.p1, NM_123209.4.p1, NM_121610.4.p1, NM_001343435.1.p1, NM_001337415.1.p1	XM_009399208.3.p1, XM_065153547.1.p1, XM_065111730.1.p1, XM_065153546.1.p1, XM_065084295.1.p1, XM_065127102.1.p1, XM_009421001.3.p1, XM_065139782.1.p1, XM_065139783.1.p1, XM_065139784.1.p1, XM_065191543.1.p1, XM_065088275.1.p1, XM_009389954.3.p1, XM_065111419.1.p1, XM_065184328.1.p1, XM_065150151.1.p1, XM_009389171.3.p1, XM_065079424.1.p1, XM_065121347.1.p1
OG0000120	NM_180943.2.p1, NM_001203692.1.p1, NM_001203346.1.p1, NM_001203347.1.p1, NM_121083.4.p1	XM_009393064.3.p1
OG0000122	NM_101579.4.p1, NM_101578.3.p1, NM_106481.4.p1, NM_001334824.1.p1, NM_101580.4.p1, NM_001334825.1.p1, NM_106484.4.p1, NM_106482.2.p1, NM_106485.4.p1, NM_104246.2.p1	XM_065086319.1.p1, XM_065128290.1.p1, XM_009422418.3.p1, XM_065126884.1.p1, XM_065084114.1.p1, XM_009420721.3.p1, XM_065126877.1.p1, XM_065126876.1.p1, XM_065167997.1.p1, XM_065126880.1.p1, XM_065126881.1.p1, XM_065167998.1.p1, XM_009420723.3.p1
OG0000125	NM_120507.5.p1, NM_001125696.1.p1	XM_065120841.1.p1
OG0000125	NM_001342699.1.p1, NM_001342700.1.p1, NM_120411.5.p1, NM_202996.2.p1	XM_018831336.2.p1, XM_009417397.3.p1, XM_018821401.2.p1, XM_009387956.3.p1, XM_065140764.1.p1, XM_009387953.3.p1, XM_065095411.1.p1, XM_065095410.1.p1
OG0000126	NM_117722.7.p1, NM_001341090.1.p1, NM_115584.5.p1, NM_001339849.1.p1, NM_115587.2.p1	XM_065097462.1.p1, XM_065161460.1.p1, XM_065079944.1.p1, XM_065079945.1.p1, XM_009421525.3.p1
OG0000128	NM_001336635.1.p1, NM_001336637.1.p1, NM_001336628.1.p1, NM_201889.2.p1, NM_001336638.1.p1, NM_001336629.1.p1, NM_001336634.1.p1, NM_001336633.1.p1, NM_001336627.1.p1, NM_001336636.1.p1, NM_001336631.1.p1	XM_065132611.1.p1, XM_065132608.1.p1, XM_065132610.1.p1, XM_065091051.1.p1, XM_065173784.1.p1, XM_009386525.3.p1, XM_065108291.1.p1, XM_065108293.1.p1, XM_065177908.1.p1, XM_065177912.1.p1, XM_065177911.1.p1, XM_065177910.1.p1, XM_065177906.1.p1, XM_065108294.1.p1, XM_065108290.1.p1, XM_065108289.1.p1, XM_065085880.1.p1
OG0000129	NM_112524.4.p1, NM_180266.3.p1, NM_112523.1.p1	XM_065193338.1.p1, XM_065163679.1.p1, XM_065146661.1.p1, XM_065092197.1.p1, XM_065092195.1.p1, XM_065091530.1.p1, XM_065136034.1.p1
OG0000131	NM_178968.5.p1	XM_065174173.1.p1
OG0000131	NM_122069.4.p1, NM_001084884.5.p1	XM_009421365.3.p1
OG0000131	NM_104380.1.p1	XM_065150438.1.p1
OG0000131	NM_178960.2.p1, NM_001036508.2.p1, NM_116744.4.p1	XM_065090109.1.p1
OG0000133	NM_001339897.1.p1, NM_001339898.1.p1, NM_115650.5.p1, NM_104035.4.p1	XM_009397589.3.p1, XM_065105029.1.p1, XM_065125374.1.p1
OG0000133	NM_102109.4.p1	XM_065095070.1.p1, XM_065136290.1.p1
OG0000133	NM_100296.2.p1	XM_065121262.1.p1
OG0000133	NM_120768.3.p1	XM_009401380.3.p1
OG0000133	NM_124180.3.p1	XM_009420895.3.p1, XM_009420896.3.p1, XM_065126996.1.p1, XM_065168157.1.p1, XM_065122902.1.p1
OG0000134	NM_001334328.1.p1, NM_001334330.1.p1, NM_105453.3.p1, NM_202373.4.p1, NM_001334329.1.p1, NM_001338880.1.p1, NM_001338879.1.p1, NM_001084748.2.p1, NM_001338878.1.p1, NM_101171.4.p1, NM_001035957.3.p1, NM_001332057.1.p1, NM_001332056.1.p1	XM_009421109.3.p1, XM_009384642.3.p1, XM_065109899.1.p1
OG0000135	NM_115222.3.p1	XM_065154946.1.p1, XM_065154945.1.p1, XM_009406338.3.p1, XM_065154944.1.p1, XM_065187395.1.p1, XM_009423072.3.p1
OG0000135	NM_116378.4.p1, NM_099987.4.p1, NM_001331245.1.p1, NM_130253.3.p1	XM_065115981.1.p1, XM_065120221.1.p1, XM_065120220.1.p1, XM_065164207.1.p1, XM_009413659.3.p1, XM_065120219.1.p1, XM_009395131.3.p1, XM_065150774.1.p1, XM_065150773.1.p1, XM_065115980.1.p1, XM_065160928.1.p1, XM_065115976.1.p1, XM_065115975.1.p1, XM_065113158.1.p1, XM_065113159.1.p1
OG0000136	NM_148145.5.p1, NM_119178.2.p1, NM_100013.2.p1	XM_009393132.3.p1
OG0000136	NM_119296.2.p1	XM_065144781.1.p1, XM_009394173.3.p1
OG0000136	NM_122514.2.p1, NM_119529.2.p1, NM_119530.3.p1, NM_127025.3.p1, NM_127021.3.p1, NM_103893.1.p1, NM_001333418.1.p1, NM_112859.2.p1	XM_009400035.3.p1
OG0000138	NM_100911.6.p1, NM_100910.5.p1, NM_104662.4.p1, NM_104660.2.p1	XM_065184414.1.p1, XM_065093273.1.p1, XM_065093280.1.p1, XM_065136302.1.p1, XM_065093274.1.p1, XM_065184398.1.p1, XM_065134752.1.p1, XM_065078164.1.p1, XM_065135340.1.p1, XM_065135580.1.p1, XM_065135682.1.p1
OG0000139	NM_001084672.1.p1, NM_202564.2.p1, NM_202563.3.p1, NM_001337984.1.p1, NM_001337985.1.p1, NM_112061.6.p1, NM_120777.3.p1, NM_001342913.1.p1, NM_203016.2.p1, NM_001342914.1.p1	XM_065094796.1.p1
OG0000139	NM_105536.4.p1	XM_065100826.1.p1, XM_065100824.1.p1, XM_065100831.1.p1, XM_065143835.1.p1, XM_065143836.1.p1, XM_009413923.3.p1, XM_065119966.1.p1, XM_018830283.2.p1, XM_009386693.3.p1, XM_065127909.1.p1, XM_065171386.1.p1, XM_065085901.1.p1, XM_065082997.1.p1
OG0000140	NM_105293.1.p1, NM_105292.3.p1, NM_121232.1.p1, NM_001341507.1.p1, NM_118284.2.p1, NM_118285.3.p1, NM_117120.2.p1, NM_117121.1.p1, NM_103030.2.p1, NM_117122.1.p1, NM_001340673.1.p1, NM_001340672.1.p1, NM_001084901.3.p1, NM_001340675.1.p1, NM_001333025.1.p1, NM_103029.3.p1, NM_001333022.1.p1, NM_001333023.1.p1	XM_009422337.3.p1, XM_065098921.1.p1, XM_065098926.1.p1, XM_065097487.1.p1, XM_065123245.1.p1, XM_065142845.1.p1, XM_065143871.1.p1, XM_065123202.1.p1, XM_065141348.1.p1, XM_065123230.1.p1, XM_065142694.1.p1, XM_065149135.1.p1, XM_065098922.1.p1, XM_065143219.1.p1, XM_065141346.1.p1
OG0000141	NM_202709.2.p1, NM_112097.5.p1, NM_001035605.2.p1	XR_010487779.1.p1, XM_009406365.3.p1, XM_009423091.3.p1
OG0000141	NM_202979.1.p1, NM_120013.6.p1, NM_126006.4.p1, NM_114996.4.p1, NM_202682.2.p1	XM_065108470.1.p1, XM_018826643.2.p1, XM_065093603.1.p1, XM_065093600.1.p1, XM_065093602.1.p1, XM_065112025.1.p1, XM_065116060.1.p1, XM_065116056.1.p1, XM_065190792.1.p1, XM_009409929.3.p1, XM_065141339.1.p1, XM_009394601.3.p1, XM_009420415.3.p1, XM_065083945.1.p1, XM_065102931.1.p1, XM_065147293.1.p1
OG0000143	NM_202078.2.p1, NM_100958.2.p1, NM_001084276.2.p1, NM_104750.3.p1, NM_105486.4.p1	XM_065140127.1.p1, XM_065140128.1.p1
OG0000144	NM_104000.2.p1, NM_112980.3.p1, NM_115627.4.p1	XM_065131241.1.p1, XM_009396966.3.p1, XM_065098221.1.p1, XM_065082751.1.p1, XM_009419042.3.p1, XM_018827467.2.p1, XM_065190011.1.p1, XM_065081471.1.p1, XM_065149092.1.p1, XM_065123397.1.p1, XM_065092522.1.p1, XM_065092521.1.p1, XM_009389444.3.p1, XM_018824945.2.p1, XM_065180798.1.p1, XM_009389724.3.p1, XM_065084746.1.p1
OG0000144	NM_101200.2.p1	XM_009402372.3.p1, XM_009404846.3.p1
OG0000144	NM_100702.4.p1	XM_065151664.1.p1, XM_009404343.3.p1
OG0000145	NM_124457.4.p1, NM_129463.4.p1, NM_118633.2.p1, NM_124458.2.p1, NM_114733.4.p1, NM_122271.3.p1, NM_121320.3.p1	XM_009422911.3.p1, XM_065170545.1.p1, XM_065110476.1.p1, XM_065110477.1.p1, XM_065153311.1.p1, XM_065140713.1.p1, XM_009407680.2.p1, XM_009387240.2.p1, XM_009413526.3.p1, XM_065081232.1.p1
OG0000146	NM_101553.3.p1, NM_100520.4.p1	XM_009396569.2.p1, XM_018830919.2.p1, XM_009416902.3.p1, XM_065165040.1.p1, XM_065080534.1.p1, XM_065144780.1.p1, XM_065099731.1.p1, XM_065166076.1.p1, XM_009418150.3.p1, XM_065114556.1.p1
OG0000146	NM_125479.4.p1, NM_112368.4.p1, NM_102623.2.p1, NM_128947.5.p1, NM_117956.3.p1	XM_065091507.1.p2, XM_009406613.3.p2, XM_009390128.3.p1, XM_009401804.3.p1, XM_009394158.3.p1, XM_009416979.3.p1, XM_065163244.1.p1
OG0000147	NM_128672.2.p1	XM_065181051.1.p1, XM_065179914.1.p1, XM_065146856.1.p1, XM_065183460.1.p1, XM_065183461.1.p1, XM_065136035.1.p1, XM_065146389.1.p1, XM_065146391.1.p1, XM_065106642.1.p1, XM_065106641.1.p1, XM_065107348.1.p1, XM_009402535.3.p1, XM_065102300.1.p1, XM_065102298.1.p1, XM_009400172.3.p1, XM_065176748.1.p1, XM_065176750.1.p1, XM_009401189.3.p1, XM_009403667.3.p1, XM_065133427.1.p1, XM_065133426.1.p1, XM_065173992.1.p1, XM_065173995.1.p1, XM_065090892.1.p1
OG0000147	NM_100583.2.p1	XM_065185767.1.p1, XM_065088706.1.p1, XM_065193049.1.p1, XM_065159789.1.p1, XR_010480159.1.p1, XM_065085003.1.p1
OG0000147	NM_001345303.1.p1	XM_009421360.3.p1
OG0000148	NM_179180.3.p1, NM_119870.2.p1, NM_001085037.2.p1, NM_001204013.1.p1, NM_119869.2.p1, NM_119868.3.p1	XM_009384897.3.p1, XM_065084785.1.p1, XM_065193901.1.p1
OG0000148	NM_128213.4.p1	XM_009382697.3.p1, XM_018819602.2.p1, XM_065194115.1.p1, XM_009391991.3.p1
OG0000149	NM_100448.4.p1, NM_001197986.1.p1, NM_102256.3.p1, NM_129944.3.p1, NM_201953.2.p1	XM_065193227.1.p1, XM_065193226.1.p1, XM_009412457.3.p1, XM_065089652.1.p1
OG0000150	NM_101311.6.p1, NM_126310.3.p1	XM_065112951.1.p1, XM_065157485.1.p1, XM_018827654.2.p1, XM_065171101.1.p1, XM_065171100.1.p1, XM_009422868.3.p1, XM_065092162.1.p1, XM_065126018.1.p1, XM_018824046.2.p1, XM_065082289.1.p1, XM_065082290.1.p1, XM_065082292.1.p1, XM_065154770.1.p1, XM_065114258.1.p1, XM_065150052.1.p1
OG0000150	NM_118599.2.p1, NM_125939.3.p1	XM_009383208.3.p1, XM_065170168.1.p1, XM_065170166.1.p1, XM_009395369.3.p1, XM_009395370.3.p1, XM_018823846.2.p1, XM_065100238.1.p1, XM_065134307.1.p1, XM_018823845.2.p1, XM_009404863.3.p1, XM_009411852.3.p1, XM_009401409.3.p1, XM_065179065.1.p1
OG0000151	NM_202441.3.p1, NM_001084370.2.p1	XM_065182332.1.p1, XM_065142129.1.p1
OG0000151	NM_001342244.1.p1, NM_119556.3.p1	XM_065148860.1.p1, XM_065096353.1.p1, XM_065106578.1.p1
OG0000151	NM_120165.2.p1	XM_065108575.1.p1, XM_065108576.1.p1
OG0000152	NM_001126001.2.p1, NM_125545.4.p1	XM_009408864.3.p1, XM_065115190.1.p1, XM_065158044.1.p1, XM_065105536.1.p1
OG0000152	NM_118268.4.p1, NM_100998.4.p1, NM_122233.4.p1, NM_112884.1.p1, NM_103915.2.p1	XM_065088741.1.p1, XM_009404522.3.p1, XM_009390582.3.p1, XM_065083990.1.p1, XM_009417790.3.p1, XM_009414162.3.p1
