Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Hyaloperonospora_brassicae_cds_prot
OG0000265	XM_001590863.1.p1, XM_001587775.1.p1, XM_001597833.1.p1, XM_001597827.1.p1	lcl|CANTFL010000204.1_cds_CAI5718518.1_2137.p1
OG0000268	XM_001594381.1.p1	lcl|CANTFL010000478.1_cds_CAI5723306.1_3249.p1
OG0000268	XM_001592851.1.p1	lcl|CANTFL010000368.1_cds_CAI5721372.1_2757.p1
OG0000269	XM_001587306.1.p1	lcl|CANTFL010000090.1_cds_CAI5713361.1_1087.p1
OG0000269	XM_001595030.1.p1	lcl|CANTFL010000198.1_cds_CAI5718069.1_2048.p1
OG0000270	XM_001590743.1.p1, XM_001597669.1.p1	lcl|CANTFL010001103.1_cds_CAI5731448.1_5462.p1
OG0000273	XM_001592377.1.p1	lcl|CANTFL010000057.1_cds_CAI5710378.1_491.p1
OG0000276	XM_001592491.1.p1	lcl|CANTFL010001016.1_cds_CAI5730071.1_4980.p1
OG0000276	XM_001598855.1.p1	lcl|CANTFL010000272.1_cds_CAI5720117.1_2454.p1
OG0000276	XM_001597019.1.p1	lcl|CANTFL010000886.1_cds_CAI5728479.1_4562.p1, lcl|CANTFL010000887.1_cds_CAI5728550.1_4581.p1
OG0000277	XM_001588099.1.p1	lcl|CANTFL010000138.1_cds_CAI5715102.1_1443.p1
OG0000278	XM_001588400.1.p1, XM_001596155.1.p1, XM_001586662.1.p1	lcl|CANTFL010001164.1_cds_CAI5732504.1_5822.p1
OG0000283	XM_001593967.1.p1, XM_001586787.1.p1	lcl|CANTFL010000233.1_cds_CAI5719310.1_2294.p1
OG0000284	XM_001594975.1.p1, XM_001588421.1.p1	lcl|CANTFL010000634.1_cds_CAI5726027.1_3936.p1
OG0000286	XM_001596937.1.p1, XM_001595178.1.p1, XM_001595060.1.p1	lcl|CANTFL010000086.1_cds_CAI5712039.1_817.p1, lcl|CANTFL010001158.1_cds_CAI5732445.1_5801.p1
OG0000287	XM_001586375.1.p1, XM_001591627.1.p1, XM_001597112.1.p1	lcl|CANTFL010000363.1_cds_CAI5721236.1_2725.p1
OG0000288	XM_001586741.1.p1, XM_001585180.1.p1	lcl|CANTFL010001187.1_cds_CAI5732944.1_5973.p1, lcl|CANTFL010001187.1_cds_CAI5732941.1_5972.p1, lcl|CANTFL010001192.1_cds_CAI5733066.1_6012.p1, lcl|CANTFL010001287.1_cds_CAI5735752.1_6938.p1, lcl|CANTFL010001441.1_cds_CAI5739952.1_8398.p1
OG0000289	XM_001596210.1.p1	lcl|CANTFL010000017.1_cds_CAI5708809.1_172.p1
OG0000291	XM_001595467.1.p1, XM_001593375.1.p1, XM_001586302.1.p1	lcl|CANTFL010001453.1_cds_CAI5741879.1_9163.p1, lcl|CANTFL010000080.1_cds_CAI5711142.1_644.p1, lcl|CANTFL010000080.1_cds_CAI5711167.1_649.p1, lcl|CANTFL010000033.1_cds_CAI5709353.1_283.p1
OG0000295	XM_001586192.1.p1, XM_001590105.1.p1, XM_001595606.1.p1	lcl|CANTFL010000838.1_cds_CAI5728124.1_4473.p1
OG0000303	XM_001593841.1.p1, XM_001595283.1.p1, XM_001596500.1.p1	lcl|CANTFL010001407.1_cds_CAI5739110.1_8103.p1, lcl|CANTFL010001403.1_cds_CAI5738924.1_8039.p1, lcl|CANTFL010000148.1_cds_CAI5716119.1_1650.p1
OG0000304	XM_001587021.1.p1	lcl|CANTFL010000498.1_cds_CAI5723709.1_3352.p1
OG0000310	XM_001597658.1.p1	lcl|CANTFL010000136.1_cds_CAI5714753.1_1372.p1, lcl|CANTFL010001449.1_cds_CAI5741255.1_8850.p1
OG0000310	XM_001595441.1.p1, XM_001589016.1.p1	lcl|CANTFL010001407.1_cds_CAI5739098.1_8099.p1
OG0000312	XM_001596529.1.p1	lcl|CANTFL010001450.1_cds_CAI5741521.1_8974.p1
OG0000312	XM_001597099.1.p1	lcl|CANTFL010001332.1_cds_CAI5737238.1_7459.p1
OG0000314	XM_001597620.1.p1	lcl|CANTFL010001148.1_cds_CAI5732213.1_5722.p1
OG0000317	XM_001591969.1.p1, XM_001586015.1.p1, XM_001587228.1.p1	lcl|CANTFL010001387.1_cds_CAI5738759.1_7983.p1
OG0000319	XM_001598351.1.p1	lcl|CANTFL010001451.1_cds_CAI5741695.1_9065.p1, lcl|CANTFL010001180.1_cds_CAI5732667.1_5876.p1, lcl|CANTFL010000086.1_cds_CAI5711781.1_764.p1, lcl|CANTFL010000086.1_cds_CAI5712951.1_1006.p1, lcl|CANTFL010001373.1_cds_CAI5738488.1_7887.p1, lcl|CANTFL010001467.1_cds_CAI5742393.1_9436.p1, lcl|CANTFL010001488.1_cds_CAI5743324.1_9922.p1, lcl|CANTFL010001475.1_cds_CAI5742775.1_9639.p1, lcl|CANTFL010001106.1_cds_CAI5731517.1_5484.p1, lcl|CANTFL010001286.1_cds_CAI5735697.1_6920.p1
OG0000322	XM_001587529.1.p1, XM_001592461.1.p1	lcl|CANTFL010000565.1_cds_CAI5724771.1_3621.p1
OG0000325	XM_001595222.1.p1, XM_001590041.1.p1, XM_001594961.1.p1	lcl|CANTFL010000143.1_cds_CAI5715207.1_1465.p1
OG0000326	XM_001589657.1.p1, XM_001595679.1.p1	lcl|CANTFL010000838.1_cds_CAI5728128.1_4474.p1
OG0000328	XM_001586323.1.p1, XM_001593417.1.p1	lcl|CANTFL010000155.1_cds_CAI5716343.1_1696.p1
OG0000331	XM_001593836.1.p1, XM_001593522.1.p1	lcl|CANTFL010001420.1_cds_CAI5739470.1_8231.p1, lcl|CANTFL010001420.1_cds_CAI5739466.1_8229.p1, lcl|CANTFL010000155.1_cds_CAI5716256.1_1678.p1
OG0000334	XM_001598330.1.p1, XM_001595147.1.p1, XM_001588568.1.p1, XM_001594693.1.p1	lcl|CANTFL010000580.1_cds_CAI5725094.1_3699.p1, lcl|CANTFL010000002.1_cds_CAI5708100.1_10.p1, lcl|CANTFL010000580.1_cds_CAI5725102.1_3702.p1, lcl|CANTFL010000002.1_cds_CAI5708103.1_11.p1, lcl|CANTFL010000080.1_cds_CAI5711137.1_643.p1, lcl|CANTFL010000080.1_cds_CAI5711162.1_648.p1
OG0000337	XM_001597150.1.p1	lcl|CANTFL010001446.1_cds_CAI5740626.1_8630.p1, lcl|CANTFL010000393.1_cds_CAI5721908.1_2891.p1
OG0000337	XM_001589811.1.p1	lcl|CANTFL010001414.1_cds_CAI5739224.1_8142.p1
OG0000338	XM_001595733.1.p1	lcl|CANTFL010001180.1_cds_CAI5732676.1_5879.p1
OG0000338	XM_001589919.1.p1	lcl|CANTFL010000999.1_cds_CAI5729629.1_4857.p1, lcl|CANTFL010000183.1_cds_CAI5717683.1_1972.p1
OG0000339	XM_001588030.1.p1	lcl|CANTFL010001078.1_cds_CAI5731127.1_5346.p1
OG0000339	XM_001597935.1.p1	lcl|CANTFL010001482.1_cds_CAI5742924.1_9715.p1
OG0000341	XM_001596553.1.p1	lcl|CANTFL010001352.1_cds_CAI5737881.1_7680.p1
OG0000342	XM_001586883.1.p1	lcl|CANTFL010001032.1_cds_CAI5730452.1_5117.p1
OG0000343	XM_001593775.1.p1	lcl|CANTFL010001485.1_cds_CAI5743155.1_9834.p1
OG0000343	XM_001588828.1.p1	lcl|CANTFL010001342.1_cds_CAI5737701.1_7616.p1
OG0000346	XM_001588685.1.p1	lcl|CANTFL010000409.1_cds_CAI5722060.1_2931.p1
OG0000347	XM_001588291.1.p1, XM_001594045.1.p1	lcl|CANTFL010001403.1_cds_CAI5738965.1_8052.p1, lcl|CANTFL010001013.1_cds_CAI5730024.1_4963.p1
OG0000350	XM_001594577.1.p1	lcl|CANTFL010001287.1_cds_CAI5735763.1_6942.p1
OG0000350	XM_001585929.1.p1	lcl|CANTFL010001420.1_cds_CAI5739448.1_8223.p1
OG0000357	XM_001584508.1.p1, XM_001596882.1.p1	lcl|CANTFL010000165.1_cds_CAI5716463.1_1720.p1, lcl|CANTFL010000409.1_cds_CAI5722112.1_2944.p1, lcl|CANTFL010001416.1_cds_CAI5739303.1_8170.p1
OG0000362	XM_001588879.1.p1, XM_001592261.1.p1	lcl|CANTFL010000138.1_cds_CAI5715056.1_1434.p1
OG0000364	XM_001586746.1.p1	lcl|CANTFL010001181.1_cds_CAI5732845.1_5940.p1
OG0000364	XM_001591295.1.p1	lcl|CANTFL010001293.1_cds_CAI5735895.1_6987.p1, lcl|CANTFL010000086.1_cds_CAI5711687.1_745.p1, lcl|CANTFL010000980.1_cds_CAI5729137.1_4728.p1
OG0000366	XM_001585303.1.p1, XM_001592514.1.p1	lcl|CANTFL010001466.1_cds_CAI5742303.1_9386.p1
OG0000368	XM_001586991.1.p1	lcl|CANTFL010000470.1_cds_CAI5723062.1_3185.p1, lcl|CANTFL010000470.1_cds_CAI5723054.1_3183.p1, lcl|CANTFL010001049.1_cds_CAI5730665.1_5188.p1
OG0000369	XM_001585932.1.p1, XM_001585931.1.p1	lcl|CANTFL010000122.1_cds_CAI5714225.1_1266.p1
OG0000370	XM_001596117.1.p1, XM_001596116.1.p1	lcl|CANTFL010001441.1_cds_CAI5739946.1_8396.p1, lcl|CANTFL010000499.1_cds_CAI5723742.1_3360.p1, lcl|CANTFL010000499.1_cds_CAI5723738.1_3359.p1
OG0000375	XM_001586362.1.p1, XM_001597921.1.p1, XM_001589897.1.p1	lcl|CANTFL010000223.1_cds_CAI5718788.1_2189.p1
OG0000376	XM_001588139.1.p1, XM_001587757.1.p1	lcl|CANTFL010001473.1_cds_CAI5742585.1_9536.p1
OG0000378	XM_001594848.1.p1	lcl|CANTFL010001180.1_cds_CAI5732589.1_5850.p1
OG0000379	XM_001588044.1.p1	lcl|CANTFL010000028.1_cds_CAI5709038.1_219.p1
OG0000379	XM_001592931.1.p1	lcl|CANTFL010001211.1_cds_CAI5733885.1_6294.p1
OG0000380	XM_001584697.1.p1	lcl|CANTFL010000529.1_cds_CAI5723920.1_3406.p1
OG0000380	XM_001597824.1.p1	lcl|CANTFL010000988.1_cds_CAI5729383.1_4793.p1
OG0000381	XM_001596277.1.p1, XM_001586516.1.p1	lcl|CANTFL010001187.1_cds_CAI5732947.1_5974.p1
OG0000383	XM_001595200.1.p1	lcl|CANTFL010000155.1_cds_CAI5716295.1_1686.p1
OG0000385	XM_001594849.1.p1	lcl|CANTFL010000028.1_cds_CAI5709209.1_254.p1
OG0000385	XM_001591151.1.p1	lcl|CANTFL010000289.1_cds_CAI5720529.1_2538.p1
OG0000386	XM_001592690.1.p1, XM_001587880.1.p1	lcl|CANTFL010000086.1_cds_CAI5711635.1_734.p1, lcl|CANTFL010000748.1_cds_CAI5727415.1_4292.p1, lcl|CANTFL010001332.1_cds_CAI5737391.1_7512.p1, lcl|CANTFL010000086.1_cds_CAI5712170.1_843.p1
OG0000388	XM_001587153.1.p1, XM_001588257.1.p1	lcl|CANTFL010000596.1_cds_CAI5725284.1_3749.p1
OG0000391	XM_001597617.1.p1	lcl|CANTFL010000303.1_cds_CAI5720593.1_2554.p1
OG0000393	XM_001596263.1.p1	lcl|CANTFL010000080.1_cds_CAI5711060.1_627.p1
OG0000393	XM_001597320.1.p1	lcl|CANTFL010000634.1_cds_CAI5725991.1_3927.p1
OG0000395	XM_001597922.1.p1	lcl|CANTFL010001009.1_cds_CAI5729891.1_4928.p1
OG0000395	XM_001592276.1.p1	lcl|CANTFL010000090.1_cds_CAI5713621.1_1142.p1
OG0000396	XM_001592582.1.p1	lcl|CANTFL010000478.1_cds_CAI5723360.1_3263.p1
OG0000398	XM_001597851.1.p1	lcl|CANTFL010001446.1_cds_CAI5740852.1_8715.p1
OG0000398	XM_001591395.1.p1	lcl|CANTFL010001052.1_cds_CAI5730755.1_5220.p1, lcl|CANTFL010001211.1_cds_CAI5733855.1_6284.p1
OG0000405	XM_001584602.1.p1	lcl|CANTFL010001488.1_cds_CAI5743285.1_9901.p1
OG0000408	XM_001590719.1.p1	lcl|CANTFL010001429.1_cds_CAI5739723.1_8317.p1
OG0000408	XM_001588056.1.p1	lcl|CANTFL010001426.1_cds_CAI5739523.1_8248.p1
OG0000409	XM_001591593.1.p1	lcl|CANTFL010001444.1_cds_CAI5740219.1_8492.p1
OG0000409	XM_001594161.1.p1	lcl|CANTFL010000745.1_cds_CAI5727242.1_4251.p1, lcl|CANTFL010000221.1_cds_CAI5718605.1_2154.p1
OG0000411	XM_001585214.1.p1	lcl|CANTFL010001449.1_cds_CAI5741328.1_8874.p1
OG0000411	XM_001593430.1.p1	lcl|CANTFL010001052.1_cds_CAI5730704.1_5201.p1
OG0000413	XM_001585222.1.p1, XM_001593426.1.p1	lcl|CANTFL010001080.1_cds_CAI5731213.1_5377.p1
OG0000414	XM_001595899.1.p1, XM_001588538.1.p1	lcl|CANTFL010000255.1_cds_CAI5720078.1_2447.p1
OG0000415	XM_001587000.1.p1	lcl|CANTFL010000397.1_cds_CAI5721968.1_2906.p1
OG0000415	XM_001590013.1.p1	lcl|CANTFL010000320.1_cds_CAI5720622.1_2560.p1, lcl|CANTFL010000320.1_cds_CAI5720648.1_2568.p1
OG0000416	XM_001585521.1.p1, XM_001595781.1.p1	lcl|CANTFL010001296.1_cds_CAI5736014.1_7035.p1
OG0000418	XM_001597732.1.p1, XM_001594531.1.p1	lcl|CANTFL010000155.1_cds_CAI5716348.1_1697.p1
OG0000421	XM_001596111.1.p1	lcl|CANTFL010001107.1_cds_CAI5731536.1_5490.p1
OG0000425	XM_001595569.1.p1	lcl|CANTFL010000810.1_cds_CAI5727852.1_4404.p1, lcl|CANTFL010000275.1_cds_CAI5720354.1_2500.p1, lcl|CANTFL010001018.1_cds_CAI5730179.1_5017.p1, lcl|CANTFL010001287.1_cds_CAI5735729.1_6930.p1, lcl|CANTFL010000136.1_cds_CAI5714766.1_1375.p1, lcl|CANTFL010000137.1_cds_CAI5714913.1_1404.p1, lcl|CANTFL010000137.1_cds_CAI5714849.1_1391.p1
OG0000426	XM_001594352.1.p1, XM_001595306.1.p1	lcl|CANTFL010001260.1_cds_CAI5735365.1_6806.p1, lcl|CANTFL010000529.1_cds_CAI5723991.1_3424.p1, lcl|CANTFL010000076.1_cds_CAI5710906.1_596.p1, lcl|CANTFL010000911.1_cds_CAI5728637.1_4602.p1
OG0000430	XM_001594943.1.p1, XM_001596140.1.p1	lcl|CANTFL010001027.1_cds_CAI5730407.1_5095.p1
OG0000432	XM_001592025.1.p1	lcl|CANTFL010001429.1_cds_CAI5739763.1_8337.p1
OG0000432	XM_001595641.1.p1	lcl|CANTFL010000363.1_cds_CAI5721224.1_2722.p1
OG0000437	XM_001586166.1.p1, XM_001594881.1.p1	lcl|CANTFL010001476.1_cds_CAI5742778.1_9640.p1, lcl|CANTFL010001256.1_cds_CAI5735192.1_6743.p1
OG0000438	XM_001594730.1.p1	lcl|CANTFL010001387.1_cds_CAI5738750.1_7980.p1
OG0000440	XM_001592376.1.p1	lcl|CANTFL010000014.1_cds_CAI5708522.1_113.p1
OG0000440	XM_001596584.1.p1	lcl|CANTFL010001122.1_cds_CAI5731939.1_5629.p1
OG0000441	XM_001598052.1.p1	lcl|CANTFL010000086.1_cds_CAI5712491.1_910.p1
OG0000441	XM_001587956.1.p1	lcl|CANTFL010001446.1_cds_CAI5741012.1_8769.p1
OG0000442	XM_001594041.1.p1	lcl|CANTFL010000034.1_cds_CAI5709490.1_309.p1
OG0000442	XM_001595999.1.p1	lcl|CANTFL010001403.1_cds_CAI5738927.1_8040.p1
OG0000444	XM_001585129.1.p1	lcl|CANTFL010001403.1_cds_CAI5739003.1_8065.p1
OG0000444	XM_001588771.1.p1	lcl|CANTFL010001109.1_cds_CAI5731590.1_5508.p1
OG0000446	XM_001595180.1.p1	lcl|CANTFL010001078.1_cds_CAI5731115.1_5342.p1
OG0000448	XM_001589303.1.p1	lcl|CANTFL010000301.1_cds_CAI5720556.1_2544.p1
OG0000452	XM_001593005.1.p1	lcl|CANTFL010000214.1_cds_CAI5718539.1_2141.p1
OG0000456	XM_001586769.1.p1	lcl|CANTFL010000470.1_cds_CAI5723170.1_3215.p1
OG0000456	XM_001590674.1.p1	lcl|CANTFL010001468.1_cds_CAI5742447.1_9463.p1
OG0000457	XM_001597364.1.p1, XM_001595651.1.p1	lcl|CANTFL010000151.1_cds_CAI5716235.1_1674.p1
OG0000460	XM_001597572.1.p1, XM_001597304.1.p1	lcl|CANTFL010000599.1_cds_CAI5725352.1_3769.p1, lcl|CANTFL010000599.1_cds_CAI5725330.1_3762.p1
OG0000461	XM_001594597.1.p1, XM_001594596.1.p1, XM_001590763.1.p1	lcl|CANTFL010000144.1_cds_CAI5715656.1_1558.p1, lcl|CANTFL010001013.1_cds_CAI5730044.1_4970.p1
OG0000466	XM_001597810.1.p1	lcl|CANTFL010000409.1_cds_CAI5722077.1_2935.p1
OG0000467	XM_001588516.1.p1, XM_001588214.1.p1	lcl|CANTFL010001462.1_cds_CAI5742045.1_9251.p1
OG0000468	XM_001595597.1.p1, XM_001585150.1.p1	lcl|CANTFL010001296.1_cds_CAI5736037.1_7043.p1
OG0000469	XM_001586974.1.p1, XM_001588006.1.p1	lcl|CANTFL010001109.1_cds_CAI5731619.1_5518.p1, lcl|CANTFL010000086.1_cds_CAI5711908.1_790.p1
OG0000470	XM_001589646.1.p1	lcl|CANTFL010000484.1_cds_CAI5723579.1_3319.p1
OG0000470	XM_001589696.1.p1	lcl|CANTFL010000730.1_cds_CAI5727083.1_4211.p1
OG0000471	XM_001589081.1.p1, XM_001597763.1.p1	lcl|CANTFL010001477.1_cds_CAI5742790.1_9645.p1, lcl|CANTFL010001000.1_cds_CAI5729649.1_4862.p1, lcl|CANTFL010000255.1_cds_CAI5720058.1_2443.p1
OG0000472	XM_001596286.1.p1, XM_001592203.1.p1, XM_001598844.1.p1	lcl|CANTFL010001080.1_cds_CAI5731219.1_5379.p1
OG0000473	XM_001597336.1.p1	lcl|CANTFL010000174.1_cds_CAI5717445.1_1922.p1
OG0000473	XM_001585585.1.p1	lcl|CANTFL010001466.1_cds_CAI5742339.1_9406.p1
OG0000474	XM_001586657.1.p1, XM_001586656.1.p1	lcl|CANTFL010001123.1_cds_CAI5731951.1_5633.p1
OG0000475	XM_001586521.1.p1	lcl|CANTFL010000080.1_cds_CAI5711374.1_691.p1
OG0000475	XM_001592419.1.p1	lcl|CANTFL010000183.1_cds_CAI5717647.1_1964.p1
OG0000476	XM_001584773.1.p1	lcl|CANTFL010000851.1_cds_CAI5728230.1_4500.p1
OG0000479	XM_001592726.1.p1	lcl|CANTFL010001429.1_cds_CAI5739775.1_8341.p1, lcl|CANTFL010000389.1_cds_CAI5721816.1_2867.p1, lcl|CANTFL010001450.1_cds_CAI5741508.1_8967.p1
OG0000490	XM_001593846.1.p1, XM_001589239.1.p1	lcl|CANTFL010000770.1_cds_CAI5727625.1_4345.p1
OG0000491	XM_001591479.1.p1	lcl|CANTFL010000634.1_cds_CAI5726023.1_3935.p1
OG0000491	XM_001590012.1.p1	lcl|CANTFL010001036.1_cds_CAI5730554.1_5151.p1
OG0000494	XM_001594386.1.p1	lcl|CANTFL010000990.1_cds_CAI5729550.1_4836.p1, lcl|CANTFL010000068.1_cds_CAI5710591.1_533.p1
OG0000494	XM_001591209.1.p1	lcl|CANTFL010001114.1_cds_CAI5731800.1_5580.p1, lcl|CANTFL010001443.1_cds_CAI5740050.1_8436.p1, lcl|CANTFL010000080.1_cds_CAI5711184.1_653.p1
OG0000497	XM_001596284.1.p1, XM_001587094.1.p1	lcl|CANTFL010000122.1_cds_CAI5714299.1_1281.p1, lcl|CANTFL010000090.1_cds_CAI5713617.1_1141.p1, lcl|CANTFL010001198.1_cds_CAI5733321.1_6103.p1
OG0000498	XM_001586996.1.p1, XM_001595543.1.p1	lcl|CANTFL010001256.1_cds_CAI5735186.1_6741.p1
OG0000500	XM_001584816.1.p1	lcl|CANTFL010001451.1_cds_CAI5741744.1_9090.p1
OG0000500	XM_001592410.1.p1	lcl|CANTFL010000148.1_cds_CAI5716094.1_1645.p1
OG0000501	XM_001584728.1.p1, XM_001591462.1.p1	lcl|CANTFL010000921.1_cds_CAI5728692.1_4616.p1
OG0000502	XM_001585206.1.p1, XM_001590161.1.p1	lcl|CANTFL010001486.1_cds_CAI5743234.1_9877.p1
OG0000503	XM_001597809.1.p1	lcl|CANTFL010001187.1_cds_CAI5732885.1_5953.p1
OG0000506	XM_001596570.1.p1, XM_001585581.1.p1	lcl|CANTFL010001449.1_cds_CAI5741325.1_8873.p1
OG0000507	XM_001592146.1.p1	lcl|CANTFL010001442.1_cds_CAI5739994.1_8413.p1
OG0000507	XM_001594601.1.p1	lcl|CANTFL010000458.1_cds_CAI5722909.1_3148.p1
OG0000508	XM_001589593.1.p1	lcl|CANTFL010001332.1_cds_CAI5737100.1_7411.p1
OG0000509	XM_001587359.1.p1, XM_001593419.1.p1	lcl|CANTFL010000086.1_cds_CAI5712569.1_926.p1
OG0000512	XM_001591932.1.p1, XM_001591933.1.p1, XM_001587571.1.p1	lcl|CANTFL010001013.1_cds_CAI5730033.1_4966.p1
OG0000514	XM_001593274.1.p1	lcl|CANTFL010001193.1_cds_CAI5733218.1_6066.p1
OG0000516	XM_001598362.1.p1, XM_001596103.1.p1	lcl|CANTFL010000570.1_cds_CAI5724844.1_3639.p1, lcl|CANTFL010000570.1_cds_CAI5724863.1_3644.p1, lcl|CANTFL010001451.1_cds_CAI5741733.1_9084.p1
OG0000517	XM_001590260.1.p1, XM_001588081.1.p1	lcl|CANTFL010001372.1_cds_CAI5738397.1_7857.p1
OG0000518	XM_001590757.1.p1, XM_001597485.1.p1	lcl|CANTFL010000235.1_cds_CAI5719463.1_2324.p1
OG0000519	XM_001588250.1.p1, XM_001592932.1.p1	lcl|CANTFL010001204.1_cds_CAI5733486.1_6158.p1
OG0000522	XM_001597943.1.p1	lcl|CANTFL010001444.1_cds_CAI5740249.1_8502.p1
OG0000523	XM_001586040.1.p1, XM_001585437.1.p1	lcl|CANTFL010000126.1_cds_CAI5714453.1_1314.p1
OG0000525	XM_001594404.1.p1, XM_001593959.1.p1	lcl|CANTFL010001426.1_cds_CAI5739526.1_8249.p1
OG0000532	XM_001593715.1.p1, XM_001596173.1.p1	lcl|CANTFL010000146.1_cds_CAI5715891.1_1605.p1
OG0000534	XM_001590058.1.p1, XM_001590038.1.p1	lcl|CANTFL010000478.1_cds_CAI5723314.1_3251.p1
OG0000540	XM_001594074.1.p1, XM_001590468.1.p1	lcl|CANTFL010001387.1_cds_CAI5738675.1_7953.p1
OG0000541	XM_001586293.1.p1	lcl|CANTFL010000199.1_cds_CAI5718285.1_2092.p1
OG0000544	XM_001585633.1.p1, XM_001590593.1.p1	lcl|CANTFL010000138.1_cds_CAI5715162.1_1456.p1, lcl|CANTFL010000138.1_cds_CAI5715167.1_1457.p1, lcl|CANTFL010001107.1_cds_CAI5731539.1_5491.p1
OG0000546	XM_001585394.1.p1, XM_001594546.1.p1	lcl|CANTFL010001451.1_cds_CAI5741572.1_8999.p1
OG0000547	XM_001597908.1.p1, XM_001595656.1.p1	lcl|CANTFL010000416.1_cds_CAI5722195.1_2965.p1
OG0000548	XM_001598930.1.p1	lcl|CANTFL010001116.1_cds_CAI5731836.1_5593.p1, lcl|CANTFL010001207.1_cds_CAI5733628.1_6206.p1, lcl|CANTFL010001116.1_cds_CAI5731839.1_5594.p1, lcl|CANTFL010001211.1_cds_CAI5733977.1_6326.p1, lcl|CANTFL010001216.1_cds_CAI5734278.1_6431.p1
OG0000554	XM_001597381.1.p1, XM_001593422.1.p1	lcl|CANTFL010001238.1_cds_CAI5734659.1_6563.p1
OG0000557	XM_001588649.1.p1	lcl|CANTFL010001256.1_cds_CAI5735172.1_6736.p1
OG0000560	XM_001595116.1.p1	lcl|CANTFL010000146.1_cds_CAI5715877.1_1602.p1
OG0000561	XM_001592440.1.p1	lcl|CANTFL010000106.1_cds_CAI5713830.1_1185.p1
OG0000562	XM_001595328.1.p1	lcl|CANTFL010001078.1_cds_CAI5731152.1_5355.p1
OG0000565	XM_001591908.1.p1, XM_001586006.1.p1	lcl|CANTFL010000106.1_cds_CAI5713912.1_1202.p1, lcl|CANTFL010001057.1_cds_CAI5730797.1_5234.p1
OG0000566	XM_001592658.1.p1	lcl|CANTFL010000090.1_cds_CAI5713500.1_1117.p1
OG0000566	XM_001594465.1.p1	lcl|CANTFL010001416.1_cds_CAI5739355.1_8191.p1, lcl|CANTFL010001482.1_cds_CAI5742907.1_9706.p1
OG0000567	XM_001595707.1.p1, XM_001586497.1.p1	lcl|CANTFL010000090.1_cds_CAI5713451.1_1106.p1
OG0000568	XM_001586737.1.p1, XM_001595590.1.p1	lcl|CANTFL010001286.1_cds_CAI5735669.1_6907.p1, lcl|CANTFL010001342.1_cds_CAI5737636.1_7594.p1
OG0000571	XM_001596650.1.p1	lcl|CANTFL010001256.1_cds_CAI5735228.1_6755.p1
OG0000575	XM_001588302.1.p1	lcl|CANTFL010001352.1_cds_CAI5737868.1_7675.p1
OG0000576	XM_001597753.1.p1, XM_001598260.1.p1	lcl|CANTFL010001482.1_cds_CAI5742940.1_9724.p1, lcl|CANTFL010001264.1_cds_CAI5735462.1_6838.p1
OG0000582	XM_001592617.1.p1, XM_001592459.1.p1	lcl|CANTFL010000126.1_cds_CAI5714427.1_1309.p1, lcl|CANTFL010001490.1_cds_CAI5743523.1_10027.p1
OG0000588	XM_001586513.1.p1, XM_001586815.1.p1	lcl|CANTFL010000033.1_cds_CAI5709337.1_280.p1, lcl|CANTFL010000416.1_cds_CAI5722230.1_2974.p1
OG0000589	XM_001598163.1.p1	lcl|CANTFL010001482.1_cds_CAI5742931.1_9719.p1
OG0000591	XM_001585967.1.p1	lcl|CANTFL010001293.1_cds_CAI5735904.1_6990.p1
OG0000595	XM_001589667.1.p1, XM_001587433.1.p1	lcl|CANTFL010001198.1_cds_CAI5733398.1_6129.p1
OG0000596	XM_001598489.1.p1	lcl|CANTFL010000223.1_cds_CAI5718768.1_2185.p1
OG0000597	XM_001586224.1.p1	lcl|CANTFL010001005.1_cds_CAI5729692.1_4872.p1
OG0000599	XM_001590786.1.p1	lcl|CANTFL010000770.1_cds_CAI5727629.1_4346.p1
OG0000599	XM_001598047.1.p1	lcl|CANTFL010000188.1_cds_CAI5717755.1_1986.p1
OG0000602	XM_001593498.1.p1, XM_001593423.1.p1	lcl|CANTFL010001488.1_cds_CAI5743333.1_9929.p1
OG0000603	XM_001589302.1.p1	lcl|CANTFL010001449.1_cds_CAI5741287.1_8860.p1
OG0000603	XM_001585870.1.p1	lcl|CANTFL010001441.1_cds_CAI5739937.1_8393.p1
OG0000607	XM_001590536.1.p1, XM_001594619.1.p1	lcl|CANTFL010000028.1_cds_CAI5709112.1_234.p1
OG0000608	XM_001588104.1.p1, XM_001585159.1.p1	lcl|CANTFL010001207.1_cds_CAI5733715.1_6240.p1, lcl|CANTFL010001207.1_cds_CAI5733712.1_6239.p1, lcl|CANTFL010000090.1_cds_CAI5713356.1_1086.p1
OG0000610	XM_001592833.1.p1	lcl|CANTFL010001466.1_cds_CAI5742349.1_9412.p1
OG0000610	XM_001587685.1.p1	lcl|CANTFL010001477.1_cds_CAI5742792.1_9646.p1
OG0000612	XM_001585145.1.p1, XM_001585254.1.p1	lcl|CANTFL010001451.1_cds_CAI5741628.1_9029.p1
OG0000614	XM_001596566.1.p1, XM_001595436.1.p1	lcl|CANTFL010001490.1_cds_CAI5743525.1_10029.p1
OG0000616	XM_001588389.1.p1	lcl|CANTFL010001444.1_cds_CAI5740258.1_8505.p1
OG0000617	XM_001593217.1.p1	lcl|CANTFL010001223.1_cds_CAI5734381.1_6466.p1
OG0000617	XM_001591019.1.p1	lcl|CANTFL010000146.1_cds_CAI5715907.1_1608.p1
